Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
201.99,0.01,0.0059914,166.91,23.891,25.56,126.58,26.097,34.846,360.62,154.34,7.0049,0.016177,vapor
205.49,0.01,0.0058862,169.89,23.983,25.682,127.18,26.056,34.763,363.78,142.74,7.101,0.016434,vapor
210.49,0.01,0.0057426,174.14,24.114,25.855,128.01,26.018,34.674,368.22,128,7.2413,0.016809,vapor
215.49,0.01,0.0056062,178.37,24.245,26.028,128.82,26.001,34.613,372.57,115.11,7.385,0.017196,vapor
220.49,0.01,0.0054765,182.6,24.375,26.201,129.62,26.002,34.578,376.85,103.81,7.532,0.017593,vapor
225.49,0.01,0.0053528,186.82,24.506,26.374,130.39,26.019,34.564,381.05,93.875,7.6819,0.018001,vapor
230.49,0.01,0.0052348,191.03,24.637,26.547,131.15,26.051,34.568,385.18,85.107,7.8348,0.018419,vapor
235.49,0.01,0.0051221,195.23,24.768,26.72,131.89,26.094,34.589,389.25,77.351,7.9903,0.018846,vapor
240.49,0.01,0.0050142,199.43,24.899,26.893,132.62,26.148,34.623,393.26,70.472,8.1484,0.019283,vapor
245.49,0.01,0.0049109,203.63,25.03,27.066,133.33,26.212,34.67,397.2,64.359,8.3088,0.019729,vapor
250.49,0.01,0.0048119,207.82,25.162,27.24,134.03,26.285,34.727,401.09,58.916,8.4715,0.020185,vapor
255.49,0.01,0.0047168,212.01,25.293,27.414,134.72,26.365,34.795,404.92,54.061,8.6363,0.020649,vapor
260.49,0.01,0.0046256,216.19,25.426,27.588,135.39,26.453,34.871,408.7,49.724,8.803,0.021122,vapor
265.49,0.01,0.0045378,220.37,25.559,27.762,136.06,26.548,34.956,412.42,45.843,8.9717,0.021604,vapor
270.49,0.01,0.0044533,224.55,25.692,27.937,136.71,26.649,35.048,416.1,42.365,9.1421,0.022094,vapor
275.49,0.01,0.004372,228.73,25.825,28.113,137.35,26.755,35.146,419.73,39.244,9.3141,0.022592,vapor
