Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
255.49,0.20344,0.1,10,24.995,27.029,108.49,30.428,41.574,394.89,50.62,8.5363,0.021252,vapor
260.49,0.20802,0.1,10,25.146,27.226,109.08,30.138,41.023,399.2,46.911,8.7089,0.021721,vapor
265.49,0.21257,0.1,10,25.296,27.422,109.65,29.892,40.547,403.42,43.541,8.8831,0.0222,vapor
270.49,0.21708,0.1,10,25.445,27.616,110.2,29.685,40.137,407.56,40.479,9.0586,0.022687,vapor
275.49,0.22156,0.1,10,25.593,27.809,110.75,29.512,39.787,411.62,37.696,9.2354,0.023182,vapor
280.49,0.22602,0.1,10,25.74,28,111.28,29.371,39.489,415.6,35.166,9.4135,0.023686,vapor
285.49,0.23045,0.1,10,25.887,28.191,111.79,29.26,39.238,419.52,32.865,9.5928,0.024198,vapor
290.49,0.23486,0.1,10,26.033,28.381,112.3,29.174,39.029,423.36,30.77,9.7733,0.024717,vapor
295.49,0.23925,0.1,10,26.179,28.571,112.8,29.113,38.858,427.14,28.861,9.9548,0.025245,vapor
300.49,0.24362,0.1,10,26.324,28.76,113.29,29.074,38.721,430.86,27.12,10.137,0.025779,vapor
305.49,0.24798,0.1,10,26.469,28.949,113.77,29.056,38.614,434.52,25.529,10.321,0.026322,vapor
310.49,0.25232,0.1,10,26.615,29.138,114.24,29.055,38.535,438.13,24.075,10.505,0.026871,vapor
315.49,0.25665,0.1,10,26.76,29.326,114.7,29.072,38.481,441.68,22.742,10.691,0.027428,vapor
320.49,0.26097,0.1,10,26.905,29.515,115.16,29.103,38.448,445.18,21.519,10.877,0.027992,vapor
325.49,0.26528,0.1,10,27.051,29.704,115.61,29.148,38.436,448.64,20.395,11.064,0.028563,vapor
330.49,0.26958,0.1,10,27.197,29.893,116.06,29.206,38.441,452.04,19.36,11.251,0.029141,vapor
335.49,0.27388,0.1,10,27.343,30.082,116.49,29.274,38.462,455.41,18.404,11.439,0.029726,vapor
340.49,0.27817,0.1,10,27.49,30.271,116.93,29.353,38.497,458.73,17.521,11.628,0.030318,vapor
345.49,0.28245,0.1,10,27.637,30.461,117.36,29.44,38.545,462.01,16.702,11.817,0.030916,vapor
350.49,0.28672,0.1,10,27.784,30.651,117.78,29.536,38.604,465.25,15.942,12.007,0.031521,vapor
355.49,0.29099,0.1,10,27.932,30.842,118.2,29.638,38.673,468.45,15.235,12.197,0.032132,vapor
360.49,0.29525,0.1,10,28.08,31.033,118.61,29.747,38.751,471.62,14.575,12.388,0.03275,vapor
365.49,0.29951,0.1,10,28.229,31.225,119.02,29.862,38.837,474.76,13.96,12.579,0.033374,vapor
370.49,0.30376,0.1,10,28.379,31.417,119.43,29.981,38.93,477.86,13.384,12.771,0.034004,vapor
375.49,0.30802,0.1,10,28.529,31.609,119.83,30.106,39.029,480.93,12.844,12.962,0.034641,vapor
380.49,0.31226,0.1,10,28.68,31.803,120.23,30.233,39.134,483.98,12.336,13.154,0.035283,vapor
385.49,0.31651,0.1,10,28.832,31.997,120.63,30.365,39.244,486.99,11.859,13.347,0.035932,vapor
390.49,0.32075,0.1,10,28.984,32.191,121.02,30.499,39.358,489.98,11.409,13.539,0.036587,vapor
395.49,0.32498,0.1,10,29.137,32.386,121.41,30.636,39.476,492.94,10.985,13.731,0.037248,vapor
