Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300,0.1,0.040501,24.691,26.421,28.89,121,27.995,36.827,434.47,27.657,10.156,0.025369,vapor
300,0.2,0.081859,12.216,26.344,28.787,114.98,28.744,38.14,431.71,27.395,10.13,0.025617,vapor
300,0.3,0.12413,8.0561,26.264,28.681,111.34,29.525,39.539,428.89,27.137,10.105,0.025872,vapor
300,0.4,0.16738,5.9746,26.183,28.572,108.67,30.342,41.032,425.99,26.884,10.08,0.026133,vapor
300,0.5,0.21167,4.7243,26.098,28.46,106.53,31.195,42.631,423.01,26.634,10.055,0.026402,vapor
300,0.6,0.25709,3.8896,26.011,28.345,104.72,32.089,44.348,419.95,26.389,10.03,0.02668,vapor
300,0.7,0.30373,3.2924,25.922,28.226,103.13,33.026,46.198,416.79,26.148,10.006,0.026967,vapor
300,0.8,0.3517,2.8434,25.829,28.104,101.7,34.01,48.2,413.53,25.912,9.9806,0.027266,vapor
300,0.9,0.4011,2.4931,25.733,27.976,100.39,35.046,50.375,410.17,25.682,9.9556,0.027578,vapor
300,1,0.45208,2.212,25.633,27.845,99.171,36.137,52.749,406.68,25.457,9.9305,0.027906,vapor
300,1.0611,0.48409,2.0657,25.57,27.762,98.459,36.834,54.313,404.49,25.322,9.915,0.028116,vapor
