Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
216.59,0.1,0.056344,17.748,17.571,19.346,109.15,25.353,34.26,231.72,26.06,10.938,0.010736,vapor
221.59,0.1,0.055012,18.178,17.7,19.517,109.94,25.548,34.405,234.24,24.395,11.185,0.011071,vapor
226.59,0.1,0.053745,18.606,17.829,19.69,110.71,25.75,34.563,236.72,22.885,11.432,0.011411,vapor
231.59,0.1,0.052538,19.034,17.96,19.863,111.46,25.96,34.733,239.15,21.512,11.678,0.011754,vapor
236.59,0.1,0.051386,19.461,18.091,20.037,112.21,26.174,34.913,241.54,20.26,11.924,0.012102,vapor
241.59,0.1,0.050286,19.886,18.223,20.212,112.94,26.392,35.1,243.9,19.115,12.169,0.012453,vapor
246.59,0.1,0.049233,20.311,18.357,20.388,113.66,26.614,35.293,246.23,18.065,12.414,0.012807,vapor
251.59,0.1,0.048225,20.736,18.491,20.565,114.37,26.837,35.492,248.52,17.1,12.659,0.013165,vapor
256.59,0.1,0.047259,21.16,18.627,20.743,115.07,27.063,35.695,250.79,16.212,12.903,0.013527,vapor
261.59,0.1,0.046332,21.583,18.764,20.922,115.76,27.289,35.9,253.02,15.392,13.147,0.013891,vapor
266.59,0.1,0.045442,22.006,18.901,21.102,116.44,27.515,36.108,255.23,14.633,13.391,0.014258,vapor
271.59,0.1,0.044586,22.428,19.04,21.283,117.12,27.742,36.318,257.41,13.93,13.634,0.014628,vapor
276.59,0.1,0.043763,22.85,19.18,21.465,117.78,27.969,36.529,259.57,13.276,13.876,0.015,vapor
281.59,0.1,0.04297,23.272,19.321,21.648,118.44,28.194,36.741,261.71,12.669,14.118,0.015375,vapor
286.59,0.1,0.042206,23.693,19.463,21.833,119.09,28.419,36.953,263.82,12.103,14.359,0.015752,vapor
291.59,0.1,0.041469,24.114,19.606,22.018,119.73,28.643,37.164,265.92,11.574,14.6,0.016131,vapor
296.59,0.1,0.040758,24.535,19.751,22.204,120.36,28.865,37.376,267.99,11.08,14.84,0.016513,vapor
301.59,0.1,0.040071,24.956,19.896,22.392,120.99,29.087,37.587,270.04,10.617,15.079,0.016896,vapor
306.59,0.1,0.039407,25.376,20.043,22.58,121.61,29.306,37.797,272.08,10.183,15.318,0.017281,vapor
311.59,0.1,0.038766,25.796,20.19,22.77,122.22,29.524,38.006,274.1,9.7753,15.556,0.017668,vapor
316.59,0.1,0.038145,26.216,20.339,22.96,122.83,29.74,38.214,276.09,9.392,15.793,0.018057,vapor
321.59,0.1,0.037544,26.635,20.488,23.152,123.43,29.954,38.421,278.08,9.0311,16.03,0.018447,vapor
326.59,0.1,0.036962,27.055,20.639,23.344,124.02,30.166,38.626,280.04,8.6908,16.266,0.018839,vapor
331.59,0.1,0.036398,27.474,20.791,23.538,124.61,30.377,38.83,281.99,8.3696,16.501,0.019233,vapor
336.59,0.1,0.035851,27.893,20.943,23.733,125.19,30.585,39.032,283.93,8.066,16.735,0.019627,vapor
341.59,0.1,0.035321,28.312,21.097,23.928,125.77,30.791,39.233,285.85,7.7787,16.969,0.020023,vapor
346.59,0.1,0.034806,28.731,21.252,24.125,126.34,30.996,39.432,287.75,7.5067,17.201,0.02042,vapor
351.59,0.1,0.034306,29.15,21.408,24.323,126.91,31.198,39.629,289.64,7.2487,17.433,0.020818,vapor
356.59,0.1,0.03382,29.568,21.564,24.521,127.47,31.398,39.824,291.52,7.0038,17.664,0.021218,vapor
361.59,0.1,0.033348,29.987,21.722,24.721,128.02,31.596,40.018,293.38,6.7712,17.895,0.021618,vapor
366.59,0.1,0.032889,30.405,21.881,24.921,128.58,31.793,40.21,295.23,6.5499,18.124,0.022019,vapor
371.59,0.1,0.032443,30.823,22.041,25.123,129.12,31.987,40.4,297.07,6.3393,18.353,0.022421,vapor
376.59,0.1,0.032009,31.241,22.201,25.325,129.66,32.179,40.588,298.89,6.1387,18.58,0.022824,vapor
381.59,0.1,0.031586,31.659,22.363,25.529,130.2,32.369,40.775,300.71,5.9474,18.807,0.023227,vapor
386.59,0.1,0.031175,32.077,22.525,25.733,130.73,32.557,40.959,302.51,5.7648,19.033,0.023631,vapor
391.59,0.1,0.030774,32.495,22.689,25.938,131.26,32.742,41.142,304.3,5.5905,19.258,0.024036,vapor
396.59,0.1,0.030383,32.913,22.853,26.145,131.78,32.927,41.323,306.07,5.4238,19.483,0.024441,vapor
401.59,0.1,0.030002,33.331,23.019,26.352,132.3,33.109,41.502,307.84,5.2644,19.706,0.024847,vapor
406.59,0.1,0.029631,33.748,23.185,26.56,132.82,33.289,41.68,309.6,5.1118,19.929,0.025253,vapor
411.59,0.1,0.029269,34.166,23.352,26.768,133.33,33.467,41.855,311.34,4.9656,20.15,0.02566,vapor
416.59,0.1,0.028915,34.584,23.52,26.978,133.83,33.643,42.029,313.08,4.8254,20.371,0.026067,vapor
421.59,0.1,0.028571,35.001,23.689,27.189,134.33,33.818,42.202,314.8,4.691,20.591,0.026474,vapor
426.59,0.1,0.028234,35.418,23.858,27.4,134.83,33.99,42.372,316.51,4.5619,20.81,0.026882,vapor
431.59,0.1,0.027905,35.836,24.029,27.612,135.33,34.161,42.541,318.22,4.4379,21.028,0.02729,vapor
436.59,0.1,0.027584,36.253,24.2,27.826,135.82,34.33,42.708,319.91,4.3188,21.245,0.027698,vapor
441.59,0.1,0.02727,36.67,24.373,28.04,136.31,34.498,42.873,321.6,4.2042,21.461,0.028106,vapor
446.59,0.1,0.026963,37.088,24.546,28.254,136.79,34.663,43.037,323.27,4.094,21.677,0.028515,vapor
