Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
216.59,0.17547,0.1,10,17.523,19.277,104.26,25.742,35.141,230.21,26.059,10.929,0.010794,vapor
221.59,0.17977,0.1,10,17.652,19.45,104.85,25.912,35.242,232.75,24.396,11.177,0.011131,vapor
226.59,0.18406,0.1,10,17.782,19.622,105.43,26.092,35.36,235.25,22.888,11.425,0.011472,vapor
231.59,0.18834,0.1,10,17.913,19.796,106,26.281,35.492,237.7,21.517,11.673,0.011817,vapor
236.59,0.19262,0.1,10,18.045,19.971,106.56,26.476,35.637,240.12,20.266,11.92,0.012166,vapor
241.59,0.19688,0.1,10,18.178,20.146,107.12,26.677,35.793,242.51,19.122,12.168,0.012519,vapor
246.59,0.20115,0.1,10,18.312,20.323,107.67,26.883,35.956,244.86,18.073,12.414,0.012875,vapor
251.59,0.2054,0.1,10,18.446,20.5,108.21,27.092,36.127,247.18,17.11,12.66,0.013235,vapor
256.59,0.20966,0.1,10,18.582,20.679,108.74,27.303,36.304,249.46,16.222,12.906,0.013597,vapor
261.59,0.2139,0.1,10,18.719,20.859,109.27,27.517,36.486,251.73,15.402,13.152,0.013963,vapor
266.59,0.21815,0.1,10,18.858,21.039,109.79,27.732,36.671,253.96,14.643,13.396,0.014331,vapor
271.59,0.22239,0.1,10,18.997,21.221,110.31,27.948,36.86,256.17,13.939,13.641,0.014703,vapor
276.59,0.22663,0.1,10,19.137,21.403,110.82,28.164,37.051,258.35,13.286,13.885,0.015076,vapor
281.59,0.23086,0.1,10,19.278,21.587,111.33,28.38,37.244,260.51,12.678,14.128,0.015452,vapor
286.59,0.23509,0.1,10,19.421,21.772,111.83,28.596,37.438,262.65,12.111,14.37,0.015831,vapor
291.59,0.23932,0.1,10,19.564,21.958,112.33,28.812,37.634,264.77,11.582,14.612,0.016211,vapor
