Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
450,0.1,0.026758,37.372,24.664,28.401,137.12,34.775,43.148,324.41,4.0212,21.823,0.028793,vapor
450,0.2,0.053578,18.664,24.651,28.384,131.33,34.795,43.226,324.23,4.0177,21.837,0.028835,vapor
450,0.3,0.08046,12.429,24.638,28.366,127.93,34.815,43.304,324.06,4.0141,21.851,0.028876,vapor
450,0.4,0.1074,9.3106,24.625,28.349,125.5,34.835,43.383,323.89,4.0104,21.865,0.028918,vapor
450,0.5,0.13441,7.4399,24.612,28.332,123.62,34.855,43.463,323.72,4.0068,21.879,0.02896,vapor
450,0.6,0.16148,6.1928,24.599,28.314,122.07,34.874,43.543,323.55,4.0031,21.893,0.029002,vapor
450,0.7,0.18861,5.3019,24.585,28.297,120.76,34.894,43.623,323.39,3.9994,21.908,0.029044,vapor
450,0.8,0.2158,4.6338,24.572,28.279,119.62,34.914,43.704,323.22,3.9956,21.923,0.029086,vapor
450,0.9,0.24306,4.1142,24.559,28.262,118.62,34.934,43.785,323.06,3.9918,21.937,0.029129,vapor
450,1,0.27038,3.6985,24.546,28.244,117.71,34.954,43.866,322.89,3.988,21.952,0.029172,vapor
450,1.1,0.29776,3.3584,24.533,28.227,116.89,34.974,43.948,322.73,3.9841,21.967,0.029214,vapor
450,1.2,0.32521,3.075,24.519,28.209,116.14,34.994,44.03,322.57,3.9802,21.982,0.029257,vapor
450,1.3,0.35271,2.8352,24.506,28.192,115.44,35.014,44.113,322.41,3.9763,21.998,0.029301,vapor
450,1.4,0.38028,2.6296,24.493,28.174,114.8,35.034,44.196,322.25,3.9723,22.013,0.029344,vapor
450,1.5,0.40792,2.4515,24.48,28.157,114.19,35.055,44.28,322.1,3.9683,22.029,0.029387,vapor
450,1.6,0.43562,2.2956,24.466,28.139,113.63,35.075,44.364,321.94,3.9642,22.044,0.029431,vapor
450,1.7,0.46338,2.1581,24.453,28.122,113.09,35.095,44.448,321.79,3.9602,22.06,0.029475,vapor
450,1.8,0.4912,2.0358,24.439,28.104,112.59,35.115,44.533,321.63,3.9561,22.076,0.029519,vapor
450,1.9,0.51909,1.9265,24.426,28.086,112.11,35.135,44.618,321.48,3.9519,22.092,0.029563,vapor
450,2,0.54704,1.828,24.413,28.069,111.65,35.155,44.704,321.33,3.9477,22.109,0.029608,vapor
450,2.1,0.57506,1.739,24.399,28.051,111.22,35.176,44.79,321.18,3.9435,22.125,0.029653,vapor
450,2.2,0.60313,1.658,24.386,28.033,110.8,35.196,44.877,321.04,3.9392,22.142,0.029697,vapor
450,2.3,0.63128,1.5841,24.372,28.016,110.4,35.216,44.964,320.89,3.9349,22.159,0.029742,vapor
450,2.4,0.65948,1.5163,24.359,27.998,110.02,35.237,45.051,320.75,3.9306,22.176,0.029788,vapor
450,2.5,0.68775,1.454,24.345,27.98,109.65,35.257,45.139,320.6,3.9262,22.193,0.029833,vapor
450,2.6,0.71609,1.3965,24.332,27.963,109.29,35.277,45.228,320.46,3.9218,22.21,0.029879,vapor
450,2.7,0.74449,1.3432,24.318,27.945,108.95,35.298,45.316,320.32,3.9173,22.227,0.029925,vapor
450,2.8,0.77295,1.2937,24.305,27.927,108.62,35.318,45.405,320.18,3.9128,22.245,0.029971,vapor
450,2.9,0.80148,1.2477,24.291,27.909,108.29,35.338,45.495,320.05,3.9083,22.263,0.030017,vapor
450,3,0.83007,1.2047,24.277,27.891,107.98,35.359,45.585,319.91,3.9037,22.281,0.030063,vapor
450,3.1,0.85872,1.1645,24.264,27.874,107.68,35.379,45.676,319.77,3.8991,22.299,0.03011,vapor
450,3.2,0.88744,1.1268,24.25,27.856,107.39,35.399,45.767,319.64,3.8945,22.317,0.030157,vapor
450,3.3,0.91623,1.0914,24.236,27.838,107.1,35.42,45.858,319.51,3.8898,22.335,0.030204,vapor
450,3.4,0.94508,1.0581,24.223,27.82,106.82,35.44,45.95,319.38,3.885,22.354,0.030251,vapor
450,3.5,0.97399,1.0267,24.209,27.802,106.55,35.461,46.042,319.25,3.8803,22.373,0.030299,vapor
450,3.6,1.003,0.99704,24.195,27.784,106.28,35.481,46.135,319.12,3.8754,22.392,0.030347,vapor
450,3.7,1.032,0.96898,24.181,27.767,106.03,35.502,46.228,319,3.8706,22.411,0.030395,vapor
450,3.8,1.0611,0.9424,24.168,27.749,105.77,35.522,46.321,318.87,3.8657,22.43,0.030443,vapor
450,3.9,1.0903,0.91718,24.154,27.731,105.53,35.543,46.415,318.75,3.8607,22.449,0.030492,vapor
450,4,1.1195,0.89323,24.14,27.713,105.29,35.563,46.51,318.63,3.8557,22.469,0.03054,vapor
