Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
105.69,0.043161,0.05,20,7.1865,8.0497,78.961,25.448,34.401,267.23,32.952,4.122,0.010552,vapor
110.69,0.045276,0.05,20,7.3135,8.219,80.135,25.356,34.232,273.76,29.44,4.3108,0.011115,vapor
115.69,0.047386,0.05,20,7.4401,8.3878,81.254,25.288,34.104,280.13,26.578,4.5008,0.011687,vapor
120.69,0.049493,0.05,20,7.5664,8.5563,82.323,25.237,34.004,286.33,24.195,4.6918,0.012266,vapor
125.69,0.051597,0.05,20,7.6925,8.7244,83.346,25.198,33.925,292.4,22.18,4.8834,0.012849,vapor
130.69,0.053698,0.05,20,7.8184,8.8924,84.329,25.168,33.861,298.33,20.455,5.0755,0.013436,vapor
135.69,0.055798,0.05,20,7.9442,9.0601,85.273,25.145,33.809,304.13,18.962,5.2678,0.014024,vapor
140.69,0.057896,0.05,20,8.0699,9.2278,86.183,25.128,33.766,309.83,17.656,5.46,0.014614,vapor
145.69,0.059992,0.05,20,8.1955,9.3953,87.06,25.115,33.732,315.41,16.505,5.652,0.015205,vapor
150.69,0.062087,0.05,20,8.321,9.5628,87.907,25.107,33.705,320.89,15.482,5.8437,0.015796,vapor
155.69,0.064182,0.05,20,8.4465,9.7302,88.727,25.103,33.684,326.27,14.566,6.0349,0.016388,vapor
160.69,0.066275,0.05,20,8.5721,9.8976,89.52,25.102,33.668,331.56,13.742,6.2255,0.016979,vapor
165.69,0.068368,0.05,20,8.6976,10.065,90.289,25.106,33.658,336.76,12.995,6.4155,0.017571,vapor
170.69,0.07046,0.05,20,8.8231,10.232,91.036,25.113,33.653,341.87,12.314,6.6046,0.018163,vapor
175.69,0.072551,0.05,20,8.9487,10.4,91.761,25.124,33.653,346.89,11.692,6.793,0.018756,vapor
180.69,0.074642,0.05,20,9.0744,10.567,92.466,25.14,33.659,351.84,11.12,6.9804,0.01935,vapor
185.69,0.076732,0.05,20,9.2001,10.735,93.153,25.161,33.671,356.71,10.593,7.1669,0.019947,vapor
190.69,0.078822,0.05,20,9.326,10.902,93.822,25.186,33.688,361.49,10.105,7.3525,0.020558,vapor
195.69,0.080912,0.05,20,9.452,11.07,94.474,25.217,33.711,366.21,9.6508,7.537,0.021126,vapor
200.69,0.083001,0.05,20,9.5782,11.238,95.111,25.254,33.741,370.85,9.228,7.7205,0.021709,vapor
205.69,0.08509,0.05,20,9.7045,11.406,95.733,25.297,33.777,375.42,8.8329,7.9029,0.022295,vapor
210.69,0.087179,0.05,20,9.8311,11.575,96.341,25.346,33.82,379.91,8.4626,8.0842,0.022885,vapor
215.69,0.089267,0.05,20,9.958,11.743,96.936,25.402,33.87,384.34,8.1147,8.2645,0.023478,vapor
220.69,0.091356,0.05,20,10.085,11.912,97.519,25.464,33.927,388.7,7.7872,8.4436,0.024074,vapor
225.69,0.093444,0.05,20,10.213,12.082,98.09,25.534,33.992,392.99,7.4781,8.6217,0.024674,vapor
230.69,0.095531,0.05,20,10.341,12.251,98.65,25.611,34.064,397.22,7.1859,8.7986,0.025277,vapor
235.69,0.097619,0.05,20,10.469,12.421,99.2,25.696,34.145,401.38,6.9092,8.9745,0.025885,vapor
240.69,0.099706,0.05,20,10.597,12.592,99.741,25.789,34.233,405.48,6.6467,9.1492,0.026497,vapor
245.69,0.10179,0.05,20,10.727,12.763,100.27,25.889,34.33,409.51,6.3973,9.3228,0.027114,vapor
