Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
288.33,0.01,0.0042545,235.04,31.406,33.757,118.22,88.962,108.35,292.55,1248.5,9.3147,0.01429,vapor
305.61,0.01,0.0039617,252.42,32.398,34.923,122.16,41.492,50.958,309.74,372.05,9.8799,0.01575,vapor
310.61,0.01,0.0038939,256.81,32.603,35.171,122.97,39.742,48.833,312.79,273.73,10.044,0.01619,vapor
315.61,0.01,0.0038295,261.13,32.801,35.413,123.74,38.984,47.87,315.49,213.29,10.208,0.016638,vapor
320.61,0.01,0.0037677,265.41,32.997,35.651,124.49,38.715,47.478,317.98,174.59,10.373,0.017095,vapor
325.61,0.01,0.0037082,269.67,33.191,35.888,125.23,38.697,47.381,320.36,148.28,10.538,0.017559,vapor
330.61,0.01,0.0036508,273.91,33.386,36.125,125.95,38.817,47.445,322.66,129.23,10.703,0.018031,vapor
335.61,0.01,0.0035953,278.14,33.581,36.363,126.66,39.015,47.603,324.91,114.63,10.869,0.018511,vapor
340.61,0.01,0.0035415,282.36,33.778,36.601,127.37,39.263,47.819,327.12,102.93,11.035,0.018998,vapor
345.61,0.01,0.0034895,286.58,33.975,36.841,128.07,39.544,48.074,329.29,93.235,11.201,0.019494,vapor
350.61,0.01,0.003439,290.79,34.174,37.082,128.76,39.849,48.357,331.44,84.993,11.367,0.019997,vapor
355.61,0.01,0.00339,294.99,34.375,37.324,129.44,40.171,48.661,333.56,77.866,11.534,0.020508,vapor
360.61,0.01,0.0033424,299.19,34.577,37.569,130.13,40.507,48.982,335.66,71.623,11.701,0.021026,vapor
365.61,0.01,0.0032962,303.38,34.78,37.814,130.8,40.855,49.315,337.73,66.101,11.868,0.021551,vapor
370.61,0.01,0.0032512,307.58,34.986,38.062,131.48,41.212,49.66,339.79,61.181,12.036,0.022084,vapor
375.61,0.01,0.0032075,311.76,35.193,38.311,132.14,41.577,50.014,341.82,56.77,12.203,0.022624,vapor
380.61,0.01,0.003165,315.95,35.402,38.562,132.81,41.948,50.376,343.84,52.795,12.371,0.023171,vapor
385.61,0.01,0.0031237,320.14,35.613,38.815,133.47,42.325,50.744,345.84,49.197,12.539,0.023725,vapor
390.61,0.01,0.0030834,324.32,35.826,39.069,134.12,42.706,51.118,347.83,45.928,12.708,0.024286,vapor
395.61,0.01,0.0030442,328.5,36.041,39.326,134.78,43.092,51.497,349.79,42.947,12.876,0.024854,vapor
400.61,0.01,0.0030059,332.68,36.258,39.584,135.42,43.481,51.879,351.75,40.22,13.045,0.025429,vapor
405.61,0.01,0.0029686,336.86,36.476,39.845,136.07,43.873,52.266,353.69,37.717,13.214,0.02601,vapor
410.61,0.01,0.0029323,341.03,36.697,40.107,136.71,44.267,52.655,355.61,35.413,13.383,0.026597,vapor
415.61,0.01,0.0028968,345.21,36.919,40.371,137.35,44.663,53.046,357.53,33.288,13.552,0.027191,vapor
420.61,0.01,0.0028622,349.38,37.144,40.637,137.99,45.061,53.439,359.43,31.322,13.721,0.027791,vapor
425.61,0.01,0.0028284,353.55,37.37,40.906,138.62,45.46,53.834,361.31,29.5,13.891,0.028397,vapor
430.61,0.01,0.0027955,357.72,37.599,41.176,139.25,45.86,54.23,363.19,27.807,14.06,0.02901,vapor
435.61,0.01,0.0027632,361.89,37.829,41.448,139.88,46.26,54.627,365.05,26.231,14.23,0.029628,vapor
440.61,0.01,0.0027318,366.06,38.061,41.722,140.51,46.661,55.025,366.91,24.762,14.4,0.030252,vapor
445.61,0.01,0.002701,370.23,38.296,41.998,141.13,47.062,55.422,368.75,23.389,14.57,0.030881,vapor
450.61,0.01,0.0026709,374.4,38.532,42.276,141.75,47.462,55.82,370.58,22.104,14.74,0.031516,vapor
455.61,0.01,0.0026415,378.57,38.771,42.556,142.37,47.863,56.218,372.4,20.901,14.91,0.032156,vapor
460.61,0.01,0.0026128,382.74,39.011,42.838,142.99,48.263,56.616,374.21,19.772,15.08,0.032802,vapor
465.61,0.01,0.0025846,386.9,39.253,43.123,143.6,48.662,57.013,376.01,18.711,15.25,0.033453,vapor
470.61,0.01,0.0025571,391.07,39.498,43.409,144.21,49.061,57.409,377.81,17.713,15.42,0.034109,vapor
475.61,0.01,0.0025301,395.24,39.744,43.697,144.82,49.459,57.805,379.59,16.773,15.591,0.034771,vapor
480.61,0.01,0.0025038,399.4,39.993,43.987,145.43,49.855,58.2,381.36,15.887,15.761,0.035437,vapor
