Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
345.61,0.13525,0.05,20,32.85,35.555,103.03,109.61,141.21,312.14,159.07,11.053,0.019843,vapor
350.61,0.13867,0.05,20,33.328,36.101,104.4,83.654,105.61,317.62,138.96,11.225,0.020343,vapor
355.61,0.14165,0.05,20,33.705,36.538,105.47,68.444,85.54,322.35,119.39,11.397,0.020853,vapor
360.61,0.14437,0.05,20,34.022,36.91,106.36,59.411,73.842,326.43,101.93,11.57,0.021371,vapor
365.61,0.14692,0.05,20,34.305,37.243,107.14,53.989,66.852,329.97,87.358,11.742,0.021897,vapor
370.61,0.14936,0.05,20,34.566,37.553,107.84,50.712,62.601,333.09,75.685,11.914,0.022431,vapor
375.61,0.15173,0.05,20,34.814,37.849,108.51,48.733,59.983,335.9,66.491,12.087,0.022971,vapor
380.61,0.15406,0.05,20,35.054,38.135,109.15,47.553,58.364,338.5,59.24,12.259,0.023519,vapor
385.61,0.15634,0.05,20,35.29,38.417,109.76,46.874,57.371,340.94,53.444,12.431,0.024074,vapor
390.61,0.15861,0.05,20,35.524,38.696,110.36,46.516,56.777,343.27,48.719,12.603,0.024636,vapor
395.61,0.16085,0.05,20,35.756,38.973,110.95,46.368,56.445,345.52,44.781,12.776,0.025205,vapor
400.61,0.16308,0.05,20,35.988,39.249,111.54,46.359,56.289,347.7,41.429,12.948,0.02578,vapor
405.61,0.1653,0.05,20,36.22,39.526,112.11,46.447,56.253,349.84,38.519,13.12,0.026362,vapor
410.61,0.16751,0.05,20,36.452,39.802,112.68,46.601,56.303,351.94,35.952,13.293,0.02695,vapor
415.61,0.16971,0.05,20,36.686,40.08,113.25,46.804,56.414,354.01,33.656,13.465,0.027545,vapor
420.61,0.1719,0.05,20,36.92,40.358,113.81,47.042,56.572,356.05,31.582,13.638,0.028146,vapor
425.61,0.17408,0.05,20,37.156,40.638,114.36,47.307,56.764,358.06,29.69,13.81,0.028753,vapor
430.61,0.17626,0.05,20,37.393,40.918,114.92,47.592,56.983,360.05,27.954,13.982,0.029366,vapor
435.61,0.17843,0.05,20,37.632,41.201,115.47,47.893,57.224,362.02,26.351,14.155,0.029984,vapor
440.61,0.1806,0.05,20,37.872,41.484,116.02,48.206,57.482,363.97,24.865,14.327,0.030609,vapor
445.61,0.18276,0.05,20,38.114,41.769,116.56,48.53,57.754,365.9,23.483,14.5,0.031239,vapor
450.61,0.18492,0.05,20,38.358,42.056,117.11,48.861,58.037,367.81,22.193,14.672,0.031875,vapor
455.61,0.18707,0.05,20,38.603,42.344,117.65,49.2,58.331,369.71,20.987,14.845,0.032516,vapor
460.61,0.18922,0.05,20,38.85,42.634,118.19,49.543,58.632,371.59,19.857,15.017,0.033163,vapor
465.61,0.19136,0.05,20,39.098,42.925,118.72,49.891,58.941,373.46,18.795,15.189,0.033814,vapor
470.61,0.1935,0.05,20,39.349,43.219,119.26,50.243,59.255,375.31,17.797,15.362,0.034471,vapor
475.61,0.19564,0.05,20,39.601,43.513,119.79,50.597,59.574,377.15,16.858,15.534,0.035133,vapor
480.61,0.19778,0.05,20,39.854,43.81,120.32,50.954,59.897,378.97,15.972,15.706,0.0358,vapor
485.61,0.19991,0.05,20,40.11,44.108,120.85,51.312,60.224,380.79,15.137,15.879,0.036472,vapor
490.61,0.20204,0.05,20,40.368,44.408,121.38,51.672,60.554,382.59,14.347,16.051,0.037148,vapor
495.61,0.20417,0.05,20,40.627,44.71,121.91,52.033,60.886,384.37,13.601,16.223,0.037829,vapor
500.61,0.20629,0.05,20,40.888,45.014,122.43,52.394,61.22,386.15,12.895,16.395,0.038515,vapor
505.61,0.20841,0.05,20,41.151,45.319,122.95,52.755,61.555,387.92,12.227,16.567,0.039205,vapor
510.61,0.21053,0.05,20,41.415,45.626,123.47,53.117,61.892,389.67,11.594,16.739,0.039899,vapor
515.61,0.21265,0.05,20,41.682,45.935,123.99,53.479,62.23,391.41,10.994,16.911,0.040598,vapor
