Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
63.151,0.01,0.019188,52.115,1.2966,1.8177,165.45,20.962,29.534,161.29,40.635,4.3738,0.0056167,vapor
68.151,0.01,0.017753,56.328,1.4018,1.9651,167.7,20.912,29.425,167.7,34.273,4.7283,0.0061241,vapor
73.151,0.01,0.016521,60.53,1.5067,2.112,169.78,20.879,29.351,173.86,29.439,5.0798,0.0066291,vapor
78.151,0.01,0.015451,64.722,1.6114,2.2586,171.72,20.857,29.299,179.79,25.667,5.428,0.0071315,vapor
83.151,0.01,0.014512,68.908,1.7159,2.405,173.53,20.841,29.261,185.53,22.657,5.7728,0.0076307,vapor
88.151,0.01,0.013682,73.089,1.8204,2.5513,175.24,20.83,29.233,191.08,20.209,6.1141,0.0081265,vapor
93.151,0.01,0.012942,77.267,1.9247,2.6974,176.85,20.822,29.211,196.48,18.183,6.4518,0.0086188,vapor
98.151,0.01,0.012279,81.442,2.029,2.8434,178.38,20.816,29.195,201.72,16.483,6.7861,0.0091074,vapor
103.15,0.01,0.01168,85.614,2.1332,2.9893,179.83,20.811,29.182,206.83,15.038,7.1168,0.0095921,vapor
108.15,0.01,0.011138,89.784,2.2374,3.1352,181.21,20.808,29.171,211.81,13.797,7.4441,0.010073,vapor
113.15,0.01,0.010644,93.953,2.3415,3.281,182.53,20.805,29.163,216.67,12.719,7.7678,0.01055,vapor
118.15,0.01,0.010192,98.12,2.4456,3.4268,183.79,20.803,29.156,221.43,11.776,8.0881,0.011023,vapor
123.15,0.01,0.0097765,102.29,2.5497,3.5726,185,20.801,29.15,226.09,10.945,8.4051,0.011492,vapor
128.15,0.01,0.0093939,106.45,2.6538,3.7183,186.16,20.8,29.145,230.65,10.206,8.7187,0.011957,vapor
133.15,0.01,0.0090402,110.62,2.7579,3.864,187.27,20.799,29.141,235.12,9.5462,9.0289,0.012419,vapor
138.15,0.01,0.0087123,114.78,2.8619,4.0097,188.35,20.798,29.138,239.5,8.953,9.336,0.012876,vapor
143.15,0.01,0.0084073,118.94,2.966,4.1554,189.39,20.797,29.135,243.81,8.4171,9.6399,0.01333,vapor
148.15,0.01,0.008123,123.11,3.07,4.3011,190.39,20.797,29.132,248.04,7.9308,9.9407,0.013779,vapor
153.15,0.01,0.0078574,127.27,3.1741,4.4468,191.35,20.796,29.13,252.2,7.4876,10.238,0.014226,vapor
158.15,0.01,0.0076086,131.43,3.2781,4.5924,192.29,20.796,29.128,256.29,7.082,10.533,0.014668,vapor
163.15,0.01,0.007375,135.59,3.3821,4.738,193.19,20.796,29.127,260.31,6.7096,10.825,0.015107,vapor
168.15,0.01,0.0071554,139.75,3.4861,4.8837,194.07,20.795,29.125,264.28,6.3664,11.114,0.015542,vapor
