Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
150,0.1,0.080647,12.4,3.0946,4.3345,1.72E+02,20.847,29.37,249,7.7591,10.08,0.014004,vapor
150,0.2,0.16224,6.1637,3.0789,4.3116,165.64,20.903,29.643,248.35,7.7553,10.113,0.014074,vapor
150,0.3,0.24481,4.0849,3.0631,4.2886,162.16,20.96,29.924,247.7,7.7508,10.146,0.014149,vapor
150,0.4,0.32837,3.0454,3.0471,4.2653,159.66,21.018,30.214,247.06,7.7457,10.18,0.014228,vapor
150,0.5,0.41296,2.4216,3.031,4.2417,157.7,21.077,30.513,246.41,7.74,10.216,0.014311,vapor
150,0.6,0.4986,2.0056,3.0146,4.218,156.08,21.137,30.821,245.76,7.7336,10.252,0.014399,vapor
150,0.7,0.58532,1.7085,2.9982,4.1941,154.68,21.198,31.139,245.12,7.7266,10.289,0.014491,vapor
150,0.8,0.67316,1.4855,2.9815,4.1699,153.46,21.259,31.468,244.48,7.7188,10.327,0.014588,vapor
150,0.9,0.76214,1.3121,2.9646,4.1455,152.37,21.322,31.808,243.84,7.7103,10.366,0.014689,vapor
150,1,0.8523,1.1733,2.9476,4.1208,151.38,21.385,32.159,243.2,7.7009,10.407,0.014795,vapor
150,1.1,0.94367,1.0597,2.9303,4.096,150.47,21.45,32.522,242.56,7.6908,10.448,0.014905,vapor
150,1.2,1.0363,0.96498,2.9128,4.0708,149.63,21.515,32.897,241.93,7.6798,10.491,0.01502,vapor
150,1.3,1.1302,0.8848,2.8952,4.0454,148.84,21.581,33.285,241.3,7.6678,10.534,0.01514,vapor
150,1.4,1.2254,0.81604,2.8773,4.0198,148.1,21.648,33.688,240.67,7.655,10.579,0.015264,vapor
150,1.5,1.322,0.75642,2.8592,3.9938,147.41,21.717,34.104,240.05,7.6411,10.626,0.015394,vapor
150,1.6,1.42,0.70422,2.8409,3.9677,146.75,21.786,34.535,239.43,7.6262,10.673,0.015528,vapor
150,1.7,1.5195,0.65813,2.8224,3.9412,146.12,21.856,34.982,238.81,7.6102,10.722,0.015667,vapor
150,1.8,1.6204,0.61713,2.8036,3.9144,145.51,21.927,35.446,238.2,7.5931,10.773,0.015812,vapor
150,1.9,1.7229,0.58042,2.7845,3.8873,144.93,21.999,35.927,237.59,7.5748,10.825,0.015961,vapor
150,2,1.827,0.54736,2.7653,3.86,144.37,22.073,36.426,236.99,7.5552,10.878,0.016116,vapor
150,2.1,1.9327,0.51741,2.7457,3.8323,143.84,22.147,36.945,236.39,7.5344,10.933,0.016277,vapor
150,2.2,2.0401,0.49017,2.7259,3.8043,143.31,22.222,37.483,235.8,7.5122,10.99,0.016442,vapor
150,2.3,2.1493,0.46527,2.7059,3.776,142.81,22.299,38.043,235.22,7.4886,11.049,0.016614,vapor
150,2.4,2.2603,0.44242,2.6855,3.7473,142.31,22.376,38.625,234.64,7.4635,11.109,0.016791,vapor
150,2.5,2.3731,0.42138,2.6649,3.7183,141.83,22.455,39.23,234.08,7.4369,11.172,0.016975,vapor
150,2.6,2.4879,0.40194,2.6439,3.689,141.36,22.534,39.86,233.52,7.4087,11.236,0.017164,vapor
150,2.7,2.6047,0.38391,2.6227,3.6593,140.9,22.615,40.516,232.97,7.3788,11.303,0.01736,vapor
150,2.8,2.7236,0.36716,2.6011,3.6292,140.45,22.697,41.199,232.43,7.3472,11.372,0.017563,vapor
150,2.9,2.8446,0.35154,2.5793,3.5987,140.01,22.78,41.91,231.91,7.3138,11.443,0.017773,vapor
150,3,2.9679,0.33694,2.557,3.5679,139.57,22.864,42.652,231.39,7.2785,11.517,0.017989,vapor
150,3.1,3.0934,0.32327,2.5345,3.5366,139.14,22.949,43.425,230.89,7.2412,11.593,0.018213,vapor
150,3.2,3.2213,0.31043,2.5116,3.505,138.72,23.035,44.231,230.41,7.2018,11.672,0.018445,vapor
150,3.3,3.3517,0.29836,2.4883,3.4729,138.31,23.122,45.072,229.93,7.1603,11.754,0.018685,vapor
150,3.4,3.4846,0.28698,2.4647,3.4404,137.89,23.21,45.95,229.48,7.1166,11.839,0.018933,vapor
