Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
103.75,1,1.4754,0.67778,1.78,2.4577,137.99,24.612,46.272,182.79,16.471,7.8351,0.011671,vapor
108.15,1,1.3593,0.7357,1.9149,2.6506,139.81,23.599,41.758,190.98,14.873,8.0633,0.011797,vapor
113.15,1,1.2563,0.79597,2.0554,2.8514,141.62,22.925,38.791,199.08,13.423,8.3338,0.012049,vapor
118.15,1,1.1729,0.85256,2.1877,3.0402,143.26,22.483,36.879,206.36,12.236,8.6107,0.012361,vapor
123.15,1,1.103,0.90661,2.3145,3.2211,144.76,22.171,35.537,213.06,11.237,8.8912,0.012708,vapor
128.15,1,1.043,0.95878,2.4374,3.3962,146.15,21.938,34.543,219.31,10.38,9.1735,0.013076,vapor
133.15,1,0.99057,1.0095,2.5574,3.5669,147.46,21.759,33.779,225.21,9.6347,9.4564,0.013458,vapor
138.15,1,0.94418,1.0591,2.6751,3.7342,148.69,21.619,33.176,230.82,8.9797,9.7393,0.013849,vapor
143.15,1,0.90268,1.1078,2.791,3.8989,149.86,21.506,32.689,236.19,8.3987,10.022,0.014246,vapor
148.15,1,0.86525,1.1557,2.9055,4.0613,150.98,21.415,32.289,241.34,7.8794,10.303,0.014646,vapor
153.15,1,0.83124,1.203,3.0188,4.2219,152.04,21.34,31.956,246.31,7.412,10.583,0.015048,vapor
158.15,1,0.80014,1.2498,3.1311,4.3809,153.07,21.277,31.674,251.12,6.9891,10.862,0.015452,vapor
163.15,1,0.77156,1.2961,3.2426,4.5387,154.05,21.224,31.434,255.79,6.6042,11.139,0.015856,vapor
168.15,1,0.74518,1.342,3.3533,4.6953,154.99,21.18,31.228,260.33,6.2525,11.415,0.01626,vapor
173.15,1,0.72072,1.3875,3.4635,4.851,155.91,21.142,31.049,264.75,5.9296,11.688,0.016663,vapor
