Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.09,1,0.49168,2.0338,24.542,26.576,103.59,70.043,90.047,214.79,21.407,8.2483,0.019253,vapor
300.52,1,0.49031,2.0395,24.575,26.615,103.72,70.088,89.967,215.16,21.269,8.2606,0.019299,vapor
305.52,1,0.47528,2.104,24.959,27.063,105.2,70.648,89.234,219.25,19.793,8.4023,0.019843,vapor
310.52,1,0.46161,2.1663,25.341,27.508,106.65,71.269,88.803,223.1,18.494,8.5434,0.020402,vapor
315.52,1,0.44908,2.2268,25.724,27.951,108.06,71.941,88.602,226.75,17.338,8.6838,0.020972,vapor
320.52,1,0.43751,2.2857,26.108,28.394,109.46,72.655,88.579,230.22,16.301,8.8237,0.021554,vapor
325.52,1,0.42676,2.3432,26.494,28.837,110.83,73.404,88.697,233.53,15.365,8.9628,0.022146,vapor
330.52,1,0.41674,2.3996,26.882,29.281,112.18,74.18,88.928,236.72,14.513,9.1013,0.022747,vapor
335.52,1,0.40735,2.4549,27.272,29.727,113.52,74.982,89.253,239.78,13.736,9.2392,0.023356,vapor
340.52,1,0.39851,2.5093,27.665,30.174,114.84,75.803,89.655,242.74,13.024,9.3765,0.023975,vapor
345.52,1,0.39018,2.5629,28.06,30.623,116.15,76.642,90.122,245.61,12.368,9.5131,0.024601,vapor
350.52,1,0.3823,2.6158,28.459,31.075,117.45,77.495,90.642,248.39,11.763,9.6491,0.025235,vapor
355.52,1,0.37482,2.668,28.862,31.53,118.74,78.359,91.209,251.1,11.202,9.7846,0.025877,vapor
360.52,1,0.3677,2.7196,29.268,31.987,120.02,79.234,91.815,253.73,10.682,9.9194,0.026527,vapor
365.52,1,0.36093,2.7706,29.677,32.448,121.29,80.117,92.454,256.3,10.199,10.054,0.027184,vapor
