Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300,0.1,0.040729,24.553,25.479,27.934,126,65.72,74.616,249.43,16.765,8.1725,0.018513,vapor
300,0.2,0.082814,12.075,25.392,27.807,119.95,66.074,75.619,246.23,17.109,8.1697,0.018542,vapor
300,0.3,0.12639,7.912,25.302,27.675,116.27,66.447,76.722,242.92,17.479,8.1689,0.01858,vapor
300,0.4,0.17162,5.8269,25.208,27.539,113.56,66.843,77.943,239.47,17.881,8.1703,0.018627,vapor
300,0.5,0.21868,4.5728,25.11,27.397,111.36,67.265,79.308,235.87,18.319,8.1743,0.018686,vapor
300,0.6,0.26782,3.7339,25.008,27.248,109.49,67.718,80.85,232.1,18.802,8.1811,0.018757,vapor
300,0.7,0.31931,3.1318,24.9,27.092,107.84,68.209,82.614,228.14,19.34,8.1911,0.018845,vapor
300,0.8,0.3735,2.6774,24.786,26.928,106.32,68.748,84.666,223.95,19.945,8.2048,0.018952,vapor
300,0.9,0.43085,2.321,24.665,26.754,104.91,69.35,87.101,219.49,20.636,8.2227,0.019082,vapor
300,0.99768,0.49051,2.0387,24.538,26.572,103.6,70.016,89.989,214.82,21.416,8.2451,0.019239,vapor
