Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
220.53,0.059578,0.033333,30,20.854,22.642,109.84,51.604,60.922,215.9,42.551,6.0067,0.010658,vapor
225.53,0.061006,0.033333,30,21.114,22.945,111,52.396,61.658,218.27,39.754,6.1447,0.011098,vapor
230.53,0.062432,0.033333,30,21.378,23.251,112.16,53.2,62.41,220.6,37.188,6.2824,0.011544,vapor
235.53,0.063856,0.033333,30,21.646,23.562,113.31,54.016,63.178,222.9,34.832,6.42,0.011999,vapor
240.53,0.065278,0.033333,30,21.919,23.877,114.46,54.846,63.964,225.16,32.669,6.5573,0.01246,vapor
245.53,0.066698,0.033333,30,22.195,24.196,115.59,55.689,64.767,227.39,30.68,6.6945,0.012929,vapor
250.53,0.068116,0.033333,30,22.476,24.519,116.72,56.547,65.586,229.59,28.85,6.8314,0.013405,vapor
255.53,0.069532,0.033333,30,22.76,24.846,117.85,57.417,66.422,231.76,27.164,6.9681,0.013888,vapor
260.52,0.070947,0.033333,30,23.05,25.178,118.97,58.301,67.274,233.9,25.608,7.1046,0.014379,vapor
265.52,0.072361,0.033333,30,23.343,25.514,120.09,59.197,68.141,236.02,24.17,7.2408,0.014877,vapor
270.52,0.073773,0.033333,30,23.642,25.855,121.2,60.105,69.021,238.11,22.839,7.3768,0.015382,vapor
275.52,0.075184,0.033333,30,23.945,26.2,122.31,61.025,69.915,240.18,21.605,7.5125,0.015895,vapor
280.52,0.076595,0.033333,30,24.252,26.55,123.42,61.954,70.82,242.22,20.46,7.648,0.016415,vapor
285.52,0.078004,0.033333,30,24.564,26.904,124.52,62.893,71.737,244.25,19.395,7.7832,0.016942,vapor
290.52,0.079412,0.033333,30,24.881,27.263,125.62,63.841,72.664,246.25,18.404,7.9182,0.017476,vapor
295.52,0.080819,0.033333,30,25.203,27.627,126.72,64.797,73.6,248.23,17.48,8.0529,0.018018,vapor
300.52,0.082226,0.033333,30,25.529,27.996,127.81,65.76,74.545,250.19,16.618,8.1873,0.018567,vapor
305.52,0.083631,0.033333,30,25.86,28.369,128.9,66.729,75.497,252.13,15.813,8.3215,0.019123,vapor
310.52,0.085036,0.033333,30,26.196,28.747,129.99,67.704,76.455,254.06,15.061,8.4553,0.019687,vapor
315.52,0.086441,0.033333,30,26.537,29.13,131.08,68.683,77.42,255.97,14.356,8.5889,0.020257,vapor
320.52,0.087845,0.033333,30,26.883,29.518,132.17,69.667,78.389,257.86,13.697,8.7222,0.020836,vapor
325.52,0.089248,0.033333,30,27.234,29.911,133.26,70.655,79.363,259.73,13.078,8.8551,0.021421,vapor
330.52,0.09065,0.033333,30,27.59,30.309,134.34,71.645,80.34,261.6,12.497,8.9878,0.022014,vapor
335.52,0.092052,0.033333,30,27.95,30.712,135.43,72.637,81.32,263.44,11.952,9.1201,0.022614,vapor
340.52,0.093454,0.033333,30,28.316,31.12,136.51,73.631,82.303,265.27,11.44,9.2522,0.023221,vapor
345.52,0.094855,0.033333,30,28.687,31.532,137.59,74.626,83.287,267.09,10.958,9.3839,0.023836,vapor
350.52,0.096256,0.033333,30,29.062,31.95,138.67,75.622,84.273,268.89,10.505,9.5153,0.024458,vapor
355.52,0.097656,0.033333,30,29.443,32.372,139.74,76.617,85.259,270.68,10.077,9.6463,0.025087,vapor
360.52,0.099056,0.033333,30,29.828,32.8,140.82,77.613,86.245,272.46,9.6747,9.7771,0.025723,vapor
365.52,0.10046,0.033333,30,30.219,33.233,141.9,78.607,87.23,274.23,9.2948,9.9074,0.026367,vapor
370.52,0.10185,0.033333,30,30.614,33.67,142.97,79.6,88.215,275.98,8.9361,10.037,0.027018,vapor
375.52,0.10325,0.033333,30,31.015,34.113,144.05,80.591,89.198,277.73,8.5972,10.167,0.027676,vapor
380.52,0.10465,0.033333,30,31.42,34.56,145.12,81.58,90.179,279.46,8.2767,10.296,0.028342,vapor
385.52,0.10605,0.033333,30,31.831,35.012,146.19,82.566,91.159,281.18,7.9735,10.425,0.029015,vapor
390.52,0.10745,0.033333,30,32.246,35.469,147.26,83.55,92.135,282.89,7.6864,10.554,0.029695,vapor
395.52,0.10885,0.033333,30,32.666,35.932,148.33,84.53,93.109,284.59,7.4143,10.682,0.030382,vapor
400.52,0.11024,0.033333,30,33.091,36.399,149.4,85.507,94.08,286.28,7.1561,10.81,0.031077,vapor
405.52,0.11164,0.033333,30,33.521,36.871,150.46,86.48,95.047,287.96,6.9112,10.938,0.031779,vapor
410.52,0.11304,0.033333,30,33.956,37.347,151.53,87.449,96.01,289.63,6.6784,11.065,0.032489,vapor
415.52,0.11444,0.033333,30,34.396,37.829,152.59,88.413,96.969,291.29,6.4572,11.192,0.033205,vapor
420.52,0.11583,0.033333,30,34.84,38.315,153.66,89.373,97.924,292.94,6.2467,11.318,0.033929,vapor
425.52,0.11723,0.033333,30,35.289,38.806,154.72,90.329,98.874,294.58,6.0464,11.444,0.03466,vapor
430.52,0.11862,0.033333,30,35.744,39.302,155.78,91.279,99.82,296.21,5.8554,11.569,0.035399,vapor
435.52,0.12002,0.033333,30,36.202,39.803,156.84,92.224,100.76,297.84,5.6734,11.695,0.036145,vapor
440.52,0.12142,0.033333,30,36.666,40.308,157.9,93.164,101.7,299.45,5.4996,11.819,0.036898,vapor
445.52,0.12281,0.033333,30,37.134,40.818,158.95,94.099,102.63,301.06,5.3337,11.944,0.037658,vapor
450.52,0.12421,0.033333,30,37.607,41.333,160.01,95.028,103.55,302.66,5.1752,12.068,0.038426,vapor
455.52,0.1256,0.033333,30,38.084,41.852,161.06,95.951,104.47,304.25,5.0236,12.191,0.039201,vapor
460.52,0.127,0.033333,30,38.566,42.376,162.12,96.869,105.39,305.83,4.8785,12.314,0.039983,vapor
465.52,0.1284,0.033333,30,39.053,42.905,163.17,97.78,106.29,307.41,4.7396,12.437,0.040772,vapor
470.52,0.12979,0.033333,30,39.544,43.438,164.22,98.686,107.2,308.97,4.6065,12.559,0.041569,vapor
475.52,0.13119,0.033333,30,40.04,43.975,165.26,99.586,108.09,310.53,4.4788,12.681,0.042373,vapor
480.52,0.13258,0.033333,30,40.54,44.517,166.31,100.48,108.98,312.08,4.3563,12.803,0.043185,vapor
485.52,0.13398,0.033333,30,41.044,45.064,167.36,101.37,109.87,313.63,4.2387,12.924,0.044003,vapor
490.52,0.13537,0.033333,30,41.554,45.615,168.4,102.25,110.75,315.17,4.1257,13.044,0.044829,vapor
495.52,0.13677,0.033333,30,42.067,46.17,169.44,103.12,111.62,316.69,4.0171,13.164,0.045662,vapor
500.52,0.13816,0.033333,30,42.585,46.73,170.48,103.99,112.49,318.22,3.9126,13.284,0.046503,vapor
505.52,0.13956,0.033333,30,43.107,47.294,171.52,104.86,113.35,319.73,3.812,13.403,0.047351,vapor
510.52,0.14095,0.033333,30,43.633,47.862,172.55,105.71,114.2,321.24,3.7152,13.522,0.048206,vapor
515.52,0.14235,0.033333,30,44.164,48.434,173.59,106.57,115.05,322.74,3.6219,13.64,0.049068,vapor
520.52,0.14374,0.033333,30,44.699,49.011,174.62,107.41,115.89,324.24,3.532,13.758,0.049938,vapor
525.52,0.14513,0.033333,30,45.238,49.592,175.65,108.25,116.73,325.73,3.4452,13.876,0.050815,vapor
530.52,0.14653,0.033333,30,45.781,50.177,176.68,109.08,117.56,327.21,3.3615,13.993,0.051699,vapor
535.52,0.14792,0.033333,30,46.329,50.767,177.71,109.91,118.38,328.69,3.2806,14.109,0.052591,vapor
540.52,0.14932,0.033333,30,46.881,51.36,178.73,110.73,119.2,330.16,3.2025,14.225,0.053489,vapor
545.52,0.15071,0.033333,30,47.436,51.958,179.76,111.54,120.01,331.62,3.1271,14.341,0.054395,vapor
550.52,0.15211,0.033333,30,47.996,52.559,180.78,112.35,120.82,333.08,3.0541,14.456,0.055309,vapor
555.52,0.1535,0.033333,30,48.56,53.165,181.8,113.15,121.62,334.53,2.9835,14.571,0.05623,vapor
560.52,0.15489,0.033333,30,49.127,53.774,182.81,113.95,122.41,335.97,2.9152,14.685,0.057158,vapor
565.52,0.15629,0.033333,30,49.699,54.388,183.83,114.74,123.2,337.41,2.849,14.799,0.058093,vapor
570.52,0.15768,0.033333,30,50.275,55.005,184.84,115.52,123.98,338.84,2.785,14.912,0.059035,vapor
575.52,0.15908,0.033333,30,50.854,55.627,185.86,116.3,124.76,340.27,2.7229,15.025,0.059985,vapor
580.52,0.16047,0.033333,30,51.438,56.252,186.86,117.08,125.53,341.69,2.6627,15.137,0.060942,vapor
585.52,0.16186,0.033333,30,52.025,56.881,187.87,117.84,126.3,343.11,2.6044,15.249,0.061907,vapor
590.52,0.16326,0.033333,30,52.616,57.514,188.88,118.61,127.06,344.52,2.5478,15.36,0.062878,vapor
595.52,0.16465,0.033333,30,53.211,58.151,189.88,119.36,127.81,345.92,2.4928,15.471,0.063857,vapor
600.52,0.16604,0.033333,30,53.81,58.791,190.88,120.11,128.56,347.32,2.4395,undefined,undefined,vapor
605.52,0.16744,0.033333,30,54.412,59.435,191.88,120.86,129.31,348.71,2.3877,undefined,undefined,vapor
610.52,0.16883,0.033333,30,55.018,60.083,192.88,121.6,130.04,350.1,2.3374,undefined,undefined,vapor
615.52,0.17023,0.033333,30,55.628,60.735,193.87,122.33,130.78,351.48,2.2885,undefined,undefined,vapor
