Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.06,1,0.45686,2.1889,25.553,27.742,98.826,36.531,53.589,404.46,25.986,9.8522,0.027741,vapor
300.49,1,0.4509,2.2178,25.653,27.87,99.257,36.042,52.546,407.24,25.325,9.9503,0.027949,vapor
305.49,1,0.43939,2.2759,25.852,28.128,100.11,35.155,50.679,412.74,24.03,10.152,0.028393,vapor
310.49,1,0.42877,2.3322,26.045,28.378,100.92,34.41,49.127,418,22.819,10.352,0.028856,vapor
315.49,1,0.41891,2.3872,26.233,28.62,101.69,33.787,47.829,423.03,21.687,10.552,0.029335,vapor
320.49,1,0.40969,2.4409,26.416,28.856,102.44,33.267,46.741,427.86,20.63,10.751,0.029828,vapor
325.49,1,0.40105,2.4935,26.594,29.088,103.15,32.836,45.827,432.51,19.641,10.95,0.030334,vapor
330.49,1,0.3929,2.5452,26.77,29.315,103.84,32.482,45.057,437.01,18.717,11.148,0.030852,vapor
335.49,1,0.3852,2.596,26.942,29.539,104.52,32.194,44.41,441.35,17.854,11.346,0.03138,vapor
340.49,1,0.3779,2.6462,27.113,29.759,105.17,31.963,43.865,445.57,17.046,11.544,0.031919,vapor
345.49,1,0.37096,2.6957,27.282,29.977,105.8,31.78,43.408,449.67,16.29,11.742,0.032468,vapor
350.49,1,0.36434,2.7447,27.449,30.193,106.43,31.641,43.026,453.66,15.583,11.94,0.033026,vapor
355.49,1,0.35801,2.7932,27.614,30.408,107.03,31.538,42.709,457.55,14.919,12.137,0.033593,vapor
360.49,1,0.35196,2.8412,27.779,30.621,107.63,31.467,42.446,461.36,14.296,12.335,0.034169,vapor
365.49,1,0.34616,2.8889,27.943,30.832,108.21,31.423,42.23,465.07,13.712,12.532,0.034753,vapor
370.49,1,0.34058,2.9361,28.107,31.043,108.78,31.404,42.056,468.71,13.162,12.729,0.035346,vapor
375.49,1,0.33523,2.9831,28.27,31.253,109.35,31.405,41.917,472.28,12.644,12.926,0.035946,vapor
380.49,1,0.33007,3.0297,28.432,31.462,109.9,31.425,41.81,475.79,12.156,13.123,0.036553,vapor
385.49,1,0.32509,3.0761,28.595,31.671,110.45,31.46,41.729,479.23,11.696,13.32,0.037169,vapor
390.49,1,0.32029,3.1222,28.757,31.879,110.98,31.509,41.672,482.61,11.261,13.517,0.037791,vapor
395.49,1,0.31565,3.168,28.92,32.088,111.51,31.569,41.635,485.95,10.849,13.713,0.038421,vapor
400.49,1,0.31117,3.2137,29.082,32.296,112.04,31.64,41.616,489.23,10.459,13.91,0.039058,vapor
405.49,1,0.30683,3.2591,29.245,32.504,112.55,31.72,41.614,492.46,10.089,14.106,0.039702,vapor
410.49,1,0.30262,3.3044,29.408,32.712,113.06,31.808,41.625,495.66,9.7386,14.302,0.040353,vapor
415.49,1,0.29855,3.3495,29.571,32.92,113.57,31.903,41.649,498.81,9.4052,14.498,0.041011,vapor
420.49,1,0.2946,3.3945,29.734,33.129,114.06,32.004,41.684,501.92,9.0882,14.693,0.041675,vapor
425.49,1,0.29076,3.4393,29.898,33.337,114.56,32.11,41.728,504.99,8.7863,14.889,0.042346,vapor
430.49,1,0.28703,3.4839,30.062,33.546,115.04,32.22,41.781,508.03,8.4986,15.084,0.043023,vapor
435.49,1,0.28341,3.5284,30.226,33.755,115.53,32.335,41.842,511.04,8.2242,15.279,0.043707,vapor
440.49,1,0.27989,3.5728,30.391,33.964,116.01,32.454,41.91,514.01,7.9623,15.474,0.044397,vapor
445.49,1,0.27646,3.6171,30.557,34.174,116.48,32.575,41.984,516.95,7.712,15.668,0.045093,vapor
450.49,1,0.27313,3.6613,30.723,34.384,116.95,32.7,42.064,519.87,7.4728,15.863,0.045796,vapor
455.49,1,0.26988,3.7054,30.889,34.595,117.41,32.826,42.149,522.75,7.2439,16.056,0.046504,vapor
460.49,1,0.26671,3.7494,31.056,34.806,117.87,32.955,42.239,525.61,7.0248,16.25,0.047219,vapor
465.49,1,0.26363,3.7933,31.224,35.017,118.33,33.086,42.332,528.44,6.8148,16.443,0.04794,vapor
470.49,1,0.26062,3.8371,31.392,35.229,118.78,33.219,42.43,531.25,6.6136,16.636,0.048666,vapor
475.49,1,0.25768,3.8808,31.561,35.441,119.23,33.353,42.531,534.03,6.4205,16.829,0.049399,vapor
480.49,1,0.25481,3.9244,31.73,35.654,119.68,33.489,42.635,536.79,6.2353,17.021,0.050137,vapor
485.49,1,0.25202,3.968,31.9,35.868,120.12,33.626,42.742,539.52,6.0574,17.213,0.050881,vapor
490.49,1,0.24928,4.0115,32.07,36.082,120.56,33.764,42.851,542.24,5.8865,17.404,0.051631,vapor
495.49,1,0.24661,4.0549,32.241,36.296,120.99,33.903,42.964,544.93,5.7222,17.595,0.052387,vapor
500.49,1,0.244,4.0983,32.413,36.511,121.43,34.043,43.078,547.6,5.5642,17.786,0.053148,vapor
505.49,1,0.24145,4.1416,32.585,36.727,121.85,34.184,43.194,550.26,5.4123,17.976,0.053915,vapor
510.49,1,0.23896,4.1848,32.758,36.943,122.28,34.326,43.313,552.89,5.266,18.166,0.054687,vapor
515.49,1,0.23652,4.228,32.932,37.16,122.7,34.468,43.433,555.5,5.1252,18.355,0.055465,vapor
520.49,1,0.23413,4.2712,33.106,37.378,123.12,34.611,43.555,558.1,4.9895,18.544,0.056248,vapor
525.49,1,0.23179,4.3143,33.281,37.596,123.54,34.754,43.678,560.67,4.8588,18.733,0.057037,vapor
530.49,1,0.2295,4.3573,33.457,37.814,123.95,34.898,43.803,563.23,4.7327,18.921,0.057831,vapor
535.49,1,0.22726,4.4003,33.633,38.034,124.36,35.043,43.929,565.78,4.6112,19.108,0.058631,vapor
540.49,1,0.22506,4.4433,33.81,38.254,124.77,35.188,44.056,568.3,4.494,19.295,0.059435,vapor
545.49,1,0.22291,4.4862,33.988,38.474,125.18,35.333,44.185,570.81,4.3808,19.482,0.060245,vapor
550.49,1,0.2208,4.5291,34.166,38.696,125.58,35.479,44.315,573.31,4.2716,19.668,0.061061,vapor
555.49,1,0.21873,4.5719,34.346,38.917,125.99,35.625,44.445,575.78,4.1661,19.853,0.061881,vapor
560.49,1,0.2167,4.6147,34.525,39.14,126.38,35.771,44.577,578.25,4.0642,20.038,0.062707,vapor
565.49,1,0.21471,4.6575,34.706,39.363,126.78,35.918,44.71,580.7,3.9657,20.223,0.063538,vapor
570.49,1,0.21276,4.7002,34.887,39.587,127.17,36.065,44.843,583.13,3.8705,20.407,0.064374,vapor
575.49,1,0.21084,4.7429,35.069,39.812,127.57,36.212,44.977,585.55,3.7785,20.59,0.065215,vapor
580.49,1,0.20896,4.7856,35.251,40.037,127.96,36.36,45.112,587.95,3.6894,20.773,0.066061,vapor
585.49,1,0.20712,4.8282,35.435,40.263,128.34,36.507,45.248,590.34,3.6033,20.955,0.066911,vapor
590.49,1,0.2053,4.8708,35.619,40.489,128.73,36.655,45.384,592.72,3.5199,21.137,0.067767,vapor
595.49,1,0.20352,4.9134,35.803,40.717,129.11,36.803,45.521,595.09,3.4392,21.318,0.068628,vapor
600.49,1,0.20178,4.956,35.989,40.945,129.49,36.951,45.658,597.44,3.361,21.499,0.069494,vapor
605.49,1,0.20006,4.9985,36.175,41.173,129.87,37.099,45.796,599.78,3.2853,21.679,0.070364,vapor
610.49,1,0.19837,5.041,36.361,41.402,130.25,37.247,45.935,602.11,3.212,21.859,0.07124,vapor
615.49,1,0.19672,5.0835,36.549,41.633,130.63,37.396,46.074,604.42,3.1409,22.038,0.07212,vapor
620.49,1,0.19509,5.1259,36.737,41.863,131,37.544,46.213,606.72,3.0719,22.216,0.073005,vapor
625.49,1,0.19348,5.1684,36.926,42.095,131.37,37.692,46.353,609.01,3.0051,22.394,0.073895,vapor
630.49,1,0.19191,5.2108,37.116,42.327,131.74,37.841,46.493,611.29,2.9402,22.571,0.074789,vapor
635.49,1,0.19036,5.2532,37.306,42.56,132.11,37.99,46.633,613.56,2.8773,22.748,0.075688,vapor
640.49,1,0.18884,5.2956,37.498,42.793,132.47,38.138,46.774,615.82,2.8162,22.924,0.076592,vapor
645.49,1,0.18734,5.3379,37.689,43.027,132.84,38.287,46.915,618.06,2.7569,23.099,0.0775,vapor
650.49,1,0.18586,5.3803,37.882,43.262,133.2,38.435,47.057,620.3,2.6994,23.274,0.078413,vapor
655.49,1,0.18441,5.4226,38.075,43.498,133.56,38.584,47.198,622.52,2.6434,23.448,0.079331,vapor
660.49,1,0.18299,5.4649,38.269,43.734,133.92,38.732,47.34,624.74,2.5891,23.622,0.080253,vapor
665.49,1,0.18158,5.5072,38.464,43.971,134.28,38.881,47.482,626.94,2.5363,23.795,0.081179,vapor
670.49,1,0.1802,5.5495,38.66,44.209,134.63,39.029,47.624,629.14,2.485,23.967,0.08211,vapor
675.49,1,0.17884,5.5917,38.856,44.448,134.99,39.178,47.766,631.32,2.4351,24.139,0.083045,vapor
680.49,1,0.17749,5.634,39.053,44.687,135.34,39.326,47.908,633.49,2.3866,24.31,0.083985,vapor
685.49,1,0.17617,5.6762,39.25,44.927,135.69,39.474,48.051,635.66,2.3393,24.481,0.084928,vapor
690.49,1,0.17487,5.7184,39.449,45.167,136.04,39.622,48.193,637.81,2.2934,24.651,0.085877,vapor
