Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
216.59,0.01,0.0055609,179.83,17.627,19.425,128.56,24.91,33.282,233.48,26.096,10.95,0.010671,vapor
221.59,0.01,0.0054348,184,17.752,19.592,129.32,25.154,33.52,235.88,24.419,11.194,0.011008,vapor
226.59,0.01,0.0053144,188.17,17.878,19.76,130.07,25.398,33.76,238.25,22.9,11.439,0.011349,vapor
231.59,0.01,0.0051992,192.34,18.006,19.929,130.81,25.643,34.002,240.59,21.52,11.683,0.011694,vapor
236.59,0.01,0.0050889,196.51,18.135,20.1,131.54,25.889,34.245,242.9,20.263,11.927,0.012042,vapor
241.59,0.01,0.0049832,200.67,18.265,20.272,132.26,26.135,34.488,245.17,19.115,12.171,0.012394,vapor
246.59,0.01,0.0048819,204.84,18.397,20.445,132.97,26.381,34.731,247.43,18.062,12.415,0.01275,vapor
251.59,0.01,0.0047846,209,18.529,20.619,133.67,26.626,34.973,249.65,17.096,12.658,0.013109,vapor
256.59,0.01,0.0046911,213.17,18.663,20.795,134.36,26.87,35.215,251.85,16.206,12.902,0.013471,vapor
261.59,0.01,0.0046012,217.33,18.798,20.971,135.04,27.112,35.456,254.03,15.386,13.144,0.013836,vapor
266.59,0.01,0.0045147,221.5,18.934,21.149,135.71,27.354,35.696,256.18,14.626,13.387,0.014204,vapor
271.59,0.01,0.0044314,225.66,19.072,21.328,136.38,27.594,35.934,258.32,13.923,13.629,0.014575,vapor
276.59,0.01,0.0043511,229.83,19.21,21.509,137.04,27.832,36.171,260.43,13.27,13.871,0.014948,vapor
281.59,0.01,0.0042737,233.99,19.35,21.69,137.69,28.068,36.406,262.52,12.663,14.112,0.015323,vapor
286.59,0.01,0.004199,238.15,19.491,21.873,138.33,28.303,36.639,264.6,12.097,14.352,0.015701,vapor
291.59,0.01,0.0041269,242.31,19.633,22.056,138.96,28.535,36.87,266.65,11.569,14.592,0.016081,vapor
296.59,0.01,0.0040572,246.48,19.777,22.241,139.59,28.766,37.1,268.69,11.075,14.832,0.016463,vapor
301.59,0.01,0.0039898,250.64,19.921,22.427,140.22,28.994,37.327,270.71,10.613,15.071,0.016847,vapor
306.59,0.01,0.0039246,254.8,20.067,22.615,140.83,29.22,37.552,272.71,10.18,15.309,0.017233,vapor
311.59,0.01,0.0038616,258.96,20.213,22.803,141.44,29.444,37.775,274.7,9.7725,15.547,0.017621,vapor
316.59,0.01,0.0038005,263.12,20.361,22.992,142.04,29.665,37.995,276.67,9.3897,15.784,0.01801,vapor
321.59,0.01,0.0037413,267.28,20.51,23.183,142.64,29.884,38.214,278.62,9.0292,16.02,0.018401,vapor
326.59,0.01,0.003684,271.45,20.66,23.375,143.23,30.101,38.43,280.56,8.6894,16.255,0.018793,vapor
331.59,0.01,0.0036284,275.61,20.811,23.567,143.82,30.315,38.644,282.49,8.3686,16.49,0.019187,vapor
336.59,0.01,0.0035744,279.77,20.963,23.761,144.4,30.528,38.855,284.4,8.0654,16.724,0.019582,vapor
341.59,0.01,0.003522,283.93,21.116,23.956,144.97,30.737,39.064,286.3,7.7785,16.957,0.019978,vapor
346.59,0.01,0.0034712,288.09,21.271,24.152,145.54,30.945,39.271,288.18,7.5068,17.19,0.020376,vapor
351.59,0.01,0.0034218,292.25,21.426,24.348,146.1,31.15,39.476,290.05,7.2492,17.422,0.020775,vapor
356.59,0.01,0.0033737,296.41,21.582,24.546,146.66,31.353,39.679,291.91,7.0046,17.653,0.021174,vapor
361.59,0.01,0.003327,300.57,21.74,24.745,147.22,31.554,39.879,293.76,6.7722,17.883,0.021575,vapor
366.59,0.01,0.0032816,304.73,21.898,24.945,147.77,31.752,40.077,295.59,6.5513,18.112,0.021976,vapor
371.59,0.01,0.0032374,308.89,22.057,25.146,148.31,31.948,40.273,297.41,6.3409,18.341,0.022379,vapor
376.59,0.01,0.0031944,313.05,22.217,25.348,148.85,32.142,40.466,299.22,6.1405,18.568,0.022782,vapor
