Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
216.59,1,26.8,0.037313,3.491,3.5284,22.888,42.923,85.821,978.51,-0.14609,254.38,0.17755,liquid
221.59,1,26.384,0.037902,3.921,3.9589,24.853,42.605,86.416,941.88,-0.12712,233.76,0.17123,liquid
226.59,1,25.954,0.03853,4.3543,4.3928,26.789,42.304,87.191,905.09,-0.10493,214.95,0.16494,liquid
231.59,1,25.509,0.039201,4.7919,4.8311,28.703,42.02,88.177,867.95,-0.078892,197.75,0.15868,liquid
233.03,1,25.379,0.039403,4.9186,4.958,29.249,41.943,88.506,857.18,-0.070581,193.07,0.15689,liquid
233.03,1,0.59091,1.6923,17.465,19.157,90.183,29.938,45.425,223.5,21.542,11.738,0.012741,vapor
236.59,1,0.57713,1.7327,17.585,19.318,90.866,29.775,44.637,226.07,20.608,11.924,0.012953,vapor
241.59,1,0.55929,1.788,17.751,19.538,91.789,29.574,43.692,229.55,19.4,12.184,0.01326,vapor
246.59,1,0.54292,1.8419,17.913,19.755,92.676,29.428,42.931,232.88,18.3,12.442,0.013578,vapor
251.59,1,0.52781,1.8946,18.073,19.968,93.532,29.338,42.327,236.08,17.295,12.699,0.013904,vapor
256.59,1,0.51379,1.9463,18.232,20.178,94.36,29.297,41.851,239.16,16.375,12.953,0.014238,vapor
261.59,1,0.5007,1.9972,18.39,20.387,95.164,29.295,41.478,242.13,15.53,13.206,0.014577,vapor
266.59,1,0.48844,2.0473,18.546,20.593,95.946,29.326,41.19,245,14.75,13.458,0.014922,vapor
271.59,1,0.47691,2.0968,18.702,20.799,96.71,29.384,40.969,247.79,14.03,13.709,0.015272,vapor
276.59,1,0.46604,2.1457,18.857,21.003,97.455,29.463,40.803,250.51,13.363,13.958,0.015627,vapor
281.59,1,0.45576,2.1941,19.013,21.207,98.185,29.56,40.683,253.16,12.743,14.205,0.015985,vapor
286.59,1,0.44601,2.2421,19.168,21.41,98.9,29.671,40.602,255.75,12.167,14.452,0.016348,vapor
291.59,1,0.43675,2.2896,19.323,21.613,99.602,29.794,40.552,258.29,11.629,14.698,0.016713,vapor
296.59,1,0.42794,2.3368,19.479,21.816,100.29,29.927,40.53,260.77,11.126,14.942,0.017082,vapor
301.59,1,0.41953,2.3836,19.635,22.018,100.97,30.068,40.53,263.2,10.655,15.185,0.017453,vapor
306.59,1,0.4115,2.4302,19.791,22.221,101.64,30.215,40.55,265.59,10.214,15.428,0.017827,vapor
311.59,1,0.40381,2.4764,19.947,22.424,102.29,30.367,40.587,267.94,9.8001,15.669,0.018204,vapor
316.59,1,0.39645,2.5224,20.104,22.627,102.94,30.524,40.638,270.25,9.411,15.909,0.018583,vapor
321.59,1,0.38938,2.5682,20.262,22.83,103.58,30.684,40.701,272.53,9.0448,16.148,0.018964,vapor
326.59,1,0.3826,2.6137,20.42,23.034,104.2,30.848,40.775,274.77,8.6996,16.386,0.019347,vapor
331.59,1,0.37607,2.6591,20.579,23.238,104.82,31.013,40.859,276.98,8.3739,16.623,0.019732,vapor
336.59,1,0.36979,2.7042,20.738,23.442,105.44,31.181,40.951,279.16,8.0663,16.859,0.020119,vapor
341.59,1,0.36374,2.7492,20.898,23.647,106.04,31.35,41.049,281.31,7.7753,17.094,0.020507,vapor
346.59,1,0.3579,2.7941,21.059,23.853,106.64,31.52,41.154,283.43,7.4998,17.328,0.020897,vapor
351.59,1,0.35227,2.8387,21.22,24.059,107.23,31.691,41.265,285.53,7.2388,17.561,0.021289,vapor
356.59,1,0.34683,2.8833,21.382,24.266,107.81,31.862,41.379,287.6,6.9911,17.793,0.021681,vapor
361.59,1,0.34156,2.9277,21.545,24.473,108.39,32.034,41.498,289.65,6.7559,18.025,0.022075,vapor
366.59,1,0.33647,2.972,21.709,24.681,108.96,32.205,41.62,291.68,6.5323,18.255,0.022471,vapor
371.59,1,0.33154,3.0162,21.873,24.889,109.52,32.376,41.745,293.69,6.3197,18.484,0.022867,vapor
376.59,1,0.32677,3.0603,22.038,25.098,110.08,32.547,41.873,295.67,6.1172,18.712,0.023264,vapor
381.59,1,0.32214,3.1043,22.204,25.308,110.64,32.717,42.003,297.64,5.9242,18.939,0.023662,vapor
386.59,1,0.31765,3.1482,22.37,25.518,111.18,32.887,42.134,299.59,5.7401,19.165,0.024061,vapor
391.59,1,0.31329,3.192,22.537,25.729,111.73,33.056,42.267,301.52,5.5644,19.391,0.024461,vapor
396.59,1,0.30905,3.2357,22.705,25.941,112.26,33.224,42.401,303.43,5.3966,19.615,0.024862,vapor
401.59,1,0.30494,3.2793,22.874,26.153,112.8,33.391,42.537,305.32,5.2361,19.838,0.025263,vapor
406.59,1,0.30094,3.3229,23.043,26.366,113.32,33.557,42.673,307.2,5.0825,20.061,0.025665,vapor
411.59,1,0.29705,3.3664,23.213,26.58,113.85,33.722,42.81,309.07,4.9355,20.282,0.026067,vapor
416.59,1,0.29327,3.4098,23.384,26.794,114.36,33.887,42.947,310.91,4.7947,20.503,0.02647,vapor
421.59,1,0.28959,3.4532,23.556,27.009,114.88,34.05,43.084,312.74,4.6596,20.722,0.026873,vapor
426.59,1,0.286,3.4965,23.729,27.225,115.38,34.212,43.222,314.56,4.5301,20.941,0.027277,vapor
431.59,1,0.28251,3.5397,23.902,27.442,115.89,34.372,43.36,316.37,4.4057,21.159,0.027681,vapor
436.59,1,0.2791,3.5829,24.076,27.659,116.39,34.532,43.498,318.16,4.2862,21.375,0.028086,vapor
441.59,1,0.27578,3.6261,24.25,27.877,116.89,34.691,43.635,319.93,4.1713,21.591,0.028491,vapor
446.59,1,0.27254,3.6692,24.426,28.095,117.38,34.848,43.773,321.7,4.0609,21.806,0.028895,vapor
451.59,1,0.26938,3.7122,24.602,28.314,117.87,35.004,43.91,323.45,3.9546,22.02,0.029301,vapor
456.59,1,0.2663,3.7552,24.779,28.534,118.35,35.159,44.046,325.19,3.8522,22.233,0.029706,vapor
461.59,1,0.26328,3.7982,24.957,28.755,118.83,35.312,44.183,326.91,3.7536,22.445,0.030111,vapor
466.59,1,0.26034,3.8411,25.135,28.976,119.31,35.464,44.319,328.63,3.6585,22.657,0.030517,vapor
471.59,1,0.25747,3.884,25.314,29.198,119.78,35.616,44.454,330.33,3.5668,22.867,0.030922,vapor
476.59,1,0.25466,3.9268,25.494,29.421,120.25,35.765,44.589,332.03,3.4784,23.077,0.031328,vapor
481.59,1,0.25191,3.9696,25.674,29.644,120.72,35.914,44.723,333.71,3.393,23.285,0.031734,vapor
486.59,1,0.24923,4.0124,25.855,29.868,121.18,36.061,44.856,335.38,3.3105,23.493,0.032139,vapor
491.59,1,0.2466,4.0551,26.037,30.092,121.64,36.207,44.989,337.04,3.2308,23.7,0.032545,vapor
496.59,1,0.24403,4.0978,26.22,30.318,122.09,36.352,45.122,338.69,3.1537,23.906,0.03295,vapor
501.59,1,0.24152,4.1405,26.403,30.544,122.55,36.496,45.253,340.34,3.0792,24.111,0.033355,vapor
506.59,1,0.23905,4.1832,26.587,30.77,123,36.638,45.384,341.97,3.0071,24.315,0.03376,vapor
511.59,1,0.23664,4.2258,26.772,30.997,123.44,36.779,45.514,343.59,2.9373,24.519,0.034165,vapor
516.59,1,0.23428,4.2684,26.957,31.225,123.89,36.919,45.643,345.2,2.8697,24.721,0.03457,vapor
521.59,1,0.23197,4.3109,27.143,31.454,124.33,37.058,45.771,346.81,2.8042,24.923,0.034974,vapor
526.59,1,0.2297,4.3535,27.33,31.683,124.76,37.196,45.899,348.4,2.7407,25.124,0.035378,vapor
531.59,1,0.22748,4.396,27.517,31.913,125.2,37.332,46.026,349.99,2.6792,25.324,0.035782,vapor
536.59,1,0.2253,4.4385,27.705,32.143,125.63,37.468,46.152,351.57,2.6195,25.523,0.036186,vapor
541.59,1,0.22317,4.481,27.893,32.374,126.06,37.602,46.277,353.14,2.5616,25.721,0.036589,vapor
546.59,1,0.22107,4.5234,28.083,32.606,126.48,37.735,46.401,354.7,2.5054,25.919,0.036992,vapor
551.59,1,0.21902,4.5659,28.272,32.838,126.91,37.866,46.525,356.25,2.4508,26.116,0.037395,vapor
556.59,1,0.217,4.6083,28.463,33.071,127.33,37.997,46.647,357.8,2.3978,26.312,0.037797,vapor
561.59,1,0.21502,4.6507,28.654,33.305,127.74,38.126,46.769,359.33,2.3463,26.507,0.038198,vapor
566.59,1,0.21308,4.693,28.846,33.539,128.16,38.255,46.89,360.86,2.2962,26.702,0.0386,vapor
571.59,1,0.21118,4.7354,29.038,33.774,128.57,38.382,47.01,362.38,2.2475,26.895,0.039001,vapor
576.59,1,0.2093,4.7777,29.231,34.009,128.98,38.508,47.129,363.9,2.2002,27.088,0.039401,vapor
581.59,1,0.20747,4.8201,29.425,34.245,129.39,38.633,47.247,365.41,2.1542,27.28,0.039801,vapor
586.59,1,0.20566,4.8624,29.619,34.482,129.79,38.757,47.365,366.91,2.1093,27.472,0.040201,vapor
591.59,1,0.20389,4.9046,29.814,34.719,130.2,38.88,47.481,368.4,2.0657,27.662,0.0406,vapor
596.59,1,0.20215,4.9469,30.009,34.956,130.6,39.002,47.597,369.89,2.0232,27.852,0.040999,vapor
601.59,1,0.20043,4.9892,30.205,35.195,130.99,39.123,47.712,371.37,1.9819,28.041,0.041397,vapor
606.59,1,0.19875,5.0314,30.402,35.433,131.39,39.242,47.826,372.84,1.9416,28.23,0.041795,vapor
611.59,1,0.1971,5.0737,30.599,35.673,131.78,39.361,47.939,374.3,1.9023,28.417,0.042192,vapor
616.59,1,0.19547,5.1159,30.797,35.913,132.17,39.479,48.051,375.76,1.864,28.604,0.042588,vapor
621.59,1,0.19387,5.1581,30.995,36.153,132.56,39.595,48.163,377.22,1.8266,28.791,0.042984,vapor
626.59,1,0.1923,5.2003,31.194,36.394,132.95,39.711,48.273,378.66,1.7902,28.976,0.04338,vapor
631.59,1,0.19075,5.2425,31.394,36.636,133.33,39.826,48.383,380.11,1.7547,29.161,0.043775,vapor
636.59,1,0.18923,5.2846,31.594,36.878,133.71,39.939,48.492,381.54,1.72,29.345,0.044169,vapor
641.59,1,0.18773,5.3268,31.794,37.121,134.09,40.052,48.6,382.97,1.6862,29.529,0.044563,vapor
646.59,1,0.18626,5.3689,31.995,37.364,134.47,40.163,48.707,384.39,1.6532,29.711,0.044956,vapor
651.59,1,0.18481,5.4111,32.197,37.608,134.85,40.274,48.813,385.81,1.6209,29.893,0.045348,vapor
656.59,1,0.18338,5.4532,32.399,37.852,135.22,40.384,48.919,387.22,1.5895,30.075,0.04574,vapor
661.59,1,0.18197,5.4953,32.602,38.097,135.59,40.493,49.023,388.62,1.5587,30.256,0.046132,vapor
666.59,1,0.18059,5.5374,32.805,38.343,135.96,40.6,49.127,390.02,1.5286,30.436,0.046522,vapor
671.59,1,0.17923,5.5795,33.009,38.589,136.33,40.707,49.23,391.42,1.4992,30.615,0.046912,vapor
676.59,1,0.17789,5.6216,33.213,38.835,136.7,40.813,49.332,392.81,1.4705,30.794,0.047302,vapor
681.59,1,0.17656,5.6636,33.418,39.082,137.06,40.918,49.433,394.19,1.4424,30.972,0.047691,vapor
686.59,1,0.17526,5.7057,33.624,39.329,137.42,41.022,49.534,395.57,1.415,31.15,0.048079,vapor
691.59,1,0.17398,5.7478,33.829,39.577,137.78,41.125,49.633,396.94,1.3881,31.327,0.048466,vapor
696.59,1,0.17272,5.7898,34.036,39.826,138.14,41.228,49.732,398.31,1.3618,31.503,0.048853,vapor
701.59,1,0.17147,5.8319,34.243,40.075,138.49,41.329,49.83,399.67,1.3361,31.679,0.049239,vapor
706.59,1,0.17024,5.8739,34.45,40.324,138.85,41.429,49.928,401.03,1.311,31.854,0.049625,vapor
711.59,1,0.16904,5.9159,34.658,40.574,139.2,41.529,50.024,402.38,1.2863,32.028,0.05001,vapor
716.59,1,0.16784,5.9579,34.866,40.824,139.55,41.628,50.12,403.73,1.2622,32.202,0.050394,vapor
721.59,1,0.16667,5.9999,35.075,41.075,139.9,41.726,50.215,405.07,1.2386,32.375,0.050778,vapor
726.59,1,0.16551,6.0419,35.284,41.326,140.25,41.823,50.309,406.41,1.2155,32.548,0.05116,vapor
731.59,1,0.16437,6.0839,35.494,41.578,140.59,41.919,50.402,407.74,1.1928,32.72,0.051542,vapor
736.59,1,0.16324,6.1259,35.704,41.83,140.94,42.014,50.494,409.07,1.1706,32.892,0.051924,vapor
741.59,1,0.16213,6.1679,35.915,42.083,141.28,42.109,50.586,410.4,1.1488,33.063,0.052305,vapor
746.59,1,0.16103,6.2099,36.126,42.336,141.62,42.202,50.677,411.72,1.1275,33.233,0.052685,vapor
751.59,1,0.15995,6.2518,36.338,42.59,141.96,42.295,50.767,413.03,1.1066,33.403,0.053064,vapor
756.59,1,0.15889,6.2938,36.55,42.844,142.29,42.387,50.857,414.34,1.0861,33.572,0.053443,vapor
761.59,1,0.15783,6.3358,36.763,43.098,142.63,42.478,50.946,415.65,1.066,33.741,0.053821,vapor
766.59,1,0.1568,6.3777,36.976,43.353,142.96,42.569,51.034,416.95,1.0463,33.909,0.054198,vapor
771.59,1,0.15577,6.4197,37.189,43.609,143.3,42.658,51.121,418.25,1.027,34.077,0.054575,vapor
776.59,1,0.15476,6.4616,37.403,43.865,143.63,42.747,51.207,419.54,1.008,34.244,0.054951,vapor
781.59,1,0.15376,6.5035,37.617,44.121,143.95,42.835,51.293,420.83,0.98944,34.41,0.055326,vapor
786.59,1,0.15278,6.5455,37.832,44.377,144.28,42.922,51.378,422.11,0.97119,34.576,0.0557,vapor
791.59,1,0.15181,6.5874,38.047,44.635,144.61,43.009,51.463,423.39,0.95327,34.742,0.056074,vapor
796.59,1,0.15085,6.6293,38.263,44.892,144.93,43.095,51.546,424.67,0.93568,34.907,0.056447,vapor
801.59,1,0.1499,6.6712,38.479,45.15,145.25,43.18,51.629,425.94,0.91842,35.072,0.056819,vapor
