Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
111.51,0.1,0.11186,8.9395,7.2969,8.1908,73.456,25.904,35.558,271.33,29.808,4.3184,0.011393,vapor
115.69,0.1,0.10738,9.3129,7.4076,8.3388,74.759,25.707,35.17,277.1,27.178,4.484,0.011837,vapor
120.69,0.1,0.10252,9.7545,7.5384,8.5138,76.24,25.549,34.839,283.75,24.626,4.6806,0.012387,vapor
125.69,0.1,0.098112,10.192,7.6681,8.6874,77.649,25.437,34.593,290.18,22.504,4.8762,0.012951,vapor
130.69,0.1,0.094095,10.628,7.7971,8.8598,78.994,25.354,34.403,296.42,20.7,5.0712,0.013524,vapor
135.69,0.1,0.090414,11.06,7.9254,9.0315,80.283,25.291,34.254,302.48,19.148,5.2656,0.014102,vapor
140.69,0.1,0.087024,11.491,8.0533,9.2024,81.52,25.244,34.135,308.4,17.797,5.4594,0.014683,vapor
145.69,0.1,0.083891,11.92,8.1808,9.3729,82.711,25.209,34.039,314.17,16.612,5.6526,0.015267,vapor
150.69,0.1,0.080984,12.348,8.308,9.5429,83.858,25.182,33.962,319.82,15.563,5.8452,0.015853,vapor
155.69,0.1,0.078279,12.775,8.435,9.7125,84.965,25.164,33.901,325.34,14.627,6.0369,0.016439,vapor
160.69,0.1,0.075755,13.201,8.5618,9.8819,86.036,25.152,33.851,330.75,13.788,6.228,0.017026,vapor
165.69,0.1,0.073393,13.625,8.6885,10.051,87.073,25.147,33.813,336.06,13.03,6.4181,0.017614,vapor
170.69,0.1,0.071177,14.049,8.8151,10.22,88.077,25.147,33.785,341.27,12.341,6.6074,0.018202,vapor
175.69,0.1,0.069095,14.473,8.9416,10.389,89.053,25.152,33.765,346.38,11.712,6.7958,0.018792,vapor
180.69,0.1,0.067133,14.896,9.0681,10.558,90,25.163,33.754,351.4,11.135,6.9832,0.019383,vapor
185.69,0.1,0.065282,15.318,9.1946,10.726,90.921,25.18,33.75,356.33,10.604,7.1696,0.019978,vapor
190.69,0.1,0.063533,15.74,9.3212,10.895,91.818,25.202,33.755,361.18,10.113,7.355,0.020588,vapor
