Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
110.69,0.089051,0.1,10,7.2831,8.1736,74.233,25.817,35.335,270.92,30.179,4.2916,0.011264,vapor
115.69,0.093341,0.1,10,7.4118,8.3452,75.369,25.65,35.025,277.49,27.103,4.4864,0.011815,vapor
120.69,0.097614,0.1,10,7.5397,8.5159,76.452,25.534,34.797,283.87,24.607,4.6812,0.012381,vapor
125.69,0.10187,0.1,10,7.6672,8.6859,77.486,25.446,34.62,290.09,22.515,4.8759,0.012955,vapor
130.69,0.10612,0.1,10,7.7942,8.8555,78.478,25.379,34.478,296.16,20.731,5.0706,0.013536,vapor
135.69,0.11037,0.1,10,7.921,9.0247,79.43,25.327,34.362,302.09,19.189,5.2651,0.014121,vapor
140.69,0.1146,0.1,10,8.0475,9.1935,80.345,25.286,34.267,307.9,17.844,5.4592,0.014708,vapor
145.69,0.11883,0.1,10,8.1739,9.3622,81.228,25.254,34.189,313.58,16.66,5.6529,0.015297,vapor
150.69,0.12306,0.1,10,8.3001,9.5306,82.079,25.23,34.124,319.16,15.611,5.846,0.015887,vapor
155.69,0.12728,0.1,10,8.4262,9.6989,82.903,25.212,34.071,324.62,14.673,6.0385,0.016478,vapor
160.69,0.13149,0.1,10,8.5522,9.8671,83.699,25.2,34.027,329.99,13.83,6.2303,0.01707,vapor
165.69,0.13571,0.1,10,8.6782,10.035,84.471,25.194,33.993,335.27,13.069,6.4212,0.017662,vapor
170.69,0.13992,0.1,10,8.8041,10.203,85.22,25.193,33.967,340.45,12.376,6.6113,0.018255,vapor
175.69,0.14413,0.1,10,8.9301,10.371,85.948,25.198,33.948,345.54,11.743,6.8004,0.018849,vapor
180.69,0.14833,0.1,10,9.0561,10.539,86.655,25.208,33.937,350.55,11.163,6.9886,0.019445,vapor
185.69,0.15254,0.1,10,9.1822,10.708,87.343,25.223,33.934,355.48,10.628,7.1758,0.020046,vapor
190.69,0.15674,0.1,10,9.3084,10.876,88.014,25.244,33.937,360.32,10.134,7.362,0.020666,vapor
195.69,0.16094,0.1,10,9.4347,11.044,88.667,25.271,33.948,365.09,9.6749,7.5471,0.021224,vapor
200.69,0.16514,0.1,10,9.5611,11.213,89.305,25.304,33.966,369.78,9.2477,7.7311,0.021803,vapor
205.69,0.16934,0.1,10,9.6877,11.381,89.929,25.344,33.992,374.4,8.8487,7.914,0.022388,vapor
210.69,0.17354,0.1,10,9.8145,11.55,90.538,25.39,34.026,378.94,8.4752,8.0958,0.022976,vapor
215.69,0.17773,0.1,10,9.9416,11.719,91.134,25.443,34.067,383.41,8.1245,8.2765,0.023568,vapor
220.69,0.18193,0.1,10,10.069,11.888,91.718,25.503,34.117,387.81,7.7945,8.456,0.024163,vapor
225.69,0.18612,0.1,10,10.197,12.058,92.29,25.571,34.174,392.15,7.4834,8.6344,0.024761,vapor
230.69,0.19032,0.1,10,10.325,12.228,92.851,25.647,34.24,396.41,7.1894,8.8117,0.025364,vapor
235.69,0.19451,0.1,10,10.453,12.398,93.402,25.73,34.314,400.61,6.9111,8.9879,0.025971,vapor
240.69,0.1987,0.1,10,10.582,12.569,93.943,25.821,34.396,404.75,6.6472,9.1629,0.026582,vapor
245.69,0.20289,0.1,10,10.711,12.74,94.475,25.919,34.487,408.82,6.3966,9.3368,0.027199,vapor
250.69,0.20709,0.1,10,10.841,12.912,94.998,26.026,34.586,412.82,6.1583,9.5095,0.027821,vapor
255.69,0.21128,0.1,10,10.972,13.084,95.513,26.141,34.694,416.77,5.9314,9.6812,0.028449,vapor
260.69,0.21547,0.1,10,11.103,13.257,96.02,26.264,34.81,420.65,5.715,9.8517,0.029083,vapor
265.69,0.21966,0.1,10,11.234,13.431,96.52,26.395,34.935,424.48,5.5086,10.021,0.029723,vapor
270.69,0.22384,0.1,10,11.367,13.605,97.014,26.534,35.068,428.25,5.3113,10.19,0.03037,vapor
275.69,0.22803,0.1,10,11.5,13.78,97.501,26.681,35.209,431.97,5.1227,10.357,0.031024,vapor
280.69,0.23222,0.1,10,11.633,13.956,97.982,26.835,35.358,435.63,4.9423,10.523,0.031686,vapor
285.69,0.23641,0.1,10,11.768,14.132,98.457,26.998,35.514,439.23,4.7695,10.688,0.032355,vapor
290.69,0.2406,0.1,10,11.903,14.309,98.927,27.167,35.679,442.79,4.6039,10.852,0.033031,vapor
295.69,0.24478,0.1,10,12.04,14.488,99.392,27.344,35.851,446.3,4.4451,11.015,0.033716,vapor
300.69,0.24897,0.1,10,12.177,14.667,99.852,27.528,36.031,449.75,4.2928,11.177,0.034408,vapor
305.69,0.25316,0.1,10,12.315,14.847,100.31,27.719,36.217,453.16,4.1466,11.338,0.035109,vapor
310.69,0.25734,0.1,10,12.454,15.027,100.76,27.917,36.41,456.53,4.0062,11.498,0.035818,vapor
315.69,0.26153,0.1,10,12.594,15.209,101.21,28.121,36.61,459.85,3.8713,11.657,0.036536,vapor
320.69,0.26571,0.1,10,12.735,15.392,101.65,28.331,36.817,463.13,3.7418,11.815,0.037262,vapor
325.69,0.2699,0.1,10,12.877,15.576,102.09,28.547,37.03,466.37,3.6172,11.973,0.037996,vapor
330.69,0.27408,0.1,10,13.021,15.762,102.53,28.77,37.248,469.57,3.4974,12.129,0.038739,vapor
335.69,0.27827,0.1,10,13.165,15.948,102.96,28.997,37.472,472.73,3.3821,12.284,0.03949,vapor
340.69,0.28245,0.1,10,13.311,16.135,103.39,29.23,37.702,475.85,3.2713,12.438,0.04025,vapor
345.69,0.28664,0.1,10,13.458,16.324,103.82,29.468,37.937,478.94,3.1645,12.592,0.041018,vapor
350.69,0.29082,0.1,10,13.605,16.514,104.24,29.711,38.177,482,3.0618,12.744,0.041795,vapor
355.69,0.295,0.1,10,13.755,16.705,104.66,29.959,38.421,485.02,2.9629,12.895,0.04258,vapor
360.69,0.29919,0.1,10,13.905,16.897,105.08,30.21,38.67,488.01,2.8676,13.046,0.043373,vapor
365.69,0.30337,0.1,10,14.057,17.09,105.5,30.466,38.923,490.97,2.7758,13.196,0.044175,vapor
370.69,0.30755,0.1,10,14.21,17.285,105.92,30.726,39.18,493.9,2.6874,13.345,0.044985,vapor
375.69,0.31174,0.1,10,14.364,17.481,106.33,30.989,39.441,496.8,2.6022,13.493,0.045803,vapor
380.69,0.31592,0.1,10,14.52,17.679,106.74,31.256,39.706,499.68,2.52,13.64,0.046629,vapor
385.69,0.3201,0.1,10,14.677,17.878,107.15,31.526,39.973,502.53,2.4408,13.787,0.047462,vapor
390.69,0.32429,0.1,10,14.835,18.078,107.56,31.8,40.244,505.35,2.3645,13.932,0.048304,vapor
395.69,0.32847,0.1,10,14.995,18.279,107.97,32.076,40.518,508.15,2.2908,14.077,0.049153,vapor
400.69,0.33265,0.1,10,15.156,18.482,108.37,32.354,40.795,510.93,2.2197,14.221,0.05001,vapor
405.69,0.33683,0.1,10,15.318,18.686,108.77,32.635,41.074,513.68,2.1512,14.364,0.050873,vapor
410.69,0.34101,0.1,10,15.482,18.892,109.18,32.919,41.355,516.42,2.085,14.507,0.051745,vapor
415.69,0.3452,0.1,10,15.647,19.099,109.58,33.204,41.638,519.13,2.0211,14.649,0.052623,vapor
420.69,0.34938,0.1,10,15.814,19.308,109.97,33.492,41.924,521.82,1.9594,14.79,0.053508,vapor
425.69,0.35356,0.1,10,15.982,19.518,110.37,33.781,42.211,524.49,1.8999,14.93,0.054401,vapor
430.69,0.35774,0.1,10,16.152,19.729,110.77,34.072,42.501,527.14,1.8423,15.069,0.055299,vapor
435.69,0.36192,0.1,10,16.323,19.942,111.16,34.365,42.791,529.78,1.7868,15.208,0.056205,vapor
440.69,0.3661,0.1,10,16.496,20.157,111.56,34.658,43.083,532.39,1.7331,15.346,0.057117,vapor
445.69,0.37029,0.1,10,16.67,20.372,111.95,34.954,43.377,534.99,1.6812,15.484,0.058035,vapor
450.69,0.37447,0.1,10,16.845,20.59,112.34,35.25,43.671,537.57,1.631,15.62,0.05896,vapor
455.69,0.37865,0.1,10,17.022,20.809,112.73,35.547,43.967,540.14,1.5825,15.757,0.05989,vapor
460.69,0.38283,0.1,10,17.201,21.029,113.12,35.845,44.263,542.69,1.5356,15.892,0.060827,vapor
465.69,0.38701,0.1,10,17.38,21.251,113.51,36.144,44.561,545.23,1.4902,16.027,0.061769,vapor
470.69,0.39119,0.1,10,17.562,21.474,113.9,36.443,44.859,547.75,1.4463,16.161,0.062718,vapor
475.69,0.39537,0.1,10,17.745,21.699,114.28,36.743,45.157,550.25,1.4039,16.294,0.063671,vapor
480.69,0.39955,0.1,10,17.929,21.925,114.67,37.044,45.456,552.74,1.3628,16.427,0.06463,vapor
485.69,0.40373,0.1,10,18.115,22.153,115.05,37.345,45.756,555.22,1.323,16.559,0.065595,vapor
