Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
149.14,1,0.97852,1.022,7.8788,8.9007,61.614,28.353,46.147,286.08,18.022,5.7839,0.018131,vapor
150.69,1,0.96055,1.0411,7.9306,8.9717,62.087,28.03,45.139,289.09,17.523,5.861,0.018188,vapor
155.69,1,0.909,1.1001,8.0911,9.1912,63.52,27.351,42.847,298.06,16.134,6.0925,0.018454,vapor
160.69,1,0.86472,1.1564,8.245,9.4014,64.85,26.944,41.335,306.28,14.98,6.3093,0.018813,vapor
165.69,1,0.8259,1.2108,8.3944,9.6052,66.098,26.658,40.225,313.95,13.986,6.5174,0.019233,vapor
170.69,1,0.79139,1.2636,8.5405,9.8041,67.281,26.443,39.364,321.18,13.113,6.7196,0.019695,vapor
175.69,1,0.76037,1.3151,8.684,9.9991,68.407,26.275,38.675,328.06,12.336,6.9174,0.020189,vapor
180.69,1,0.73224,1.3657,8.8254,10.191,69.485,26.144,38.115,334.64,11.639,7.1117,0.02071,vapor
185.69,1,0.70655,1.4153,8.9651,10.38,70.518,26.043,37.654,340.95,11.01,7.3031,0.02126,vapor
190.69,1,0.68295,1.4642,9.1035,10.568,71.514,25.966,37.274,347.03,10.438,7.4921,0.021876,vapor
195.69,1,0.66114,1.5125,9.2408,10.753,72.474,25.911,36.958,352.91,9.9153,7.6789,0.022302,vapor
200.69,1,0.64091,1.5603,9.3771,10.937,73.403,25.875,36.696,358.59,9.4359,7.8639,0.022811,vapor
205.69,1,0.62206,1.6076,9.5128,11.12,74.304,25.855,36.48,364.11,8.9941,8.0471,0.02334,vapor
210.69,1,0.60445,1.6544,9.6479,11.302,75.178,25.851,36.303,369.46,8.5853,8.2287,0.023882,vapor
215.69,1,0.58793,1.7009,9.7825,11.483,76.027,25.86,36.16,374.68,8.2056,8.4089,0.024433,vapor
220.69,1,0.5724,1.747,9.9169,11.664,76.855,25.882,36.046,379.76,7.8517,8.5876,0.024992,vapor
225.69,1,0.55776,1.7929,10.051,11.844,77.661,25.916,35.959,384.71,7.5208,8.7649,0.025557,vapor
230.69,1,0.54393,1.8385,10.185,12.024,78.448,25.963,35.895,389.54,7.2106,8.941,0.02613,vapor
235.69,1,0.53084,1.8838,10.319,12.203,79.217,26.02,35.854,394.26,6.9189,9.1157,0.026709,vapor
240.69,1,0.51842,1.9289,10.453,12.382,79.97,26.088,35.832,398.87,6.6441,9.2892,0.027295,vapor
245.69,1,0.50663,1.9738,10.587,12.561,80.706,26.166,35.829,403.39,6.3845,9.4615,0.027888,vapor
250.69,1,0.4954,2.0186,10.722,12.74,81.428,26.255,35.843,407.8,6.1389,9.6327,0.028488,vapor
255.69,1,0.4847,2.0631,10.857,12.92,82.136,26.353,35.873,412.13,5.9061,9.8026,0.029095,vapor
260.69,1,0.47448,2.1076,10.992,13.099,82.832,26.462,35.918,416.37,5.685,9.9715,0.029709,vapor
265.69,1,0.46472,2.1518,11.127,13.279,83.515,26.579,35.978,420.52,5.4747,10.139,0.030331,vapor
270.69,1,0.45538,2.196,11.263,13.459,84.186,26.706,36.051,424.6,5.2745,10.306,0.03096,vapor
275.69,1,0.44643,2.24,11.399,13.639,84.847,26.842,36.137,428.6,5.0836,10.471,0.031598,vapor
280.69,1,0.43785,2.2839,11.537,13.82,85.497,26.986,36.236,432.52,4.9014,10.636,0.032243,vapor
285.69,1,0.42961,2.3277,11.674,14.002,86.138,27.139,36.346,436.37,4.7273,10.799,0.032897,vapor
290.69,1,0.4217,2.3714,11.812,14.184,86.769,27.3,36.467,440.16,4.5609,10.962,0.033559,vapor
295.69,1,0.41408,2.415,11.952,14.367,87.392,27.469,36.599,443.88,4.4016,11.123,0.03423,vapor
300.69,1,0.40675,2.4585,12.091,14.55,88.007,27.646,36.741,447.54,4.2491,11.283,0.034909,vapor
305.69,1,0.39969,2.5019,12.232,14.734,88.614,27.831,36.893,451.14,4.1029,11.443,0.035598,vapor
310.69,1,0.39288,2.5453,12.374,14.919,89.214,28.022,37.053,454.68,3.9627,11.601,0.036294,vapor
315.69,1,0.38631,2.5886,12.516,15.104,89.807,28.22,37.223,458.17,3.8282,11.758,0.037,vapor
320.69,1,0.37997,2.6318,12.659,15.291,90.393,28.426,37.401,461.61,3.6991,11.915,0.037715,vapor
325.69,1,0.37384,2.675,12.804,15.479,90.973,28.637,37.587,464.99,3.5751,12.07,0.038439,vapor
330.69,1,0.36791,2.7181,12.949,15.667,91.547,28.855,37.78,468.33,3.456,12.225,0.039171,vapor
335.69,1,0.36218,2.7611,13.095,15.856,92.116,29.078,37.981,471.62,3.3415,12.378,0.039913,vapor
340.69,1,0.35662,2.8041,13.243,16.047,92.679,29.307,38.189,474.86,3.2314,12.531,0.040663,vapor
345.69,1,0.35124,2.847,13.391,16.238,93.237,29.541,38.403,478.07,3.1255,12.683,0.041422,vapor
350.69,1,0.34603,2.8899,13.541,16.431,93.79,29.781,38.623,481.23,3.0237,12.834,0.04219,vapor
355.69,1,0.34098,2.9328,13.692,16.624,94.338,30.025,38.849,484.36,2.9257,12.984,0.042966,vapor
360.69,1,0.33607,2.9756,13.844,16.819,94.882,30.273,39.08,487.44,2.8313,13.133,0.043751,vapor
365.69,1,0.33131,3.0183,13.997,17.015,95.422,30.526,39.317,490.49,2.7404,13.282,0.044545,vapor
370.69,1,0.32669,3.061,14.151,17.212,95.957,30.784,39.558,493.51,2.6529,13.429,0.045347,vapor
375.69,1,0.32219,3.1037,14.307,17.411,96.489,31.044,39.804,496.5,2.5686,13.576,0.046157,vapor
380.69,1,0.31783,3.1464,14.464,17.611,97.017,31.309,40.054,499.45,2.4873,13.722,0.046976,vapor
385.69,1,0.31358,3.189,14.622,17.811,97.541,31.577,40.309,502.37,2.409,13.867,0.047802,vapor
390.69,1,0.30945,3.2316,14.782,18.014,98.062,31.848,40.567,505.26,2.3335,14.011,0.048637,vapor
395.69,1,0.30542,3.2741,14.943,18.217,98.58,32.122,40.828,508.13,2.2607,14.155,0.049479,vapor
400.69,1,0.30151,3.3167,15.105,18.422,99.094,32.398,41.093,510.97,2.1905,14.298,0.050329,vapor
405.69,1,0.29769,3.3592,15.269,18.628,99.605,32.678,41.361,513.78,2.1228,14.44,0.051187,vapor
410.69,1,0.29398,3.4016,15.434,18.836,100.11,32.959,41.632,516.56,2.0574,14.581,0.052052,vapor
415.69,1,0.29035,3.4441,15.6,19.044,100.62,33.243,41.906,519.33,1.9944,14.722,0.052924,vapor
420.69,1,0.28682,3.4865,15.768,19.255,101.12,33.529,42.182,522.07,1.9335,14.862,0.053804,vapor
425.69,1,0.28338,3.5289,15.937,19.466,101.62,33.817,42.46,524.79,1.8747,15.001,0.05469,vapor
430.69,1,0.28001,3.5713,16.108,19.679,102.12,34.107,42.741,527.48,1.8179,15.139,0.055584,vapor
435.69,1,0.27673,3.6136,16.28,19.894,102.61,34.398,43.023,530.16,1.763,15.277,0.056484,vapor
440.69,1,0.27353,3.6559,16.453,20.109,103.11,34.69,43.307,532.81,1.71,15.414,0.05739,vapor
445.69,1,0.2704,3.6982,16.628,20.327,103.6,34.984,43.593,535.45,1.6588,15.55,0.058304,vapor
450.69,1,0.26734,3.7405,16.805,20.545,104.08,35.279,43.88,538.07,1.6093,15.686,0.059223,vapor
455.69,1,0.26435,3.7828,16.983,20.765,104.57,35.575,44.169,540.67,1.5615,15.821,0.060149,vapor
460.69,1,0.26143,3.8251,17.162,20.987,105.05,35.872,44.459,543.25,1.5152,15.955,0.061081,vapor
465.69,1,0.25858,3.8673,17.343,21.21,105.54,36.17,44.75,545.81,1.4704,16.089,0.062018,vapor
470.69,1,0.25579,3.9095,17.525,21.435,106.01,36.468,45.041,548.36,1.4271,16.222,0.062962,vapor
475.69,1,0.25305,3.9517,17.709,21.66,106.49,36.767,45.334,550.89,1.3852,16.355,0.063911,vapor
480.69,1,0.25038,3.9939,17.894,21.888,106.97,37.067,45.628,553.41,1.3447,16.486,0.064866,vapor
485.69,1,0.24777,4.0361,18.081,22.117,107.44,37.367,45.922,555.91,1.3054,16.618,0.065826,vapor
490.69,1,0.2452,4.0782,18.269,22.347,107.91,37.667,46.216,558.4,1.2674,16.748,0.066792,vapor
495.69,1,0.2427,4.1204,18.459,22.579,108.38,37.968,46.512,560.87,1.2306,16.878,0.067763,vapor
500.69,1,0.24024,4.1625,18.65,22.812,108.85,38.269,46.807,563.33,1.1949,17.008,0.068739,vapor
505.69,1,0.23783,4.2046,18.842,23.047,109.32,38.57,47.103,565.78,1.1604,17.137,0.069719,vapor
510.69,1,0.23547,4.2467,19.037,23.283,109.78,38.871,47.399,568.21,1.1269,17.265,0.070705,vapor
515.69,1,0.23316,4.2888,19.232,23.521,110.25,39.172,47.695,570.63,1.0945,17.393,0.071696,vapor
520.69,1,0.2309,4.3309,19.429,23.76,110.71,39.473,47.991,573.03,1.063,17.52,0.072691,vapor
525.69,1,0.22868,4.373,19.628,24.001,111.17,39.774,48.288,575.43,1.0325,17.647,0.07369,vapor
530.69,1,0.2265,4.4151,19.828,24.243,111.63,40.074,48.584,577.81,1.0029,17.773,0.074695,vapor
535.69,1,0.22436,4.4571,20.03,24.487,112.08,40.375,48.88,580.18,0.97419,17.898,0.075703,vapor
540.69,1,0.22226,4.4991,20.233,24.732,112.54,40.675,49.176,582.54,0.94634,18.023,0.076716,vapor
545.69,1,0.22021,4.5412,20.437,24.978,112.99,40.974,49.472,584.89,0.9193,18.148,0.077733,vapor
550.69,1,0.21819,4.5832,20.643,25.227,113.45,41.274,49.767,587.23,0.89307,18.272,0.078754,vapor
555.69,1,0.21621,4.6252,20.851,25.476,113.9,41.573,50.063,589.55,0.86759,18.395,0.079779,vapor
560.69,1,0.21426,4.6672,21.06,25.727,114.35,41.871,50.357,591.87,0.84285,18.518,0.080808,vapor
565.69,1,0.21235,4.7092,21.271,25.98,114.8,42.169,50.652,594.17,0.81882,18.641,0.08184,vapor
570.69,1,0.21047,4.7512,21.483,26.234,115.24,42.467,50.946,596.47,0.79548,18.763,0.082877,vapor
575.69,1,0.20863,4.7932,21.696,26.489,115.69,42.763,51.24,598.75,0.7728,18.884,0.083917,vapor
580.69,1,0.20682,4.8351,21.911,26.746,116.13,43.06,51.533,601.03,0.75076,19.005,0.08496,vapor
585.69,1,0.20504,4.8771,22.127,27.005,116.58,43.355,51.825,603.3,0.72933,19.126,0.086007,vapor
590.69,1,0.20329,4.9191,22.345,27.264,117.02,43.65,52.117,605.55,0.7085,19.246,0.087058,vapor
595.69,1,0.20157,4.961,22.565,27.526,117.46,43.945,52.409,607.8,0.68824,19.366,0.088112,vapor
600.69,1,0.19988,5.0029,22.786,27.788,117.9,44.238,52.7,610.04,0.66854,19.485,0.089169,vapor
605.69,1,0.19822,5.0449,23.008,28.053,118.33,44.531,52.99,612.27,0.64938,19.604,0.090229,vapor
610.69,1,0.19659,5.0868,23.232,28.318,118.77,44.824,53.279,614.49,0.63073,19.722,0.091292,vapor
615.69,1,0.19498,5.1287,23.457,28.585,119.21,45.115,53.568,616.7,0.61259,19.84,0.092359,vapor
620.69,1,0.1934,5.1706,23.683,28.854,119.64,45.406,53.856,618.9,0.59493,19.957,0.093428,vapor
,1,0.18478,5.4119,13.613,19.024,195.34,22.112,30.486,517.18,-0.12175,31.217,0.047648,vapor
653.15,1,0.18337,5.4536,13.723,19.177,195.57,22.144,30.517,519.06,-0.13365,31.379,0.04792,vapor
658.15,1,0.18197,5.4953,13.834,19.33,195.81,22.177,30.548,520.92,-0.14531,31.541,0.048191,vapor
663.15,1,0.1806,5.537,13.945,19.482,196.04,22.209,30.58,522.78,-0.15674,31.702,0.048461,vapor
668.15,1,0.17925,5.5787,14.057,19.635,196.27,22.242,30.612,524.63,-0.16795,31.862,0.048731,vapor
673.15,1,0.17792,5.6204,14.168,19.789,196.49,22.275,30.643,526.47,-0.17894,32.022,0.049,vapor
678.15,1,0.17661,5.6621,14.28,19.942,196.72,22.308,30.675,528.3,-0.18972,32.182,0.049269,vapor
683.15,1,0.17532,5.7038,14.391,20.095,196.95,22.341,30.708,530.13,-0.20028,32.341,0.049537,vapor
688.15,1,0.17405,5.7455,14.503,20.249,197.17,22.375,30.74,531.94,-0.21065,32.499,0.049804,vapor
693.15,1,0.17279,5.7872,14.615,20.403,197.39,22.408,30.773,533.75,-0.22081,32.657,0.05007,vapor
698.15,1,0.17156,5.8289,14.728,20.557,197.62,22.442,30.805,535.55,-0.23078,32.814,0.050336,vapor
703.15,1,0.17034,5.8706,14.84,20.711,197.84,22.475,30.838,537.34,-0.24056,32.971,0.050602,vapor
708.15,1,0.16914,5.9123,14.953,20.865,198.05,22.509,30.871,539.13,-0.25016,33.128,0.050866,vapor
713.15,1,0.16795,5.954,15.065,21.019,198.27,22.543,30.903,540.91,-0.25958,33.284,0.05113,vapor
718.15,1,0.16679,5.9957,15.178,21.174,198.49,22.576,30.936,542.68,-0.26882,33.439,0.051394,vapor
723.15,1,0.16564,6.0374,15.291,21.329,198.7,22.61,30.969,544.44,-0.27788,33.594,0.051657,vapor
728.15,1,0.1645,6.0791,15.405,21.484,198.92,22.644,31.003,546.2,-0.28678,33.749,0.051919,vapor
733.15,1,0.16338,6.1207,15.518,21.639,199.13,22.678,31.036,547.94,-0.29551,33.903,0.05218,vapor
738.15,1,0.16227,6.1624,15.632,21.794,199.34,22.712,31.069,549.69,-0.30409,34.056,0.052442,vapor
743.15,1,0.16118,6.2041,15.745,21.95,199.55,22.746,31.102,551.42,-0.3125,34.209,0.052702,vapor
748.15,1,0.16011,6.2458,15.859,22.105,199.76,22.78,31.135,553.15,-0.32077,34.362,0.052962,vapor
753.15,1,0.15905,6.2874,15.973,22.261,199.96,22.814,31.169,554.87,-0.32888,34.514,0.053221,vapor
758.15,1,0.158,6.3291,16.088,22.417,200.17,22.848,31.202,556.59,-0.33684,34.666,0.05348,vapor
763.15,1,0.15697,6.3708,16.202,22.573,200.38,22.882,31.235,558.3,-0.34467,34.817,0.053739,vapor
768.15,1,0.15595,6.4124,16.317,22.729,200.58,22.916,31.269,560,-0.35235,34.968,0.053996,vapor
773.15,1,0.15494,6.4541,16.431,22.886,200.78,22.95,31.302,561.7,-0.35989,35.119,0.054254,vapor
778.15,1,0.15395,6.4958,16.546,23.042,200.99,22.984,31.335,563.39,-0.3673,35.269,0.05451,vapor
783.15,1,0.15296,6.5374,16.662,23.199,201.19,23.017,31.368,565.07,-0.37458,35.419,0.054766,vapor
788.15,1,0.152,6.5791,16.777,23.356,201.39,23.051,31.402,566.75,-0.38173,35.568,0.055022,vapor
793.15,1,0.15104,6.6208,16.892,23.513,201.58,23.085,31.435,568.42,-0.38876,35.717,0.055277,vapor
798.15,1,0.1501,6.6624,17.008,23.67,201.78,23.119,31.468,570.09,-0.39566,35.865,0.055532,vapor
