Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
450,0.1,0.026732,37.408,16.838,20.579,123.29,35.195,43.539,537.03,1.6473,15.574,0.058716,vapor
450,0.2,0.053475,18.7,16.832,20.572,117.51,35.2,43.572,537.09,1.6439,15.584,0.058758,vapor
450,0.3,0.080227,12.465,16.825,20.565,114.13,35.205,43.606,537.16,1.6404,15.594,0.0588,vapor
450,0.4,0.10699,9.3467,16.819,20.558,111.72,35.21,43.639,537.23,1.637,15.604,0.058842,vapor
450,0.5,0.13376,7.476,16.812,20.55,109.85,35.214,43.673,537.31,1.6335,15.615,0.058884,vapor
450,0.6,0.16054,6.2288,16.806,20.543,108.32,35.219,43.706,537.38,1.63,15.625,0.058926,vapor
450,0.7,0.18733,5.338,16.8,20.536,107.03,35.224,43.74,537.46,1.6266,15.635,0.058968,vapor
450,0.8,0.21413,4.67,16.793,20.529,105.9,35.229,43.773,537.54,1.6231,15.646,0.05901,vapor
450,0.9,0.24094,4.1503,16.787,20.522,104.91,35.233,43.807,537.62,1.6196,15.656,0.059053,vapor
450,1,0.26776,3.7347,16.78,20.515,104.02,35.238,43.84,537.7,1.6161,15.667,0.059095,vapor
450,1.1,0.29459,3.3946,16.774,20.508,103.21,35.243,43.874,537.79,1.6126,15.678,0.059138,vapor
450,1.2,0.32142,3.1112,16.767,20.501,102.47,35.247,43.908,537.88,1.6091,15.689,0.059181,vapor
450,1.3,0.34827,2.8714,16.761,20.494,101.79,35.252,43.941,537.96,1.6056,15.699,0.059223,vapor
450,1.4,0.37512,2.6658,16.754,20.487,101.16,35.257,43.975,538.05,1.6021,15.71,0.059267,vapor
450,1.5,0.40198,2.4877,16.748,20.48,100.57,35.261,44.008,538.15,1.5985,15.721,0.05931,vapor
450,1.6,0.42884,2.3319,16.742,20.473,100.02,35.266,44.042,538.24,1.595,15.732,0.059353,vapor
450,1.7,0.45572,2.1943,16.735,20.466,99.506,35.271,44.076,538.34,1.5914,15.743,0.059397,vapor
450,1.8,0.4826,2.0721,16.729,20.459,99.017,35.275,44.109,538.44,1.5879,15.754,0.05944,vapor
450,1.9,0.50949,1.9628,16.722,20.452,98.553,35.28,44.143,538.54,1.5843,15.766,0.059484,vapor
450,2,0.53638,1.8643,16.716,20.445,98.112,35.285,44.176,538.64,1.5807,15.777,0.059528,vapor
450,2.1,0.56329,1.7753,16.709,20.438,97.693,35.289,44.21,538.74,1.5772,15.788,0.059572,vapor
450,2.2,0.59019,1.6944,16.703,20.431,97.292,35.294,44.244,538.85,1.5736,15.8,0.059617,vapor
450,2.3,0.61711,1.6205,16.697,20.424,96.908,35.298,44.277,538.96,1.57,15.811,0.059661,vapor
450,2.4,0.64403,1.5527,16.69,20.417,96.54,35.303,44.311,539.07,1.5664,15.823,0.059706,vapor
450,2.5,0.67096,1.4904,16.684,20.41,96.187,35.307,44.345,539.18,1.5628,15.834,0.059751,vapor
450,2.6,0.69789,1.4329,16.677,20.403,95.847,35.312,44.378,539.29,1.5592,15.846,0.059796,vapor
450,2.7,0.72483,1.3796,16.671,20.396,95.519,35.317,44.412,539.41,1.5555,15.857,0.059841,vapor
450,2.8,0.75177,1.3302,16.664,20.389,95.202,35.321,44.446,539.52,1.5519,15.869,0.059886,vapor
450,2.9,0.77872,1.2842,16.658,20.382,94.897,35.326,44.479,539.64,1.5483,15.881,0.059932,vapor
450,3,0.80567,1.2412,16.652,20.375,94.601,35.33,44.513,539.77,1.5446,15.893,0.059977,vapor
450,3.1,0.83263,1.201,16.645,20.368,94.314,35.335,44.546,539.89,1.541,15.905,0.060023,vapor
450,3.2,0.85959,1.1633,16.639,20.362,94.036,35.339,44.58,540.02,1.5373,15.917,0.060069,vapor
450,3.3,0.88656,1.128,16.632,20.355,93.767,35.344,44.614,540.14,1.5337,15.929,0.060115,vapor
450,3.4,0.91353,1.0947,16.626,20.348,93.505,35.348,44.647,540.27,1.53,15.941,0.060162,vapor
450,3.5,0.9405,1.0633,16.62,20.341,93.25,35.353,44.681,540.4,1.5263,15.953,0.060208,vapor
450,3.6,0.96748,1.0336,16.613,20.334,93.002,35.357,44.715,540.54,1.5226,15.966,0.060255,vapor
450,3.7,0.99446,1.0056,16.607,20.327,92.76,35.362,44.748,540.67,1.519,15.978,0.060301,vapor
450,3.8,1.0214,0.979,16.6,20.321,92.524,35.366,44.782,540.81,1.5153,15.99,0.060348,vapor
450,3.9,1.0484,0.9538,16.594,20.314,92.294,35.37,44.815,540.95,1.5115,16.003,0.060396,vapor
450,4,1.0754,0.92986,16.588,20.307,92.07,35.375,44.849,541.09,1.5078,16.015,0.060443,vapor
450,4.1,1.1024,0.9071,16.581,20.3,91.851,35.379,44.882,541.23,1.5041,16.028,0.06049,vapor
450,4.2,1.1294,0.88541,16.575,20.294,91.637,35.384,44.916,541.38,1.5004,16.041,0.060538,vapor
450,4.3,1.1564,0.86474,16.568,20.287,91.428,35.388,44.949,541.53,1.4967,16.053,0.060586,vapor
450,4.4,1.1834,0.84501,16.562,20.28,91.223,35.393,44.983,541.68,1.4929,16.066,0.060634,vapor
450,4.5,1.2104,0.82616,16.556,20.273,91.022,35.397,45.016,541.83,1.4892,16.079,0.060682,vapor
450,4.6,1.2374,0.80813,16.549,20.267,90.826,35.401,45.05,541.98,1.4854,16.092,0.06073,vapor
