Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
337.3,0.1,0.037626,26.577,32.613,35.271,104.57,111,141.87,309.54,202.71,10.808,0.018929,vapor
365.61,0.1,0.033611,29.752,34.506,37.481,110.9,46.377,56.864,333.39,77.952,11.786,0.021775,vapor
370.61,0.1,0.033096,30.215,34.74,37.762,111.66,45.368,55.485,335.99,68.559,11.958,0.022305,vapor
375.61,0.1,0.032604,30.671,34.97,38.037,112.4,44.846,54.704,338.43,61.325,12.129,0.022842,vapor
380.61,0.1,0.032132,31.122,35.197,38.31,113.12,44.617,54.285,340.75,55.59,12.301,0.023386,vapor
385.61,0.1,0.031677,31.568,35.424,38.581,113.83,44.572,54.094,343,50.904,12.473,0.023937,vapor
390.61,0.1,0.031238,32.012,35.65,38.851,114.52,44.644,54.049,345.19,46.965,12.645,0.024496,vapor
395.61,0.1,0.030814,32.453,35.876,39.121,115.21,44.794,54.103,347.34,43.574,12.816,0.025061,vapor
400.61,0.1,0.030403,32.892,36.103,39.392,115.89,44.999,54.225,349.44,40.597,12.988,0.025633,vapor
405.61,0.1,0.030004,33.329,36.331,39.663,116.57,45.242,54.397,351.52,37.944,13.16,0.026212,vapor
410.61,0.1,0.029617,33.765,36.56,39.936,117.23,45.513,54.606,353.56,35.551,13.331,0.026797,vapor
415.61,0.1,0.029241,34.199,36.79,40.21,117.9,45.806,54.842,355.59,33.374,13.503,0.027389,vapor
420.61,0.1,0.028875,34.632,37.021,40.484,118.55,46.115,55.101,357.58,31.379,13.675,0.027986,vapor
425.61,0.1,0.02852,35.063,37.254,40.761,119.21,46.437,55.378,359.56,29.541,13.846,0.02859,vapor
430.61,0.1,0.028174,35.494,37.489,41.038,119.85,46.769,55.669,361.52,27.841,14.018,0.029201,vapor
