Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
370.61,0.28553,0.1,10,33.736,36.591,100.12,93.142,121.4,320.86,85.186,11.789,0.022815,vapor
375.61,0.29207,0.1,10,34.158,37.079,101.25,76.946,98.639,325.73,76.323,11.966,0.023352,vapor
380.61,0.29799,0.1,10,34.515,37.495,102.2,66.803,84.757,329.97,68.009,12.143,0.023898,vapor
385.61,0.30351,0.1,10,34.832,37.867,103.02,60.386,76.065,333.68,60.613,12.32,0.024452,vapor
390.61,0.30876,0.1,10,35.123,38.211,103.77,56.295,70.512,336.97,54.271,12.496,0.025014,vapor
395.61,0.31382,0.1,10,35.397,38.536,104.47,53.676,66.907,339.94,48.937,12.673,0.025583,vapor
400.61,0.31874,0.1,10,35.661,38.849,105.13,52.004,64.539,342.67,44.478,12.849,0.026158,vapor
405.61,0.32357,0.1,10,35.918,39.154,105.77,50.949,62.974,345.22,40.732,13.025,0.026741,vapor
410.61,0.32832,0.1,10,36.171,39.455,106.39,50.303,61.939,347.65,37.551,13.201,0.027329,vapor
415.61,0.33301,0.1,10,36.422,39.752,107,49.932,61.262,349.98,34.815,13.376,0.027924,vapor
420.61,0.33766,0.1,10,36.671,40.048,107.59,49.751,60.831,352.23,32.426,13.552,0.028526,vapor
425.61,0.34227,0.1,10,36.92,40.342,108.18,49.701,60.572,354.43,30.312,13.728,0.029133,vapor
430.61,0.34684,0.1,10,37.168,40.637,108.76,49.744,60.436,356.57,28.419,13.903,0.029746,vapor
435.61,0.35139,0.1,10,37.417,40.931,109.34,49.856,60.391,358.68,26.706,14.078,0.030366,vapor
440.61,0.35592,0.1,10,37.667,41.226,109.91,50.017,60.414,360.75,25.142,14.254,0.030991,vapor
445.61,0.36042,0.1,10,37.917,41.522,110.47,50.216,60.488,362.79,23.705,14.429,0.031621,vapor
450.61,0.3649,0.1,10,38.169,41.818,111.03,50.443,60.601,364.8,22.377,14.604,0.032258,vapor
455.61,0.36937,0.1,10,38.422,42.116,111.59,50.693,60.747,366.79,21.144,14.779,0.032899,vapor
460.61,0.37381,0.1,10,38.676,42.414,112.15,50.96,60.918,368.75,19.994,14.954,0.033546,vapor
465.61,0.37824,0.1,10,38.932,42.714,112.7,51.24,61.109,370.69,18.919,15.128,0.034199,vapor
470.61,0.38266,0.1,10,39.188,43.015,113.25,51.532,61.318,372.62,17.911,15.303,0.034856,vapor
475.61,0.38706,0.1,10,39.447,43.317,113.79,51.833,61.541,374.52,16.964,15.477,0.035518,vapor
480.61,0.39145,0.1,10,39.707,43.621,114.34,52.141,61.775,376.4,16.073,15.652,0.036186,vapor
485.61,0.39582,0.1,10,39.968,43.927,114.88,52.455,62.021,378.27,15.233,15.826,0.036858,vapor
490.61,0.40019,0.1,10,40.231,44.233,115.42,52.774,62.275,380.12,14.441,16,0.037535,vapor
495.61,0.40454,0.1,10,40.496,44.541,115.95,53.098,62.536,381.95,13.692,16.174,0.038216,vapor
500.61,0.40888,0.1,10,40.762,44.851,116.49,53.424,62.804,383.77,12.985,16.348,0.038902,vapor
505.61,0.41321,0.1,10,41.03,45.162,117.02,53.753,63.078,385.58,12.315,16.522,0.039593,vapor
510.61,0.41754,0.1,10,41.3,45.475,117.55,54.084,63.356,387.37,11.68,16.696,0.040288,vapor
515.61,0.42185,0.1,10,41.571,45.79,118.08,54.417,63.639,389.14,11.079,16.869,0.040987,vapor
520.61,0.42615,0.1,10,41.844,46.106,118.61,54.752,63.925,390.91,10.508,17.042,0.041691,vapor
525.61,0.43044,0.1,10,42.119,46.423,119.13,55.087,64.215,392.66,9.967,17.216,0.042398,vapor
530.61,0.43473,0.1,10,42.395,46.742,119.66,55.422,64.507,394.4,9.4531,17.389,0.04311,vapor
535.61,0.43901,0.1,10,42.673,47.063,120.18,55.758,64.801,396.12,8.965,17.562,0.043825,vapor
540.61,0.44328,0.1,10,42.953,47.385,120.7,56.095,65.098,397.84,8.5012,17.734,0.044545,vapor
545.61,0.44754,0.1,10,43.234,47.709,121.21,56.431,65.396,399.54,8.0603,17.907,0.045268,vapor
550.61,0.45179,0.1,10,43.517,48.035,121.73,56.767,65.695,401.23,7.641,18.079,0.045995,vapor
555.61,0.45604,0.1,10,43.802,48.362,122.25,57.102,65.996,402.91,7.2421,18.251,0.046726,vapor
560.61,0.46028,0.1,10,44.088,48.691,122.76,57.437,66.297,404.58,6.8625,18.423,0.04746,vapor
565.61,0.46451,0.1,10,44.376,49.021,123.27,57.772,66.599,406.24,6.5011,18.595,0.048198,vapor
570.61,0.46874,0.1,10,44.666,49.353,123.78,58.105,66.902,407.89,6.1571,18.767,0.048939,vapor
575.61,0.47296,0.1,10,44.957,49.687,124.29,58.438,67.205,409.54,5.8294,18.938,0.049683,vapor
580.61,0.47718,0.1,10,45.25,50.022,124.79,58.77,67.508,411.17,5.5173,19.109,0.050431,vapor
585.61,0.48139,0.1,10,45.545,50.359,125.3,59.1,67.812,412.79,5.22,19.28,0.051182,vapor
590.61,0.48559,0.1,10,45.841,50.697,125.8,59.43,68.115,414.4,4.9366,19.451,0.051937,vapor
595.61,0.48979,0.1,10,46.139,51.037,126.31,59.758,68.418,416.01,4.6665,19.622,0.052694,vapor
600.61,0.49398,0.1,10,46.439,51.378,126.81,60.086,68.721,417.6,4.4091,19.792,0.053455,vapor
605.61,0.49817,0.1,10,46.74,51.721,127.31,60.412,69.023,419.19,4.1636,19.962,0.054218,vapor
610.61,0.50235,0.1,10,47.043,52.066,127.8,60.736,69.325,420.77,3.9296,20.132,0.054985,vapor
615.61,0.50653,0.1,10,47.347,52.412,128.3,61.06,69.627,422.34,3.7065,20.302,0.055754,vapor
