Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
409.75,1,0.35352,2.8287,33.758,36.586,90.903,132.03,203.33,313.48,38.678,12.757,0.029362,vapor
470.61,1,0.2724,3.6711,38.613,42.284,104.01,56.599,69.83,362.84,18.374,15.122,0.036208,vapor
475.61,1,0.26858,3.7233,38.908,42.631,104.75,56.47,69.293,365.23,17.369,15.307,0.036841,vapor
480.61,1,0.26492,3.7748,39.202,42.977,105.47,56.418,68.883,367.56,16.433,15.492,0.03748,vapor
485.61,1,0.26141,3.8255,39.495,43.32,106.18,56.426,68.572,369.83,15.559,15.675,0.038126,vapor
490.61,1,0.25803,3.8755,39.787,43.663,106.88,56.481,68.341,372.04,14.739,15.858,0.038777,vapor
495.61,1,0.25478,3.925,40.079,44.004,107.57,56.572,68.173,374.21,13.969,16.041,0.039434,vapor
500.61,1,0.25164,3.974,40.371,44.345,108.26,56.692,68.058,376.34,13.244,16.223,0.040096,vapor
505.61,1,0.24861,4.0224,40.662,44.685,108.93,56.836,67.987,378.43,12.56,16.404,0.040763,vapor
510.61,1,0.24568,4.0704,40.954,45.024,109.6,57,67.953,380.48,11.913,16.584,0.041436,vapor
515.61,1,0.24284,4.118,41.246,45.364,110.26,57.18,67.951,382.5,11.301,16.765,0.042114,vapor
520.61,1,0.24009,4.1652,41.539,45.704,110.92,57.375,67.977,384.49,10.722,16.944,0.042796,vapor
525.61,1,0.23742,4.212,41.832,46.044,111.57,57.581,68.027,386.45,10.172,17.124,0.043484,vapor
530.61,1,0.23483,4.2585,42.126,46.384,112.21,57.797,68.098,388.39,9.6511,17.302,0.044176,vapor
535.61,1,0.23231,4.3047,42.42,46.725,112.85,58.022,68.188,390.3,9.1562,17.481,0.044872,vapor
540.61,1,0.22986,4.3505,42.716,47.066,113.49,58.254,68.295,392.18,8.6859,17.658,0.045573,vapor
545.61,1,0.22747,4.3961,43.012,47.408,114.12,58.493,68.416,394.04,8.2389,17.836,0.046278,vapor
550.61,1,0.22515,4.4414,43.309,47.75,114.74,58.738,68.551,395.88,7.8138,18.013,0.046988,vapor
555.61,1,0.22289,4.4865,43.607,48.094,115.36,58.987,68.697,397.7,7.4093,18.189,0.047701,vapor
560.61,1,0.22069,4.5313,43.906,48.437,115.98,59.241,68.854,399.5,7.0243,18.365,0.048419,vapor
565.61,1,0.21853,4.576,44.206,48.782,116.59,59.499,69.021,401.28,6.6578,18.541,0.049141,vapor
570.61,1,0.21643,4.6204,44.507,49.128,117.2,59.76,69.197,403.04,6.3086,18.717,0.049866,vapor
575.61,1,0.21438,4.6646,44.81,49.474,117.8,60.025,69.381,404.79,5.976,18.892,0.050595,vapor
580.61,1,0.21238,4.7086,45.113,49.821,118.4,60.291,69.572,406.52,5.659,19.066,0.051328,vapor
585.61,1,0.21042,4.7525,45.417,50.17,119,60.56,69.769,408.23,5.3569,19.24,0.052064,vapor
590.61,1,0.2085,4.7962,45.723,50.519,119.6,60.831,69.973,409.93,5.0688,19.414,0.052804,vapor
595.61,1,0.20663,4.8397,46.03,50.87,120.19,61.104,70.181,411.62,4.7942,19.588,0.053547,vapor
600.61,1,0.20479,4.8831,46.338,51.221,120.77,61.378,70.395,413.29,4.5323,19.761,0.054294,vapor
605.61,1,0.20299,4.9263,46.647,51.574,121.36,61.653,70.613,414.95,4.2824,19.934,0.055044,vapor
610.61,1,0.20123,4.9694,46.958,51.927,121.94,61.929,70.836,416.6,4.0441,20.106,0.055797,vapor
615.61,1,0.19951,5.0124,47.269,52.282,122.52,62.206,71.062,418.23,3.8167,20.278,0.056553,vapor
