Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
73.151,0.059048,0.1,10,1.4777,2.0682,154.61,21.369,30.711,171.4,30.1,5.1203,0.0067026,vapor
78.151,0.063314,0.1,10,1.5843,2.2174,156.02,21.252,30.445,177.55,26.14,5.4683,0.0072046,vapor
83.151,0.067565,0.1,10,1.6903,2.3659,157.34,21.166,30.245,183.47,23.003,5.8128,0.0077037,vapor
88.151,0.071803,0.1,10,1.7959,2.514,158.57,21.101,30.09,189.19,20.464,6.1538,0.0081997,vapor
93.151,0.076033,0.1,10,1.9013,2.6617,159.74,21.051,29.968,194.73,18.373,6.4913,0.0086921,vapor
98.151,0.080255,0.1,10,2.0065,2.809,160.83,21.013,29.87,200.1,16.625,6.8253,0.0091808,vapor
103.15,0.084472,0.1,10,2.1115,2.9562,161.88,20.982,29.79,205.33,15.145,7.1558,0.0096658,vapor
108.15,0.088683,0.1,10,2.2163,3.1031,162.87,20.957,29.723,210.41,13.876,7.4827,0.010147,vapor
113.15,0.092891,0.1,10,2.321,3.25,163.82,20.936,29.667,215.38,12.778,7.8062,0.010624,vapor
118.15,0.097096,0.1,10,2.4257,3.3966,164.72,20.92,29.62,220.23,11.819,8.1262,0.011097,vapor
123.15,0.1013,0.1,10,2.5302,3.5432,165.59,20.906,29.579,224.97,10.975,8.4429,0.011567,vapor
128.15,0.1055,0.1,10,2.6347,3.6897,166.42,20.894,29.544,229.61,10.227,8.7562,0.012032,vapor
133.15,0.10969,0.1,10,2.7392,3.8361,167.22,20.884,29.513,234.15,9.559,9.0662,0.012494,vapor
138.15,0.11389,0.1,10,2.8436,3.9825,167.99,20.876,29.487,238.61,8.9595,9.373,0.012951,vapor
143.15,0.11808,0.1,10,2.9479,4.1288,168.73,20.868,29.463,242.98,8.4186,9.6767,0.013405,vapor
148.15,0.12228,0.1,10,3.0523,4.275,169.45,20.862,29.442,247.28,7.9282,9.9772,0.013855,vapor
153.15,0.12647,0.1,10,3.1566,4.4212,170.14,20.857,29.423,251.5,7.4816,10.275,0.014301,vapor
158.15,0.13066,0.1,10,3.2608,4.5674,170.81,20.852,29.406,255.64,7.0734,10.569,0.014744,vapor
163.15,0.13485,0.1,10,3.3651,4.7135,171.46,20.848,29.39,259.73,6.6987,10.861,0.015183,vapor
168.15,0.13904,0.1,10,3.4693,4.8597,172.09,20.844,29.377,263.74,6.3538,11.15,0.015618,vapor
173.15,0.14322,0.1,10,3.5735,5.0058,172.7,20.841,29.364,267.7,6.0352,11.435,0.01605,vapor
178.15,0.14741,0.1,10,3.6777,5.1518,173.29,20.838,29.352,271.6,5.7401,11.719,0.016479,vapor
183.15,0.1516,0.1,10,3.7819,5.2979,173.87,20.835,29.342,275.44,5.4659,11.999,0.016904,vapor
188.15,0.15578,0.1,10,3.8861,5.4439,174.43,20.833,29.332,279.23,5.2107,12.277,0.017326,vapor
193.15,0.15997,0.1,10,3.9902,5.5899,174.98,20.831,29.323,282.96,4.9724,12.552,0.017744,vapor
198.15,0.16415,0.1,10,4.0944,5.7359,175.51,20.829,29.315,286.65,4.7496,12.825,0.01816,vapor
203.15,0.16834,0.1,10,4.1985,5.8819,176.03,20.828,29.307,290.29,4.5407,13.095,0.018572,vapor
208.15,0.17252,0.1,10,4.3027,6.0279,176.53,20.826,29.3,293.88,4.3445,13.363,0.018981,vapor
213.15,0.1767,0.1,10,4.4068,6.1738,177.03,20.825,29.294,297.44,4.1599,13.629,0.019387,vapor
218.15,0.18089,0.1,10,4.5109,6.3198,177.51,20.824,29.287,300.94,3.9859,13.892,0.019791,vapor
223.15,0.18507,0.1,10,4.615,6.4657,177.98,20.823,29.282,304.41,3.8216,14.153,0.020191,vapor
228.15,0.18925,0.1,10,4.7191,6.6117,178.45,20.822,29.277,307.84,3.6663,14.412,0.020589,vapor
233.15,0.19343,0.1,10,4.8233,6.7576,178.9,20.822,29.272,311.23,3.5192,14.668,0.020983,vapor
238.15,0.19762,0.1,10,4.9274,6.9035,179.34,20.821,29.267,314.58,3.3798,14.923,0.021375,vapor
243.15,0.2018,0.1,10,5.0315,7.0494,179.77,20.821,29.263,317.9,3.2474,15.175,0.021765,vapor
248.15,0.20598,0.1,10,5.1356,7.1954,180.19,20.821,29.259,321.18,3.1215,15.425,0.022151,vapor
253.15,0.21016,0.1,10,5.2397,7.3413,180.61,20.82,29.256,324.43,3.0017,15.673,0.022535,vapor
258.15,0.21434,0.1,10,5.3438,7.4872,181.02,20.821,29.253,327.64,2.8875,15.92,0.022917,vapor
263.15,0.21852,0.1,10,5.4479,7.6331,181.42,20.821,29.25,330.83,2.7786,16.164,0.023296,vapor
268.15,0.2227,0.1,10,5.552,7.779,181.81,20.821,29.247,333.98,2.6747,16.407,0.023673,vapor
273.15,0.22688,0.1,10,5.6561,7.9249,182.19,20.822,29.245,337.1,2.5753,16.647,0.024047,vapor
278.15,0.23106,0.1,10,5.7602,8.0708,182.57,20.823,29.243,340.2,2.4802,16.886,0.024419,vapor
283.15,0.23524,0.1,10,5.8643,8.2167,182.94,20.824,29.242,343.26,2.3891,17.123,0.024788,vapor
288.15,0.23942,0.1,10,5.9684,8.3627,183.31,20.825,29.24,346.3,2.3018,17.359,0.025156,vapor
293.15,0.2436,0.1,10,6.0726,8.5086,183.66,20.827,29.24,349.31,2.218,17.592,0.025521,vapor
298.15,0.24778,0.1,10,6.1767,8.6545,184.02,20.828,29.239,352.29,2.1376,17.824,0.025884,vapor
303.15,0.25196,0.1,10,6.2809,8.8004,184.36,20.83,29.239,355.25,2.0604,18.054,0.026245,vapor
308.15,0.25614,0.1,10,6.385,8.9464,184.7,20.833,29.239,358.18,1.9861,18.283,0.026604,vapor
313.15,0.26032,0.1,10,6.4892,9.0924,185.04,20.835,29.24,361.09,1.9146,18.51,0.02696,vapor
318.15,0.2645,0.1,10,6.5934,9.2383,185.37,20.838,29.241,363.97,1.8458,18.736,0.027315,vapor
323.15,0.26867,0.1,10,6.6976,9.3843,185.69,20.842,29.242,366.83,1.7795,18.96,0.027668,vapor
328.15,0.27285,0.1,10,6.8018,9.5303,186.01,20.845,29.244,369.67,1.7155,19.182,0.028019,vapor
333.15,0.27703,0.1,10,6.906,9.6763,186.33,20.849,29.247,372.48,1.6538,19.403,0.028367,vapor
338.15,0.28121,0.1,10,7.0103,9.8224,186.64,20.854,29.249,375.27,1.5943,19.623,0.028714,vapor
343.15,0.28539,0.1,10,7.1146,9.9684,186.95,20.859,29.253,378.04,1.5368,19.841,0.02906,vapor
348.15,0.28957,0.1,10,7.2189,10.115,187.25,20.864,29.256,380.78,1.4812,20.058,0.029403,vapor
353.15,0.29374,0.1,10,7.3232,10.261,187.55,20.87,29.261,383.51,1.4274,20.273,0.029744,vapor
358.15,0.29792,0.1,10,7.4276,10.407,187.84,20.876,29.265,386.21,1.3754,20.487,0.030084,vapor
363.15,0.3021,0.1,10,7.532,10.553,188.13,20.883,29.271,388.89,1.3251,20.7,0.030422,vapor
368.15,0.30628,0.1,10,7.6364,10.699,188.41,20.89,29.276,391.56,1.2764,20.912,0.030759,vapor
373.15,0.31046,0.1,10,7.7409,10.845,188.7,20.897,29.283,394.2,1.2292,21.122,0.031093,vapor
378.15,0.31463,0.1,10,7.8454,10.992,188.97,20.905,29.29,396.82,1.1834,21.331,0.031427,vapor
383.15,0.31881,0.1,10,7.9499,11.138,189.25,20.914,29.297,399.43,1.139,21.538,0.031758,vapor
388.15,0.32299,0.1,10,8.0545,11.284,189.52,20.923,29.305,402.01,1.096,21.745,0.032088,vapor
