Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
230.74,0.1,0.054127,18.475,21.329,23.176,108.03,53.616,63.441,218.33,37.757,6.2748,0.011542,vapor
235.53,0.1,0.052891,18.907,21.591,23.481,109.34,54.356,64.065,220.74,35.401,6.4081,0.01198,vapor
240.53,0.1,0.051666,19.355,21.868,23.803,110.7,55.146,64.746,223.2,33.146,6.5471,0.012445,vapor
245.53,0.1,0.050503,19.801,22.149,24.129,112.03,55.954,65.457,225.62,31.081,6.6856,0.012917,vapor
250.53,0.1,0.049397,20.244,22.434,24.458,113.36,56.779,66.196,227.98,29.188,6.8238,0.013395,vapor
255.53,0.1,0.048342,20.686,22.722,24.791,114.68,57.622,66.96,230.31,27.448,6.9616,0.013881,vapor
260.52,0.1,0.047335,21.126,23.015,25.128,115.98,58.48,67.749,232.59,25.847,7.0991,0.014374,vapor
265.52,0.1,0.046373,21.564,23.312,25.468,117.28,59.355,68.559,234.83,24.371,7.2362,0.014874,vapor
270.52,0.1,0.045453,22.001,23.613,25.813,118.56,60.243,69.39,237.04,23.008,7.373,0.015381,vapor
275.52,0.1,0.04457,22.436,23.919,26.162,119.84,61.146,70.24,239.21,21.748,7.5095,0.015895,vapor
280.52,0.1,0.043724,22.871,24.229,26.516,121.11,62.06,71.107,241.35,20.579,7.6456,0.016416,vapor
285.52,0.1,0.042911,23.304,24.543,26.873,122.38,62.986,71.989,243.46,19.495,7.7814,0.016944,vapor
290.52,0.1,0.04213,23.736,24.862,27.236,123.64,63.922,72.885,245.55,18.488,7.9168,0.017479,vapor
295.52,0.1,0.041378,24.167,25.186,27.602,124.89,64.867,73.793,247.61,17.55,8.0519,0.018022,vapor
300.52,0.1,0.040654,24.598,25.514,27.974,126.13,65.82,74.713,249.64,16.676,8.1866,0.018571,vapor
305.52,0.1,0.039956,25.027,25.847,28.349,127.37,66.781,75.642,251.65,15.861,8.3211,0.019128,vapor
