Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
250.53,0.19645,0.1,10,22.301,24.265,107.21,57.529,68.261,222.87,30.307,6.8021,0.013376,vapor
255.53,0.20089,0.1,10,22.59,24.599,108.35,58.341,68.945,225.25,28.476,6.9416,0.013867,vapor
260.52,0.20531,0.1,10,22.884,24.937,109.49,59.17,69.656,227.59,26.791,7.0809,0.014365,vapor
265.52,0.20972,0.1,10,23.182,25.279,110.62,60.015,70.394,229.9,25.238,7.2198,0.014871,vapor
270.52,0.21412,0.1,10,23.484,25.626,111.75,60.877,71.156,232.17,23.805,7.3584,0.015384,vapor
275.52,0.21851,0.1,10,23.791,25.976,112.87,61.753,71.94,234.4,22.48,7.4967,0.015904,vapor
280.52,0.22289,0.1,10,24.102,26.331,113.99,62.643,72.746,236.61,21.253,7.6347,0.016431,vapor
285.52,0.22726,0.1,10,24.417,26.69,115.11,63.546,73.57,238.78,20.115,7.7724,0.016966,vapor
290.52,0.23163,0.1,10,24.737,27.054,116.22,64.46,74.411,240.93,19.058,7.9097,0.017508,vapor
295.52,0.23598,0.1,10,25.062,27.422,117.33,65.385,75.267,243.05,18.075,8.0467,0.018058,vapor
300.52,0.24032,0.1,10,25.391,27.795,118.43,66.319,76.138,245.15,17.16,8.1834,0.018615,vapor
305.52,0.24466,0.1,10,25.725,28.172,119.53,67.261,77.02,247.22,16.308,8.3198,0.019179,vapor
310.52,0.249,0.1,10,26.064,28.554,120.63,68.21,77.914,249.27,15.512,8.4558,0.01975,vapor
315.52,0.25332,0.1,10,26.407,28.941,121.73,69.165,78.818,251.29,14.769,8.5915,0.020329,vapor
320.52,0.25764,0.1,10,26.756,29.332,122.82,70.127,79.73,253.3,14.074,8.7268,0.020915,vapor
325.52,0.26196,0.1,10,27.109,29.728,123.92,71.092,80.65,255.28,13.423,8.8618,0.021508,vapor
330.52,0.26627,0.1,10,27.467,30.129,125.01,72.062,81.577,257.25,12.814,8.9964,0.022109,vapor
335.52,0.27057,0.1,10,27.829,30.535,126.1,73.035,82.509,259.2,12.243,9.1307,0.022717,vapor
340.52,0.27487,0.1,10,28.197,30.946,127.19,74.01,83.446,261.13,11.707,9.2646,0.023332,vapor
345.52,0.27917,0.1,10,28.569,31.361,128.27,74.988,84.388,263.04,11.203,9.3981,0.023955,vapor
350.52,0.28346,0.1,10,28.947,31.781,129.36,75.966,85.332,264.93,10.73,9.5313,0.024585,vapor
355.52,0.28775,0.1,10,29.329,32.207,130.44,76.946,86.28,266.81,10.285,9.6641,0.025222,vapor
360.52,0.29203,0.1,10,29.716,32.637,131.52,77.926,87.229,268.68,9.8653,9.7965,0.025866,vapor
365.52,0.29631,0.1,10,30.108,33.071,132.6,78.905,88.18,270.53,9.4703,9.9286,0.026518,vapor
370.52,0.30059,0.1,10,30.505,33.511,133.68,79.884,89.132,272.37,9.0978,10.06,0.027177,vapor
375.52,0.30487,0.1,10,30.907,33.956,134.76,80.862,90.084,274.19,8.7462,10.192,0.027843,vapor
380.52,0.30914,0.1,10,31.314,34.405,135.83,81.838,91.036,276,8.4141,10.322,0.028517,vapor
385.52,0.31341,0.1,10,31.726,34.86,136.91,82.813,91.987,277.79,8.1002,10.453,0.029198,vapor
390.52,0.31768,0.1,10,32.142,35.319,137.98,83.785,92.937,279.58,7.8033,10.583,0.029886,vapor
395.52,0.32194,0.1,10,32.563,35.783,139.05,84.754,93.885,281.35,7.5221,10.713,0.030581,vapor
400.52,0.32621,0.1,10,32.99,36.252,140.12,85.72,94.832,283.11,7.2556,10.842,0.031284,vapor
405.52,0.33047,0.1,10,33.421,36.725,141.19,86.684,95.776,284.85,7.0029,10.971,0.031994,vapor
410.52,0.33473,0.1,10,33.856,37.204,142.26,87.643,96.718,286.59,6.7631,11.1,0.032711,vapor
415.52,0.33899,0.1,10,34.297,37.687,143.33,88.599,97.656,288.31,6.5353,11.228,0.033436,vapor
420.52,0.34324,0.1,10,34.742,38.175,144.39,89.551,98.591,290.03,6.3188,11.355,0.034168,vapor
425.52,0.3475,0.1,10,35.193,38.667,145.46,90.498,99.523,291.73,6.1128,11.483,0.034907,vapor
430.52,0.35175,0.1,10,35.647,39.165,146.52,91.441,100.45,293.43,5.9167,11.61,0.035654,vapor
435.52,0.356,0.1,10,36.107,39.667,147.58,92.379,101.37,295.11,5.7298,11.736,0.036408,vapor
440.52,0.36025,0.1,10,36.571,40.174,148.64,93.312,102.29,296.78,5.5516,11.862,0.037169,vapor
445.52,0.3645,0.1,10,37.04,40.685,149.7,94.241,103.21,298.45,5.3816,11.987,0.037937,vapor
450.52,0.36875,0.1,10,37.514,41.201,150.76,95.164,104.12,300.1,5.2192,12.113,0.038713,vapor
455.52,0.373,0.1,10,37.992,41.722,151.81,96.082,105.03,301.75,5.064,12.237,0.039496,vapor
460.52,0.37724,0.1,10,38.474,42.247,152.86,96.994,105.93,303.38,4.9156,12.362,0.040286,vapor
465.52,0.38149,0.1,10,38.962,42.776,153.92,97.901,106.82,305.01,4.7736,12.485,0.041083,vapor
470.52,0.38573,0.1,10,39.453,43.311,154.97,98.802,107.71,306.63,4.6376,12.609,0.041888,vapor
475.52,0.38997,0.1,10,39.95,43.849,156.02,99.697,108.6,308.24,4.5073,12.732,0.0427,vapor
480.52,0.39421,0.1,10,40.45,44.392,157.06,100.59,109.48,309.84,4.3823,12.854,0.04352,vapor
485.52,0.39845,0.1,10,40.955,44.94,158.11,101.47,110.35,311.44,4.2624,12.976,0.044346,vapor
490.52,0.40269,0.1,10,41.465,45.492,159.15,102.35,111.22,313.02,4.1472,13.098,0.04518,vapor
495.52,0.40693,0.1,10,41.979,46.048,160.2,103.22,112.08,314.6,4.0366,13.219,0.046022,vapor
500.52,0.41117,0.1,10,42.497,46.609,161.24,104.09,112.94,316.17,3.9302,13.34,0.04687,vapor
505.52,0.41541,0.1,10,43.02,47.174,162.28,104.95,113.79,317.73,3.8279,13.46,0.047726,vapor
510.52,0.41965,0.1,10,43.547,47.743,163.31,105.8,114.64,319.29,3.7294,13.58,0.048589,vapor
515.52,0.42388,0.1,10,44.078,48.317,164.35,106.65,115.48,320.83,3.6346,13.699,0.049459,vapor
520.52,0.42812,0.1,10,44.613,48.894,165.38,107.49,116.31,322.37,3.5432,13.818,0.050337,vapor
525.52,0.43236,0.1,10,45.153,49.476,166.41,108.33,117.14,323.91,3.4551,13.936,0.051222,vapor
530.52,0.43659,0.1,10,45.696,50.062,167.44,109.16,117.96,325.43,3.3701,14.054,0.052114,vapor
535.52,0.44083,0.1,10,46.244,50.653,168.47,109.98,118.78,326.95,3.2881,14.171,0.053014,vapor
540.52,0.44506,0.1,10,46.796,51.247,169.5,110.8,119.59,328.46,3.2089,14.288,0.053921,vapor
545.52,0.44929,0.1,10,47.352,51.845,170.52,111.61,120.4,329.96,3.1324,14.405,0.054835,vapor
550.52,0.45353,0.1,10,47.912,52.448,171.54,112.42,121.2,331.46,3.0585,14.521,0.055756,vapor
555.52,0.45776,0.1,10,48.476,53.054,172.56,113.22,121.99,332.95,2.987,14.636,0.056685,vapor
560.52,0.46199,0.1,10,49.045,53.664,173.58,114.02,122.78,334.44,2.9178,14.751,0.057621,vapor
565.52,0.46622,0.1,10,49.617,54.279,174.6,114.8,123.56,335.91,2.8509,14.866,0.058564,vapor
570.52,0.47045,0.1,10,50.193,54.897,175.61,115.59,124.34,337.39,2.7861,14.98,0.059515,vapor
575.52,0.47468,0.1,10,50.772,55.519,176.62,116.36,125.11,338.85,2.7233,15.093,0.060473,vapor
580.52,0.47891,0.1,10,51.356,56.145,177.63,117.14,125.88,340.31,2.6625,15.206,0.061438,vapor
585.52,0.48314,0.1,10,51.944,56.775,178.64,117.9,126.64,341.76,2.6035,15.319,0.06241,vapor
590.52,0.48737,0.1,10,52.535,57.409,179.65,118.66,127.4,343.21,2.5463,15.431,0.06339,vapor
595.52,0.4916,0.1,10,53.13,58.046,180.65,119.42,128.15,344.65,2.4909,15.543,0.064377,vapor
600.52,0.49583,0.1,10,53.729,58.688,181.65,120.17,128.89,346.08,2.437,undefined,undefined,vapor
605.52,0.50006,0.1,10,54.332,59.333,182.65,120.91,129.63,347.51,2.3848,undefined,undefined,vapor
610.52,0.50429,0.1,10,54.939,59.981,183.65,121.65,130.36,348.94,2.334,undefined,undefined,vapor
