Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
450,0.1,0.026841,37.257,37.566,41.292,161.71,94.917,103.4,302.74,5.1872,12.051,0.038317,vapor
450,0.2,0.053911,18.549,37.528,41.238,155.86,94.972,103.63,301.7,5.2052,12.068,0.038434,vapor
450,0.3,0.081215,12.313,37.49,41.184,152.41,95.029,103.86,300.65,5.2234,12.086,0.038551,vapor
450,0.4,0.10876,9.1949,37.451,41.129,149.93,95.085,104.1,299.6,5.2417,12.106,0.038668,vapor
450,0.5,0.13654,7.3239,37.413,41.075,147.99,95.142,104.34,298.54,5.2602,12.126,0.038786,vapor
450,0.6,0.16457,6.0765,37.374,41.02,146.39,95.2,104.59,297.49,5.2788,12.147,0.038904,vapor
450,0.7,0.19285,5.1854,37.334,40.964,145.02,95.259,104.85,296.43,5.2975,12.168,0.039023,vapor
450,0.8,0.22138,4.5171,37.295,40.908,143.82,95.318,105.11,295.37,5.3163,12.191,0.039142,vapor
450,0.9,0.25018,3.9972,37.255,40.852,142.75,95.377,105.37,294.31,5.3353,12.214,0.039261,vapor
450,1,0.27923,3.5812,37.215,40.796,141.78,95.438,105.64,293.25,5.3544,12.239,0.039381,vapor
450,1.1,0.30856,3.2408,37.174,40.739,140.9,95.499,105.92,292.18,5.3735,12.264,0.039502,vapor
450,1.2,0.33816,2.9571,37.134,40.682,140.09,95.56,106.21,291.11,5.3928,12.29,0.039623,vapor
450,1.3,0.36805,2.717,37.093,40.625,139.33,95.623,106.5,290.05,5.4122,12.318,0.039744,vapor
450,1.4,0.39821,2.5112,37.051,40.567,138.62,95.685,106.8,288.98,5.4316,12.346,0.039866,vapor
450,1.5,0.42867,2.3328,37.01,40.509,137.95,95.749,107.1,287.9,5.4512,12.375,0.039989,vapor
450,1.6,0.45942,2.1767,36.968,40.45,137.32,95.813,107.41,286.83,5.4708,12.406,0.040113,vapor
450,1.7,0.49047,2.0388,36.925,40.391,136.72,95.878,107.73,285.76,5.4904,12.437,0.040237,vapor
450,1.8,0.52183,1.9163,36.882,40.332,136.15,95.944,108.06,284.68,5.5101,12.469,0.040363,vapor
450,1.9,0.55351,1.8067,36.839,40.272,135.61,96.01,108.39,283.61,5.5298,12.503,0.040489,vapor
450,2,0.5855,1.7079,36.796,40.212,135.08,96.077,108.73,282.53,5.5496,12.538,0.040615,vapor
450,2.1,0.61781,1.6186,36.752,40.151,134.58,96.145,109.09,281.45,5.5694,12.574,0.040743,vapor
