Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300,0.1,0.040098,24.939,6.2238,8.7177,191.77,20.819,29.171,353.16,2.1197,17.89,0.025968,vapor
300,0.2,0.08021,12.467,6.2181,8.7115,185.99,20.826,29.217,353.31,2.1123,17.903,0.026001,vapor
300,0.3,0.12034,8.3101,6.2123,8.7054,182.6,20.833,29.262,353.47,2.105,17.916,0.026035,vapor
300,0.4,0.16047,6.2316,6.2066,8.6992,180.19,20.839,29.307,353.63,2.0976,17.93,0.026069,vapor
300,0.5,0.20062,4.9844,6.2008,8.6931,178.31,20.846,29.353,353.79,2.0902,17.943,0.026104,vapor
300,0.6,0.24079,4.153,6.1951,8.6869,176.78,20.853,29.398,353.95,2.0828,17.957,0.02614,vapor
300,0.7,0.28096,3.5592,6.1894,8.6808,175.48,20.86,29.443,354.12,2.0754,17.971,0.026177,vapor
300,0.8,0.32115,3.1138,6.1836,8.6747,174.35,20.867,29.489,354.29,2.068,17.985,0.026214,vapor
300,0.9,0.36134,2.7675,6.1779,8.6686,173.35,20.874,29.534,354.46,2.0606,17.999,0.026252,vapor
300,1,0.40155,2.4904,6.1722,8.6625,172.45,20.881,29.58,354.63,2.0532,18.013,0.026291,vapor
300,1.1,0.44176,2.2637,6.1664,8.6565,171.64,20.888,29.625,354.8,2.0458,18.028,0.02633,vapor
300,1.2,0.48199,2.0747,6.1607,8.6504,170.9,20.894,29.671,354.98,2.0383,18.043,0.02637,vapor
300,1.3,0.52222,1.9149,6.155,8.6444,170.22,20.901,29.716,355.16,2.0309,18.057,0.02641,vapor
300,1.4,0.56246,1.7779,6.1493,8.6383,169.58,20.908,29.762,355.34,2.0234,18.073,0.026451,vapor
300,1.5,0.6027,1.6592,6.1435,8.6323,168.99,20.915,29.807,355.53,2.0159,18.088,0.026493,vapor
300,1.6,0.64296,1.5553,6.1378,8.6263,168.43,20.921,29.853,355.71,2.0084,18.103,0.026535,vapor
300,1.7,0.68321,1.4637,6.1321,8.6203,167.91,20.928,29.898,355.9,2.001,18.119,0.026578,vapor
300,1.8,0.72348,1.3822,6.1264,8.6144,167.42,20.935,29.943,356.09,1.9935,18.134,0.026621,vapor
300,1.9,0.76375,1.3093,6.1207,8.6084,166.95,20.942,29.989,356.28,1.986,18.15,0.026665,vapor
300,2,0.80402,1.2437,6.1149,8.6024,166.5,20.948,30.034,356.48,1.9784,18.166,0.026709,vapor
300,2.1,0.8443,1.1844,6.1092,8.5965,166.08,20.955,30.08,356.68,1.9709,18.183,0.026754,vapor
300,2.2,0.88458,1.1305,6.1035,8.5906,165.67,20.961,30.125,356.88,1.9634,18.199,0.026799,vapor
300,2.3,0.92486,1.0812,6.0978,8.5847,165.29,20.968,30.171,357.08,1.9558,18.216,0.026845,vapor
300,2.4,0.96514,1.0361,6.0921,8.5788,164.91,20.975,30.216,357.28,1.9483,18.232,0.026891,vapor
300,2.5,1.0054,0.9946,6.0864,8.5729,164.56,20.981,30.261,357.49,1.9407,18.249,0.026938,vapor
300,2.6,1.0457,0.95628,6.0807,8.567,164.21,20.988,30.307,357.7,1.9332,18.266,0.026985,vapor
300,2.7,1.086,0.92081,6.075,8.5612,163.88,20.994,30.352,357.91,1.9256,18.284,0.027032,vapor
300,2.8,1.1263,0.88787,6.0693,8.5554,163.56,21.001,30.397,358.13,1.918,18.301,0.02708,vapor
300,2.9,1.1666,0.85721,6.0636,8.5495,163.25,21.008,30.443,358.34,1.9104,18.319,0.027129,vapor
300,3,1.2069,0.8286,6.0579,8.5437,162.95,21.014,30.488,358.56,1.9029,18.336,0.027177,vapor
300,3.1,1.2471,0.80183,6.0522,8.5379,162.66,21.021,30.533,358.78,1.8953,18.354,0.027226,vapor
300,3.2,1.2874,0.77675,6.0466,8.5321,162.37,21.027,30.578,359.01,1.8877,18.372,0.027276,vapor
300,3.3,1.3277,0.75318,6.0409,8.5264,162.1,21.033,30.624,359.23,1.88,18.391,0.027326,vapor
300,3.4,1.368,0.73101,6.0352,8.5206,161.83,21.04,30.669,359.46,1.8724,18.409,0.027376,vapor
