Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
68.151,0.018678,0.033333,30,1.3959,1.9563,162.42,21.024,29.717,167.19,34.452,4.7361,0.0061371,vapor
73.151,0.020077,0.033333,30,1.5009,2.1032,163.9,20.974,29.61,173.37,29.574,5.088,0.0066431,vapor
78.151,0.021475,0.033333,30,1.6057,2.2499,165.29,20.938,29.53,179.32,25.769,5.4365,0.0071462,vapor
83.151,0.022871,0.033333,30,1.7103,2.3964,166.59,20.911,29.469,185.08,22.735,5.7816,0.0076461,vapor
88.151,0.024266,0.033333,30,1.8148,2.5428,167.81,20.891,29.422,190.65,20.268,6.1231,0.0081425,vapor
93.151,0.025659,0.033333,30,1.9192,2.689,168.96,20.875,29.384,196.07,18.228,6.4611,0.0086354,vapor
98.151,0.027052,0.033333,30,2.0236,2.8351,170.05,20.862,29.353,201.33,16.518,6.7955,0.0091245,vapor
103.15,0.028444,0.033333,30,2.1279,2.9812,171.09,20.853,29.328,206.46,15.065,7.1264,0.0096097,vapor
108.15,0.029836,0.033333,30,2.2321,3.1272,172.07,20.845,29.307,211.46,13.817,7.4537,0.010091,vapor
113.15,0.031228,0.033333,30,2.3363,3.2731,173.02,20.838,29.289,216.35,12.734,7.7775,0.010568,vapor
118.15,0.032619,0.033333,30,2.4405,3.419,173.92,20.833,29.274,221.12,11.788,8.0979,0.011042,vapor
123.15,0.034009,0.033333,30,2.5446,3.5649,174.78,20.828,29.261,225.79,10.953,8.4149,0.011511,vapor
128.15,0.0354,0.033333,30,2.6488,3.7108,175.61,20.825,29.249,230.37,10.212,8.7285,0.011977,vapor
133.15,0.03679,0.033333,30,2.7529,3.8566,176.41,20.821,29.24,234.86,9.5497,9.0389,0.012438,vapor
138.15,0.03818,0.033333,30,2.857,4.0024,177.17,20.819,29.231,239.26,8.9548,9.3459,0.012896,vapor
143.15,0.03957,0.033333,30,2.9611,4.1482,177.91,20.817,29.223,243.58,8.4176,9.6499,0.01335,vapor
148.15,0.040959,0.033333,30,3.0652,4.2939,178.63,20.815,29.217,247.83,7.9302,9.9507,0.0138,vapor
153.15,0.042349,0.033333,30,3.1692,4.4397,179.32,20.813,29.211,252,7.486,10.248,0.014246,vapor
158.15,0.043738,0.033333,30,3.2733,4.5854,179.99,20.811,29.205,256.11,7.0796,10.543,0.014689,vapor
163.15,0.045128,0.033333,30,3.3773,4.7312,180.64,20.81,29.2,260.15,6.7066,10.835,0.015128,vapor
168.15,0.046517,0.033333,30,3.4814,4.8769,181.26,20.809,29.196,264.13,6.3629,11.124,0.015563,vapor
173.15,0.047906,0.033333,30,3.5854,5.0226,181.87,20.808,29.192,268.05,6.0453,11.41,0.015995,vapor
178.15,0.049295,0.033333,30,3.6895,5.1683,182.47,20.807,29.188,271.91,5.751,11.693,0.016424,vapor
183.15,0.050684,0.033333,30,3.7935,5.314,183.04,20.807,29.185,275.72,5.4776,11.974,0.016849,vapor
188.15,0.052073,0.033333,30,3.8975,5.4597,183.6,20.806,29.182,279.47,5.2228,12.252,0.017271,vapor
193.15,0.053462,0.033333,30,4.0016,5.6054,184.15,20.806,29.179,283.18,4.985,12.528,0.017689,vapor
198.15,0.054851,0.033333,30,4.1056,5.7511,184.68,20.805,29.176,286.84,4.7625,12.801,0.018105,vapor
203.15,0.056239,0.033333,30,4.2096,5.8968,185.2,20.805,29.174,290.45,4.5538,13.071,0.018517,vapor
208.15,0.057628,0.033333,30,4.3136,6.0425,185.7,20.804,29.172,294.01,4.3578,13.339,0.018926,vapor
213.15,0.059017,0.033333,30,4.4177,6.1882,186.2,20.804,29.17,297.54,4.1733,13.605,0.019332,vapor
218.15,0.060405,0.033333,30,4.5217,6.3338,186.68,20.804,29.168,301.02,3.9994,13.868,0.019736,vapor
223.15,0.061794,0.033333,30,4.6257,6.4795,187.15,20.804,29.166,304.46,3.8352,14.129,0.020136,vapor
228.15,0.063182,0.033333,30,4.7297,6.6252,187.61,20.804,29.165,307.87,3.6799,14.388,0.020534,vapor
233.15,0.064571,0.033333,30,4.8337,6.7709,188.06,20.804,29.164,311.23,3.5329,14.645,0.020928,vapor
238.15,0.065959,0.033333,30,4.9378,6.9165,188.51,20.804,29.163,314.56,3.3934,14.899,0.02132,vapor
243.15,0.067348,0.033333,30,5.0418,7.0622,188.94,20.804,29.162,317.86,3.2609,15.152,0.02171,vapor
248.15,0.068736,0.033333,30,5.1458,7.2079,189.36,20.805,29.161,321.12,3.135,15.402,0.022096,vapor
253.15,0.070125,0.033333,30,5.2498,7.3536,189.78,20.805,29.16,324.35,3.0151,15.651,0.02248,vapor
258.15,0.071513,0.033333,30,5.3539,7.4993,190.18,20.806,29.16,327.54,2.9008,15.897,0.022862,vapor
263.15,0.072901,0.033333,30,5.4579,7.6449,190.58,20.807,29.159,330.7,2.7918,16.142,0.023241,vapor
268.15,0.07429,0.033333,30,5.5619,7.7906,190.97,20.807,29.159,333.84,2.6877,16.384,0.023618,vapor
273.15,0.075678,0.033333,30,5.666,7.9363,191.36,20.809,29.159,336.94,2.5882,16.625,0.023992,vapor
278.15,0.077066,0.033333,30,5.77,8.082,191.74,20.81,29.16,340.02,2.493,16.864,0.024364,vapor
283.15,0.078455,0.033333,30,5.8741,8.2277,192.11,20.811,29.16,343.06,2.4017,17.101,0.024734,vapor
288.15,0.079843,0.033333,30,5.9781,8.3734,192.47,20.813,29.161,346.08,2.3143,17.337,0.025101,vapor
