Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
77.244,0.1,0.16265,6.1481,1.5443,2.1591,151.6,21.599,31.462,174.74,27.169,5.4353,0.0071744,vapor
78.151,0.1,0.16051,6.2302,1.5646,2.1876,151.97,21.556,31.352,175.93,26.482,5.4971,0.0072628,vapor
83.151,0.1,0.14974,6.6781,1.6752,2.343,153.89,21.365,30.863,182.26,23.201,5.8361,0.0077501,vapor
88.151,0.1,0.14045,7.1201,1.7844,2.4964,155.69,21.234,30.517,188.3,20.581,6.1725,0.0082365,vapor
93.151,0.1,0.13232,7.5575,1.8926,2.6484,157.36,21.139,30.263,194.07,18.443,6.506,0.008721,vapor
98.151,0.1,0.12513,7.9916,2,2.7992,158.94,21.07,30.071,199.63,16.665,6.8366,0.009203,vapor
103.15,0.1,0.11872,8.423,2.1069,2.9492,160.43,21.018,29.923,205.01,15.167,7.1641,0.0096822,vapor
108.15,0.1,0.11296,8.8523,2.2132,3.0985,161.84,20.979,29.806,210.21,13.888,7.4884,0.010158,vapor
113.15,0.1,0.10776,9.2799,2.3193,3.2473,163.19,20.948,29.712,215.27,12.783,7.8095,0.010631,vapor
118.15,0.1,0.10303,9.7061,2.425,3.3956,164.47,20.924,29.636,220.19,11.821,8.1275,0.0111,vapor
123.15,0.1,0.098706,10.131,2.5305,3.5436,165.7,20.904,29.573,224.98,10.975,8.4423,0.011566,vapor
128.15,0.1,0.09474,10.555,2.6358,3.6914,166.87,20.888,29.521,229.67,10.226,8.754,0.012028,vapor
133.15,0.1,0.091088,10.978,2.741,3.8389,168,20.876,29.476,234.25,9.5578,9.0625,0.012486,vapor
138.15,0.1,0.087712,11.401,2.846,3.9861,169.09,20.865,29.439,238.73,8.9587,9.368,0.012941,vapor
143.15,0.1,0.084583,11.823,2.951,4.1333,170.14,20.856,29.407,243.12,8.4184,9.6704,0.013392,vapor
148.15,0.1,0.081672,12.244,3.0558,4.2802,171.14,20.849,29.379,247.43,7.9288,9.9699,0.01384,vapor
153.15,0.1,0.078958,12.665,3.1606,4.4271,172.12,20.843,29.355,251.66,7.483,10.266,0.014284,vapor
158.15,0.1,0.076421,13.085,3.2652,4.5738,173.06,20.838,29.334,255.81,7.0756,10.56,0.014724,vapor
163.15,0.1,0.074044,13.506,3.3698,4.7204,173.97,20.833,29.316,259.89,6.7018,10.851,0.015161,vapor
168.15,0.1,0.071812,13.925,3.4744,4.8669,174.86,20.829,29.3,263.9,6.3577,11.139,0.015595,vapor
173.15,0.1,0.069712,14.345,3.5789,5.0134,175.72,20.826,29.285,267.86,6.0398,11.424,0.016025,vapor
178.15,0.1,0.067733,14.764,3.6834,5.1598,176.55,20.823,29.273,271.75,5.7454,11.706,0.016452,vapor
183.15,0.1,0.065863,15.183,3.7878,5.3061,177.36,20.821,29.261,275.58,5.4719,11.986,0.016875,vapor
188.15,0.1,0.064096,15.602,3.8922,5.4524,178.15,20.819,29.251,279.36,5.2173,12.264,0.017296,vapor
