Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
68.151,0.027858,0.05,20,1.3896,1.9468,159,21.146,30.04,166.65,34.64,4.7443,0.0061516,vapor
73.151,0.029968,0.05,20,1.4952,2.0945,160.49,21.07,29.874,172.88,29.705,5.0961,0.0066573,vapor
78.151,0.032074,0.05,20,1.6004,2.2418,161.89,21.014,29.752,178.88,25.863,5.4444,0.0071602,vapor
83.151,0.034175,0.05,20,1.7053,2.3888,163.19,20.973,29.658,184.68,22.803,5.7894,0.00766,vapor
88.151,0.036274,0.05,20,1.8101,2.5356,164.41,20.942,29.585,190.29,20.318,6.1308,0.0081564,vapor
93.151,0.038371,0.05,20,1.9148,2.6822,165.57,20.918,29.527,195.73,18.265,6.4686,0.0086492,vapor
98.151,0.040466,0.05,20,2.0193,2.8286,166.66,20.899,29.48,201.02,16.545,6.8029,0.0091382,vapor
103.15,0.042559,0.05,20,2.1238,2.9749,167.7,20.884,29.441,206.18,15.085,7.1337,0.0096234,vapor
108.15,0.044651,0.05,20,2.2282,3.1212,168.69,20.872,29.409,211.2,13.832,7.4609,0.010105,vapor
113.15,0.046742,0.05,20,2.3325,3.2673,169.63,20.862,29.382,216.1,12.746,7.7847,0.010582,vapor
118.15,0.048833,0.05,20,2.4368,3.4134,170.53,20.854,29.359,220.9,11.796,8.105,0.011055,vapor
123.15,0.050922,0.05,20,2.541,3.5595,171.4,20.848,29.34,225.59,10.959,8.4219,0.011525,vapor
128.15,0.053012,0.05,20,2.6453,3.7055,172.22,20.842,29.322,230.18,10.216,8.7354,0.01199,vapor
133.15,0.0551,0.05,20,2.7495,3.8515,173.02,20.837,29.308,234.68,9.5521,9.0457,0.012452,vapor
138.15,0.057188,0.05,20,2.8536,3.9974,173.79,20.833,29.294,239.1,8.956,9.3527,0.012909,vapor
143.15,0.059276,0.05,20,2.9578,4.1433,174.53,20.829,29.283,243.43,8.4179,9.6565,0.013363,vapor
148.15,0.061364,0.05,20,3.0619,4.2892,175.25,20.826,29.273,247.69,7.9297,9.9573,0.013813,vapor
153.15,0.063451,0.05,20,3.1661,4.4351,175.94,20.824,29.263,251.88,7.4849,10.255,0.01426,vapor
158.15,0.065538,0.05,20,3.2702,4.5809,176.61,20.822,29.255,255.99,7.0781,10.55,0.014702,vapor
163.15,0.067624,0.05,20,3.3743,4.7268,177.25,20.82,29.248,260.04,6.7046,10.841,0.015141,vapor
168.15,0.069711,0.05,20,3.4784,4.8726,177.88,20.818,29.241,264.03,6.3606,11.13,0.015577,vapor
173.15,0.071797,0.05,20,3.5824,5.0184,178.49,20.816,29.235,267.96,6.0428,11.416,0.016009,vapor
178.15,0.073883,0.05,20,3.6865,5.1642,179.09,20.815,29.229,271.83,5.7483,11.7,0.016437,vapor
183.15,0.075969,0.05,20,3.7906,5.31,179.66,20.814,29.224,275.65,5.4747,11.98,0.016862,vapor
188.15,0.078055,0.05,20,3.8947,5.4558,180.22,20.813,29.219,279.41,5.2198,12.258,0.017284,vapor
193.15,0.08014,0.05,20,3.9987,5.6015,180.77,20.812,29.215,283.12,4.9819,12.534,0.017703,vapor
198.15,0.082226,0.05,20,4.1028,5.7473,181.3,20.811,29.211,286.79,4.7593,12.807,0.018118,vapor
