Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
450,0.1,0.026718,37.429,9.3621,13.105,203.63,21.075,29.404,431.83,0.66342,24.185,0.035988,vapor
450,0.2,0.053416,18.721,9.3588,13.103,197.86,21.078,29.422,432.09,0.66008,24.192,0.03601,vapor
450,0.3,0.080095,12.485,9.3555,13.101,194.48,21.081,29.439,432.34,0.65675,24.2,0.036032,vapor
450,0.4,0.10675,9.3673,9.3523,13.099,192.08,21.084,29.457,432.6,0.65343,24.208,0.036054,vapor
450,0.5,0.1334,7.4965,9.349,13.097,190.22,21.087,29.474,432.85,0.65011,24.216,0.036077,vapor
450,0.6,0.16002,6.2494,9.3457,13.095,188.69,21.09,29.491,433.11,0.6468,24.224,0.0361,vapor
450,0.7,0.18662,5.3586,9.3424,13.093,187.4,21.093,29.509,433.37,0.6435,24.232,0.036123,vapor
450,0.8,0.2132,4.6905,9.3392,13.092,186.29,21.095,29.526,433.63,0.6402,24.24,0.036146,vapor
450,0.9,0.23976,4.1708,9.3359,13.09,185.3,21.098,29.543,433.89,0.63691,24.248,0.03617,vapor
450,1,0.2663,3.7551,9.3326,13.088,184.42,21.101,29.561,434.15,0.63363,24.256,0.036194,vapor
450,1.1,0.29282,3.415,9.3294,13.086,183.62,21.104,29.578,434.41,0.63036,24.265,0.036218,vapor
450,1.2,0.31933,3.1316,9.3261,13.084,182.89,21.107,29.595,434.67,0.62709,24.273,0.036243,vapor
450,1.3,0.34581,2.8918,9.3229,13.082,182.21,21.11,29.612,434.93,0.62383,24.281,0.036268,vapor
450,1.4,0.37227,2.6862,9.3196,13.08,181.59,21.113,29.629,435.2,0.62057,24.29,0.036293,vapor
450,1.5,0.39871,2.5081,9.3164,13.079,181.01,21.115,29.646,435.46,0.61732,24.299,0.036318,vapor
450,1.6,0.42513,2.3522,9.3131,13.077,180.47,21.118,29.663,435.73,0.61408,24.307,0.036344,vapor
450,1.7,0.45153,2.2147,9.3099,13.075,179.95,21.121,29.68,435.99,0.61084,24.316,0.03637,vapor
450,1.8,0.47791,2.0924,9.3066,13.073,179.47,21.124,29.697,436.26,0.60761,24.325,0.036396,vapor
450,1.9,0.50427,1.9831,9.3034,13.071,179.02,21.127,29.714,436.53,0.60439,24.334,0.036422,vapor
450,2,0.53061,1.8846,9.3002,13.069,178.58,21.129,29.731,436.79,0.60117,24.343,0.036449,vapor
450,2.1,0.55692,1.7956,9.297,13.068,178.17,21.132,29.748,437.06,0.59796,24.352,0.036476,vapor
450,2.2,0.58322,1.7146,9.2937,13.066,177.78,21.135,29.765,437.33,0.59476,24.361,0.036503,vapor
450,2.3,0.60949,1.6407,9.2905,13.064,177.4,21.138,29.782,437.6,0.59156,24.37,0.03653,vapor
450,2.4,0.63575,1.573,9.2873,13.062,177.04,21.141,29.798,437.87,0.58837,24.379,0.036558,vapor
450,2.5,0.66198,1.5106,9.2841,13.061,176.69,21.144,29.815,438.15,0.58518,24.389,0.036585,vapor
450,2.6,0.68819,1.4531,9.2809,13.059,176.36,21.146,29.832,438.42,0.582,24.398,0.036613,vapor
450,2.7,0.71438,1.3998,9.2776,13.057,176.04,21.149,29.849,438.69,0.57883,24.407,0.036641,vapor
450,2.8,0.74055,1.3504,9.2744,13.055,175.73,21.152,29.865,438.97,0.57566,24.417,0.03667,vapor
450,2.9,0.76669,1.3043,9.2712,13.054,175.43,21.155,29.882,439.24,0.5725,24.427,0.036698,vapor
450,3,0.79282,1.2613,9.268,13.052,175.14,21.158,29.899,439.52,0.56934,24.436,0.036727,vapor
450,3.1,0.81892,1.2211,9.2648,13.05,174.86,21.16,29.915,439.79,0.56619,24.446,0.036756,vapor
450,3.2,0.845,1.1834,9.2616,13.049,174.59,21.163,29.932,440.07,0.56305,24.456,0.036785,vapor
450,3.3,0.87106,1.148,9.2585,13.047,174.33,21.166,29.948,440.35,0.55991,24.466,0.036814,vapor
450,3.4,0.8971,1.1147,9.2553,13.045,174.07,21.169,29.965,440.63,0.55678,24.476,0.036844,vapor
