Index_within_Experiment,Time,C_X,C_N,C_L,C_x0,C_N0,F_in,C_N_in,I0
0,0,1.5,1.6,0,1.5,1.6,0.006,7,103
1,0.753768844,1.524642929,1.622073457,7.45E-05,1.5,1.6,0.006,7,103
2,1.507537688,1.548986453,1.644204727,0.000148165,1.5,1.6,0.006,7,103
3,2.261306533,1.573020863,1.666397183,0.000220839,1.5,1.6,0.006,7,103
4,3.015075377,1.596735073,1.688654616,0.000292554,1.5,1.6,0.006,7,103
5,3.768844221,1.620123825,1.710979086,0.000363307,1.5,1.6,0.006,7,103
6,4.522613065,1.643183404,1.733372191,0.000433098,1.5,1.6,0.006,7,103
7,5.27638191,1.665910585,1.755835379,0.000501927,1.5,1.6,0.006,7,103
8,6.030150754,1.688302634,1.778369948,0.000569796,1.5,1.6,0.006,7,103
9,6.783919598,1.710357307,1.800977045,0.000636708,1.5,1.6,0.006,7,103
10,7.537688442,1.73207285,1.823657666,0.000702664,1.5,1.6,0.006,7,103
11,8.291457286,1.753448001,1.846412657,0.000767669,1.5,1.6,0.006,7,103
12,9.045226131,1.774481986,1.869242714,0.000831728,1.5,1.6,0.006,7,103
13,9.798994975,1.795174523,1.892148381,0.000894845,1.5,1.6,0.006,7,103
14,10.55276382,1.815525821,1.915130053,0.000957028,1.5,1.6,0.006,7,103
15,11.30653266,1.835536576,1.938187975,0.001018282,1.5,1.6,0.006,7,103
16,12.06030151,1.85520798,1.961322241,0.001078617,1.5,1.6,0.006,7,103
17,12.81407035,1.874541709,1.984532792,0.00113804,1.5,1.6,0.006,7,103
18,13.5678392,1.893539935,2.007819422,0.001196561,1.5,1.6,0.006,7,103
19,14.32160804,1.912205318,2.031181773,0.001254191,1.5,1.6,0.006,7,103
20,15.07537688,1.930541007,2.054619338,0.00131094,1.5,1.6,0.006,7,103
21,15.82914573,1.948550643,2.078131456,0.00136682,1.5,1.6,0.006,7,103
22,16.58291457,1.966238358,2.10171732,0.001421843,1.5,1.6,0.006,7,103
23,17.33668342,1.983608774,2.125375969,0.001476025,1.5,1.6,0.006,7,103
24,18.09045226,2.000667001,2.149106294,0.001529377,1.5,1.6,0.006,7,103
25,18.84422111,2.017418644,2.172907033,0.001581917,1.5,1.6,0.006,7,103
26,19.59798995,2.033869911,2.196776748,0.001633659,1.5,1.6,0.006,7,103
27,20.35175879,2.050034993,2.220712002,0.001684639,1.5,1.6,0.006,7,103
28,21.10552764,2.065922426,2.244710809,0.001734878,1.5,1.6,0.006,7,103
29,21.85929648,2.081535058,2.2687726,0.001784383,1.5,1.6,0.006,7,103
30,22.61306533,2.096875763,2.292896798,0.001833165,1.5,1.6,0.006,7,103
31,23.36683417,2.111947442,2.317082815,0.00188123,1.5,1.6,0.006,7,103
32,24.12060302,2.126753025,2.341330053,0.001928587,1.5,1.6,0.006,7,103
33,24.87437186,2.141295469,2.365637904,0.001975246,1.5,1.6,0.006,7,103
34,25.6281407,2.155577759,2.390005748,0.002021213,1.5,1.6,0.006,7,103
35,26.38190955,2.169602906,2.414432957,0.002066498,1.5,1.6,0.006,7,103
36,27.13567839,2.183373952,2.438918891,0.00211111,1.5,1.6,0.006,7,103
37,27.88944724,2.196893962,2.463462899,0.002155056,1.5,1.6,0.006,7,103
38,28.64321608,2.210166033,2.488064322,0.002198345,1.5,1.6,0.006,7,103
39,29.39698492,2.223193286,2.512722489,0.002240985,1.5,1.6,0.006,7,103
40,30.15075377,2.235978873,2.537436719,0.002282986,1.5,1.6,0.006,7,103
41,30.90452261,2.248525972,2.56220632,0.002324356,1.5,1.6,0.006,7,103
42,31.65829146,2.260837787,2.587030592,0.002365102,1.5,1.6,0.006,7,103
43,32.4120603,2.272917552,2.611908822,0.002405235,1.5,1.6,0.006,7,103
44,33.16582915,2.284768528,2.636840288,0.002444762,1.5,1.6,0.006,7,103
45,33.91959799,2.296394003,2.661824257,0.002483692,1.5,1.6,0.006,7,103
46,34.67336683,2.307797293,2.686859986,0.002522034,1.5,1.6,0.006,7,103
47,35.42713568,2.318981742,2.711946722,0.002559796,1.5,1.6,0.006,7,103
48,36.18090452,2.329950721,2.737083701,0.002596987,1.5,1.6,0.006,7,103
49,36.93467337,2.340707628,2.762270149,0.002633616,1.5,1.6,0.006,7,103
50,37.68844221,2.351255892,2.787505282,0.002669691,1.5,1.6,0.006,7,103
51,38.44221106,2.361598964,2.812788304,0.002705221,1.5,1.6,0.006,7,103
52,39.1959799,2.371740328,2.838118412,0.002740215,1.5,1.6,0.006,7,103
53,39.94974874,2.381683492,2.86349479,0.002774681,1.5,1.6,0.006,7,103
54,40.70351759,2.391431993,2.888916611,0.002808628,1.5,1.6,0.006,7,103
55,41.45728643,2.400989396,2.91438304,0.002842066,1.5,1.6,0.006,7,103
56,42.21105528,2.410359293,2.93989323,0.002875002,1.5,1.6,0.006,7,103
57,42.96482412,2.419545304,2.965446325,0.002907446,1.5,1.6,0.006,7,103
58,43.71859296,2.428551076,2.991041457,0.002939407,1.5,1.6,0.006,7,103
59,44.47236181,2.437380284,3.016677749,0.002970892,1.5,1.6,0.006,7,103
60,45.22613065,2.446036631,3.042354314,0.003001912,1.5,1.6,0.006,7,103
61,45.9798995,2.454523846,3.068070252,0.003032475,1.5,1.6,0.006,7,103
62,46.73366834,2.462845688,3.093824656,0.00306259,1.5,1.6,0.006,7,103
63,47.48743719,2.471005943,3.119616607,0.003092265,1.5,1.6,0.006,7,103
64,48.24120603,2.479008422,3.145445175,0.00312151,1.5,1.6,0.006,7,103
65,48.99497487,2.486856968,3.171309422,0.003150334,1.5,1.6,0.006,7,103
66,49.74874372,2.494555448,3.197208397,0.003178745,1.5,1.6,0.006,7,103
67,50.50251256,2.502107757,3.223141139,0.003206752,1.5,1.6,0.006,7,103
68,51.25628141,2.50951782,3.24910668,0.003234366,1.5,1.6,0.006,7,103
69,52.01005025,2.516789588,3.275104036,0.003261593,1.5,1.6,0.006,7,103
70,52.7638191,2.52392704,3.301132219,0.003288444,1.5,1.6,0.006,7,103
71,53.51758794,2.530934181,3.327190225,0.003314928,1.5,1.6,0.006,7,103
72,54.27135678,2.537815045,3.353277043,0.003341053,1.5,1.6,0.006,7,103
73,55.02512563,2.544573695,3.379391651,0.003366829,1.5,1.6,0.006,7,103
74,55.77889447,2.55121422,3.405533016,0.003392264,1.5,1.6,0.006,7,103
