,C_X,C_N,C_L,F_in,C_N_in,I0,Time
15000,1.5,0.7,0.0,0.009,11,136,0.0
15001,1.530753927,0.763170259,9.43e-05,0.009,11,136,0.753768844
15002,1.561290679,0.82636483,0.000187365,0.009,11,136,1.507537688
15003,1.591562297,0.889598633,0.000279157,0.009,11,136,2.261306533
15004,1.621523655,0.952885755,0.000369609,0.009,11,136,3.015075377
15005,1.651150033,1.016234248,0.0004587,0.009,11,136,3.768844221
15006,1.6804196,1.079651304,0.000546412,0.009,11,136,4.522613065
15007,1.709312391,1.143143552,0.000632731,0.009,11,136,5.27638191
15008,1.73781031,1.20671706,0.000717645,0.009,11,136,6.030150754
15009,1.765897127,1.270377336,0.000801146,0.009,11,136,6.783919598
15010,1.793558477,1.33412933,0.000883228,0.009,11,136,7.537688442
15011,1.820781865,1.397977428,0.000963888,0.009,11,136,8.291457286
15012,1.847556661,1.461925457,0.001043125,0.009,11,136,9.045226131
15013,1.873874103,1.525976683,0.001120942,0.009,11,136,9.798994975
15014,1.899727294,1.590133814,0.001197345,0.009,11,136,10.55276382
15015,1.925111208,1.654398993,0.001272342,0.009,11,136,11.30653266
15016,1.950022681,1.718773806,0.001345944,0.009,11,136,12.06030151
15017,1.974460419,1.783259277,0.001418165,0.009,11,136,12.81407035
15018,1.998424994,1.847855871,0.001489021,0.009,11,136,13.5678392
15019,2.021918846,1.91256349,0.001558533,0.009,11,136,14.32160804
15020,2.044946281,1.977381477,0.001626723,0.009,11,136,15.07537688
15021,2.067513471,2.042308615,0.001693617,0.009,11,136,15.82914573
15022,2.089628457,2.107343126,0.001759242,0.009,11,136,16.58291457
15023,2.111301146,2.172482671,0.001823629,0.009,11,136,17.33668342
15024,2.132543445,2.237724462,0.001886818,0.009,11,136,18.09045226
15025,2.15336489,2.303066582,0.001948847,0.009,11,136,18.84422111
15026,2.173771029,2.368507843,0.002009735,0.009,11,136,19.59798995
15027,2.193767333,2.434047054,0.0020695,0.009,11,136,20.35175879
15028,2.213359312,2.499683006,0.00212816,0.009,11,136,21.10552764
15029,2.232552515,2.565414474,0.002185732,0.009,11,136,21.85929648
15030,2.251352534,2.631240216,0.002242233,0.009,11,136,22.61306533
15031,2.269764997,2.697158975,0.002297682,0.009,11,136,23.36683417
15032,2.287795574,2.763169475,0.002352095,0.009,11,136,24.12060302
15033,2.305449975,2.829270425,0.002405489,0.009,11,136,24.87437186
15034,2.32273395,2.895460518,0.002457884,0.009,11,136,25.6281407
15035,2.339653287,2.96173843,0.002509295,0.009,11,136,26.38190955
15036,2.356213817,3.02810282,0.002559739,0.009,11,136,27.13567839
15037,2.372421409,3.094552331,0.002609235,0.009,11,136,27.88944724
15038,2.38828197,3.161085588,0.0026578,0.009,11,136,28.64321608
15039,2.403801452,3.227701203,0.002705449,0.009,11,136,29.39698492
15040,2.418985842,3.294397767,0.002752201,0.009,11,136,30.15075377
15041,2.433841169,3.361173859,0.002798073,0.009,11,136,30.90452261
15042,2.448373502,3.428028038,0.002843082,0.009,11,136,31.65829146
15043,2.462588949,3.494958847,0.002887244,0.009,11,136,32.4120603
15044,2.47649366,3.561964815,0.002930576,0.009,11,136,33.16582915
15045,2.490093822,3.629044451,0.002973096,0.009,11,136,33.91959799
15046,2.503395664,3.69619625,0.00301482,0.009,11,136,34.67336683
15047,2.516405453,3.76341869,0.003055764,0.009,11,136,35.42713568
15048,2.529129498,3.830710232,0.003095947,0.009,11,136,36.18090452
15049,2.541574147,3.89806932,0.003135384,0.009,11,136,36.93467337
15050,2.553745788,3.965494383,0.003174092,0.009,11,136,37.68844221
15051,2.565650848,4.032983832,0.003212087,0.009,11,136,38.44221106
15052,2.577295795,4.100536061,0.003249387,0.009,11,136,39.1959799
15053,2.588687137,4.168149451,0.003286007,0.009,11,136,39.94974874
15054,2.599831421,4.235822363,0.003321965,0.009,11,136,40.70351759
15055,2.610735234,4.303553142,0.003357276,0.009,11,136,41.45728643
15056,2.621405203,4.371340118,0.003391957,0.009,11,136,42.21105528
15057,2.631847997,4.439181602,0.003426025,0.009,11,136,42.96482412
15058,2.642070321,4.507075892,0.003459495,0.009,11,136,43.71859296
15059,2.652078922,4.575021266,0.003492384,0.009,11,136,44.47236181
15060,2.661880588,4.643015987,0.003524708,0.009,11,136,45.22613065
15061,2.671482145,4.711058303,0.003556484,0.009,11,136,45.9798995
15062,2.68089046,4.779146442,0.003587726,0.009,11,136,46.73366834
15063,2.690112439,4.847278619,0.003618452,0.009,11,136,47.48743719
15064,2.699155029,4.91545303,0.003648678,0.009,11,136,48.24120603
15065,2.708025215,4.983667855,0.003678419,0.009,11,136,48.99497487
15066,2.716730024,5.051921259,0.003707691,0.009,11,136,49.74874372
15067,2.725276523,5.120211389,0.003736511,0.009,11,136,50.50251256
15068,2.733671816,5.188536376,0.003764894,0.009,11,136,51.25628141
15069,2.74192305,5.256894334,0.003792856,0.009,11,136,52.01005025
15070,2.750037411,5.325283361,0.003820412,0.009,11,136,52.7638191
15071,2.758022124,5.393701538,0.003847579,0.009,11,136,53.51758794
15072,2.765884455,5.462146931,0.003874372,0.009,11,136,54.27135678
15073,2.773631709,5.530617586,0.003900806,0.009,11,136,55.02512563
15074,2.781262457,5.599114056,0.003926882,0.009,11,136,55.77889447
15075,2.788754029,5.667642972,0.003952559,0.009,11,136,56.53266332
15076,2.796106694,5.736204372,0.003977839,0.009,11,136,57.28643216
15077,2.803322638,5.80479774,0.004002728,0.009,11,136,58.04020101
15078,2.810404032,5.873422564,0.004027232,0.009,11,136,58.79396985
15079,2.817353035,5.942078336,0.004051357,0.009,11,136,59.54773869
15080,2.82417179,6.010764548,0.004075108,0.009,11,136,60.30150754
15081,2.830862432,6.079480697,0.004098492,0.009,11,136,61.05527638
15082,2.837427077,6.148226283,0.004121513,0.009,11,136,61.80904523
15083,2.843867833,6.217000807,0.004144177,0.009,11,136,62.56281407
15084,2.850186792,6.285803774,0.00416649,0.009,11,136,63.31658291
15085,2.856386032,6.354634693,0.004188457,0.009,11,136,64.07035176
15086,2.862467621,6.423493073,0.004210084,0.009,11,136,64.8241206
15087,2.868433612,6.492378429,0.004231377,0.009,11,136,65.57788945
15088,2.874286044,6.561290275,0.00425234,0.009,11,136,66.33165829
15089,2.880026944,6.630228132,0.004272979,0.009,11,136,67.08542714
15090,2.885658326,6.699191521,0.004293299,0.009,11,136,67.83919598
15091,2.891182191,6.768179967,0.004313306,0.009,11,136,68.59296482
15092,2.896600526,6.837192997,0.004333005,0.009,11,136,69.34673367
15093,2.901915305,6.906230142,0.004352401,0.009,11,136,70.10050251
15094,2.907128489,6.975290934,0.0043715,0.009,11,136,70.85427136
15095,2.912242026,7.04437491,0.004390305,0.009,11,136,71.6080402
15096,2.917257851,7.113481608,0.004408824,0.009,11,136,72.36180905
15097,2.922177886,7.18261057,0.004427059,0.009,11,136,73.11557789
15098,2.927004039,7.251761341,0.004445018,0.009,11,136,73.86934673
15099,2.931738205,7.320933467,0.004462704,0.009,11,136,74.62311558
15100,2.936382266,7.390126498,0.004480122,0.009,11,136,75.37688442
15101,2.940938093,7.459339988,0.004497279,0.009,11,136,76.13065327
