,C_X,C_N,C_L,F_in,C_N_in,I0,Time
16200,1.2,1.1,0.0,0.004,6,181,0.0
16201,1.2590523958206177,1.1746281385421753,7.469537376891822e-05,0.004,6,181,0.753768844
16202,1.2957695722579956,1.1868442296981812,0.00019777756824623793,0.004,6,181,1.507537688
16203,1.3327876329421997,1.19882333278656,0.00032033168827183545,0.004,6,181,2.261306533
16204,1.3703786134719849,1.2048572301864624,0.00044470190186984837,0.004,6,181,3.015075377
16205,1.4089802503585815,1.1965230703353882,0.0005744589143432677,0.004,6,181,3.768844221
16206,1.4476337432861328,1.188210368156433,0.0007029853877611458,0.004,6,181,4.522613065
16207,1.4862581491470337,1.1799534559249878,0.0008301181369461119,0.004,6,181,5.27638191
16208,1.5247776508331299,1.1717890501022339,0.0009557069861330092,0.004,6,181,6.030150754
16209,1.5630778074264526,1.1648482084274292,0.0010791555978357792,0.004,6,181,6.783919598
16210,1.6006282567977905,1.1708492040634155,0.0011954910587519407,0.004,6,181,7.537688442
16211,1.6378833055496216,1.1768425703048706,0.001309982966631651,0.004,6,181,8.291457286
16212,1.6747872829437256,1.1828354597091675,0.0014225405175238848,0.004,6,181,9.045226131
16213,1.7112891674041748,1.1888378858566284,0.001533082453534007,0.004,6,181,9.798994975
16214,1.747342586517334,1.1948550939559937,0.001641537994146347,0.004,6,181,10.55276382
16215,1.7829070091247559,1.2008932828903198,0.0017478556837886572,0.004,6,181,11.30653266
16216,1.817945122718811,1.2069591283798218,0.0018519875593483448,0.004,6,181,12.06030151
16217,1.8524255752563477,1.213058352470398,0.0019539028871804476,0.004,6,181,12.81407035
16218,1.8863210678100586,1.2191942930221558,0.0020535816438496113,0.004,6,181,13.5678392
16219,1.9196099042892456,1.225371241569519,0.0021510161459445953,0.004,6,181,14.32160804
16220,1.9522740840911865,1.2315939664840698,0.002246211050078273,0.004,6,181,15.07537688
16221,1.9843014478683472,1.2378648519515991,0.002339182421565056,0.004,6,181,15.82914573
16222,2.015684127807617,1.2441853284835815,0.002429960062727332,0.004,6,181,16.58291457
16223,2.0464189052581787,1.2505568265914917,0.0025185835547745228,0.004,6,181,17.33668342
16224,2.076507568359375,1.2569822072982788,0.002605107147246599,0.004,6,181,18.09045226
16225,2.1059505939483643,1.2634609937667847,0.0026895778719335794,0.004,6,181,18.84422111
16226,2.1347386837005615,1.2699960470199585,0.002772004110738635,0.004,6,181,19.59798995
16227,2.1628808975219727,1.2765859365463257,0.0028524266090244055,0.004,6,181,20.35175879
16228,2.1903865337371826,1.283232569694519,0.0029308877419680357,0.004,6,181,21.10552764
16229,2.217266082763672,1.2899330854415894,0.0030074287205934525,0.004,6,181,21.85929648
16230,2.2435290813446045,1.2966889142990112,0.0030820921529084444,0.004,6,181,22.61306533
16231,2.2691855430603027,1.3034971952438354,0.003154917387291789,0.004,6,181,23.36683417
16232,2.294246196746826,1.310357928276062,0.003225949127227068,0.004,6,181,24.12060302
16233,2.318720579147339,1.3172696828842163,0.0032952246256172657,0.004,6,181,24.87437186
16234,2.3426196575164795,1.3242334127426147,0.003362786490470171,0.004,6,181,25.6281407
16235,2.3659534454345703,1.3312486410140991,0.0034286731388419867,0.004,6,181,26.38190955
16236,2.38873291015625,1.3383139371871948,0.003492924850434065,0.004,6,181,27.13567839
16237,2.41096830368042,1.3454278707504272,0.0035555807407945395,0.004,6,181,27.88944724
16238,2.432670831680298,1.3525904417037964,0.0036166796926409006,0.004,6,181,28.64321608
16239,2.453850746154785,1.3597992658615112,0.0036762587260454893,0.004,6,181,29.39698492
16240,2.4745194911956787,1.3670552968978882,0.0037343597505241632,0.004,6,181,30.15075377
16241,2.494688034057617,1.374358057975769,0.0037910165265202522,0.004,6,181,30.90452261
16242,2.5143673419952393,1.3817051649093628,0.003846268868073821,0.004,6,181,31.65829146
16243,2.5335683822631836,1.3890928030014038,0.0039001519326120615,0.004,6,181,32.4120603
16244,2.5523030757904053,1.396527647972107,0.003952704835683107,0.004,6,181,33.16582915
16245,2.570582389831543,1.404002070426941,0.0040039620362222195,0.004,6,181,33.91959799
16246,2.5884177684783936,1.4115179777145386,0.004053960088640451,0.004,6,181,34.67336683
16247,2.605821132659912,1.419073462486267,0.004102734383195639,0.004,6,181,35.42713568
16248,2.6228041648864746,1.4266656637191772,0.004150319844484329,0.004,6,181,36.18090452
16249,2.639378070831299,1.4342974424362183,0.0041967532597482204,0.004,6,181,36.93467337
16250,2.655555486679077,1.4419645071029663,0.0042420667596161366,0.004,6,181,37.68844221
16251,2.6713478565216064,1.4496668577194214,0.0042862962000072,0.004,6,181,38.44221106
16252,2.686767816543579,1.457403540611267,0.004329473711550236,0.004,6,181,39.1959799
16253,2.701826810836792,1.465173602104187,0.004371634218841791,0.004,6,181,39.94974874
16254,2.7165377140045166,1.4729746580123901,0.004412811249494553,0.004,6,181,40.70351759
16255,2.730912446975708,1.4808052778244019,0.0044530355371534824,0.004,6,181,41.45728643
16256,2.7449636459350586,1.4886659383773804,0.0044923401437699795,0.004,6,181,42.21105528
16257,2.7587039470672607,1.4965523481369019,0.004530758131295443,0.004,6,181,42.96482412
16258,2.772145986557007,1.5044673681259155,0.004568320699036121,0.004,6,181,43.71859296
16259,2.78530216217041,1.5124057531356812,0.004605059511959553,0.004,6,181,44.47236181
16260,2.7981553077697754,1.52375066280365,0.004640423227101564,0.004,6,181,45.22613065
16261,2.8107168674468994,1.5378745794296265,0.0046745408326387405,0.004,6,181,45.9798995
16262,2.8230111598968506,1.551897406578064,0.004707908723503351,0.004,6,181,46.73366834
16263,2.835042953491211,1.5658220052719116,0.00474054180085659,0.004,6,181,47.48743719
16264,2.8468167781829834,1.5796488523483276,0.0047724549658596516,0.004,6,181,48.24120603
16265,2.858337879180908,1.5933812856674194,0.004803658463060856,0.004,6,181,48.99497487
16266,2.869610548019409,1.6070202589035034,0.004834168590605259,0.004,6,181,49.74874372
16267,2.8806397914886475,1.620566725730896,0.004863997455686331,0.004,6,181,50.50251256
16268,2.891430377960205,1.6340240240097046,0.004893158096820116,0.004,6,181,51.25628141
16269,2.901986598968506,1.6473926305770874,0.0049216654151678085,0.004,6,181,52.01005025
16270,2.912313461303711,1.6606754064559937,0.004949529655277729,0.004,6,181,52.7638191
16271,2.9224154949188232,1.6738723516464233,0.004976766649633646,0.004,6,181,53.51758794
16272,2.9322969913482666,1.686987280845642,0.00500338664278388,0.004,6,181,54.27135678
16273,2.941962957382202,1.7000211477279663,0.0050294045358896255,0.004,6,181,55.02512563
16274,2.9514176845550537,1.7129749059677124,0.005054830573499203,0.004,6,181,55.77889447
16275,2.960665702819824,1.7258518934249878,0.005079679656773806,0.004,6,181,56.53266332
16276,2.9697115421295166,1.7386516332626343,0.005103962495923042,0.004,6,181,57.28643216
16277,2.9785594940185547,1.751376986503601,0.005127692129462957,0.004,6,181,58.04020101
16278,2.9872143268585205,1.764029860496521,0.0051508801989257336,0.004,6,181,58.79396985
16279,2.9955246448516846,1.7754868268966675,0.005173118319362402,0.004,6,181,59.54773869
16280,3.0008955001831055,1.7646535634994507,0.005186681170016527,0.004,6,181,60.30150754
16281,3.009532928466797,1.7669519186019897,0.005205611232668161,0.004,6,181,61.05527638
16282,3.0179855823516846,1.769400954246521,0.005224107299000025,0.004,6,181,61.80904523
16283,3.0262584686279297,1.7719935178756714,0.005242178216576576,0.004,6,181,62.56281407
16284,3.034355640411377,1.7747291326522827,0.005259836092591286,0.004,6,181,63.31658291
16285,3.0422821044921875,1.777600646018982,0.0052770888432860374,0.004,6,181,64.07035176
16286,3.050041437149048,1.7806061506271362,0.005293947644531727,0.004,6,181,64.8241206
16287,3.0576388835906982,1.7837423086166382,0.0053104218095541,0.004,6,181,65.57788945
16288,3.0650782585144043,1.7870067358016968,0.0053265211172401905,0.004,6,181,66.33165829
16289,3.072364091873169,1.7903937101364136,0.005342256277799606,0.004,6,181,67.08542714
16290,3.079500436782837,1.7939027547836304,0.005357634276151657,0.004,6,181,67.83919598
16291,3.0864920616149902,1.7975271940231323,0.0053726676851511,0.004,6,181,68.59296482
16292,3.0933427810668945,1.801266074180603,0.005387363955378532,0.004,6,181,69.34673367
16293,3.099846839904785,1.8203781843185425,0.005404537543654442,0.004,6,181,70.10050251
16294,3.1062169075012207,1.8397163152694702,0.005421415902674198,0.004,6,181,70.85427136
16295,3.112462282180786,1.858909010887146,0.005437938496470451,0.004,6,181,71.6080402
16296,3.118586778640747,1.8779610395431519,0.005454117897897959,0.004,6,181,72.36180905
16297,3.1245944499969482,1.8968781232833862,0.005469961557537317,0.004,6,181,73.11557789
16298,3.1304895877838135,1.9156631231307983,0.005485482048243284,0.004,6,181,73.86934673
16299,3.13627552986145,1.934322714805603,0.005500689148902893,0.004,6,181,74.62311558
16300,3.1419565677642822,1.9528616666793823,0.005515591707080603,0.004,6,181,75.37688442
16301,3.1475367546081543,1.9712809324264526,0.005530200898647308,0.004,6,181,76.13065327
16302,3.153019666671753,1.9895867109298706,0.005544526036828756,0.004,6,181,76.88442211
16303,3.1584091186523438,2.0077836513519287,0.0055585759691894054,0.004,6,181,77.63819095
16304,3.1637089252471924,2.0258772373199463,0.0055723609402775764,0.004,6,181,78.3919598
16305,3.1689229011535645,2.043869733810425,0.005585892125964165,0.004,6,181,79.14572864
16306,3.1740550994873047,2.061765432357788,0.005599175114184618,0.004,6,181,79.89949749
16307,3.179108142852783,2.0795695781707764,0.005612221080809832,0.004,6,181,80.65326633
16308,3.1840758323669434,2.097273111343384,0.005625017918646336,0.004,6,181,81.40703518
16309,3.1889562606811523,2.1148769855499268,0.005637563765048981,0.004,6,181,82.16080402
16310,3.1937506198883057,2.1323797702789307,0.005649861413985491,0.004,6,181,82.91457286
16311,3.198460340499878,2.1497843265533447,0.005661915056407452,0.004,6,181,83.66834171
16312,3.2030866146087646,2.1670916080474854,0.005673727486282587,0.004,6,181,84.42211055
16313,3.2076303958892822,2.184302568435669,0.00568530336022377,0.004,6,181,85.1758794
16314,3.2127625942230225,2.1966989040374756,0.005700778681784868,0.004,6,181,85.92964824
16315,3.218238353729248,2.2060153484344482,0.005718639586120844,0.004,6,181,86.68341709
16316,3.223613739013672,2.2153947353363037,0.005736138671636581,0.004,6,181,87.43718593
