Biomass Predicted,Nitrate Predicted,Lutein Predicted,Biomass Actual,Nitrate Actual,Lutein Actual
1.1039711,0.52435285,0.5243909,1.1039068,0.5242957,0.51900595
-3.139467,-0.979591,-2.025357,-3.158836,-0.98413813,-2.0427272
0.8684518,-0.98755896,0.15046383,0.867305,-0.9894743,0.1456247
-2.5331492,-0.77391183,-1.6588832,-2.5362606,-0.77969784,-1.6564798
0.37392953,-0.47008395,-0.58448225,0.37193975,-0.47206134,-0.5946388
0.44539836,1.137804,1.0235577,0.44717515,1.1382034,1.0214355
-0.09552542,-0.31450272,1.005069,-0.093203716,-0.31335193,1.0083452
0.5433744,-0.64011955,1.0899161,0.5449555,-0.6414336,1.0887122
1.1377486,0.38672173,0.3961593,1.135984,0.38865173,0.39347756
0.32891467,-1.0805176,-0.48249888,0.3273114,-1.0810586,-0.48884735
-0.21841104,1.2017899,0.48554558,-0.21663608,1.2037542,0.48362467
-3.544679,-0.7454014,-2.1039112,-3.5988078,-0.74919814,-2.145047
-0.5497516,-0.84888786,-0.2528677,-0.55012536,-0.8493695,-0.25386485
0.15048328,0.18325995,-0.58281463,0.15004124,0.1829947,-0.5841523
-1.0748067,-0.6825533,-1.8760567,-1.0699996,-0.6845892,-1.8762496
0.5803977,-0.24499062,1.6175628,0.579855,-0.24216838,1.6182576
0.36211225,-0.9105815,0.1263177,0.36261767,-0.91398036,0.12182754
-0.865674,-0.1707483,-0.052487843,-0.86155254,-0.17196025,-0.05125368
0.70771706,0.42161077,1.1763037,0.7064115,0.4230747,1.1750535
0.0660587,-0.7114359,-0.9387001,0.06309854,-0.7139887,-0.9441766
1.087383,0.17657389,0.82535106,1.0860558,0.17829728,0.82102597
-0.26230732,-0.6434701,-1.0584255,-0.26707304,-0.64525074,-1.0606211
0.17424642,0.22565724,0.1224335,0.17300199,0.22608192,0.12013826
0.35423723,0.9893528,-0.25201315,0.35409278,0.98932856,-0.25533268
-2.1905093,-0.7365279,-1.3334525,-2.1854434,-0.74065727,-1.3280799
0.31185403,-0.5827512,-0.34460866,0.31174812,-0.58427656,-0.34657905
0.43327913,0.7856833,0.18949826,0.43494892,0.78555304,0.18845826
-0.090304635,-0.64775014,-0.5495166,-0.09612501,-0.6490988,-0.55434376
-1.5220056,0.087707534,-0.68414223,-1.5119752,0.08792638,-0.6789513
0.95977306,-0.21680404,1.0536492,0.9585683,-0.21332456,1.0525248
-0.2405278,-0.81469923,-1.412081,-0.2447024,-0.8172437,-1.414758
-2.187654,-0.8608719,-0.7133136,-2.1820562,-0.8656611,-0.7087356
0.47366711,0.85843825,-0.1341133,0.4743257,0.85775626,-0.13616051
0.8152512,1.0837111,0.3178873,0.81647104,1.0835828,0.3161798
0.681256,0.92383134,0.4287415,0.6832196,0.9240507,0.42649493
-0.59334964,-0.8545305,-1.5121741,-0.5940097,-0.85758656,-1.514169
-0.35216853,0.16514908,0.7033989,-0.35133362,0.16519538,0.70192873
-0.36947712,-0.08451967,-0.764304,-0.36977863,-0.08698228,-0.7667819
0.5265474,-0.67678577,0.7282296,0.5269756,-0.67816144,0.7259301
0.330771,-0.21976432,-0.2049972,0.33172294,-0.22280002,-0.2082045
0.95313525,1.0594743,1.0222313,0.95330745,1.0604059,1.0215578
0.8282649,0.37164593,1.9863522,0.8288214,0.37447512,1.9880706
-0.5022685,-0.94674397,-1.849393,-0.50507843,-0.95200825,-1.8512315
-0.82322997,-0.33456206,0.29085535,-0.8213849,-0.33618096,0.27843997
0.72608876,4.1393085,0.13913606,0.7312035,4.138983,0.13422698
0.5721469,0.5251094,0.029190913,0.5738808,0.52587634,0.027531832
0.3344932,0.6434523,-0.23027489,0.3353282,0.6432837,-0.23007095
0.3573183,-0.33522886,1.3761797,0.35881877,-0.33257148,1.3756974
0.5889802,-0.59743667,-0.14248362,0.5858951,-0.59781986,-0.14748655
0.38156134,1.274748,1.2057579,0.3842208,1.2748562,1.2036738
0.26953343,-0.0721173,-0.24173954,0.26866874,-0.07248371,-0.24317034
0.69571656,0.07148434,1.5349922,0.6943569,0.073694676,1.53418
0.53471494,1.3673123,0.40486342,0.5375976,1.3673413,0.40464085
0.7264939,1.9463848,0.4360841,0.72764915,1.9473792,0.43321222
0.426707,2.6561146,0.061258152,0.430273,2.6550074,0.057527885
-1.96246,-1.0068349,-1.1134572,-1.9551698,-1.0085477,-1.1089154
0.942894,-0.11941245,0.07907246,0.9401111,-0.11759391,0.07664945
0.9057442,1.3657287,0.76395756,0.9036562,1.3664947,0.75890166
-2.0676305,-0.6907476,-0.55780774,-2.064021,-0.69626695,-0.5449662
-0.36732572,-0.82785016,-1.6262325,-0.36774173,-0.83012366,-1.6300149
0.5473773,3.2243097,1.2845377,0.55272275,3.2254272,1.282509
-0.1367294,-0.56144124,-0.5937638,-0.14027716,-0.5625957,-0.59683895
1.0931591,1.3022687,1.3281071,1.0925729,1.3033092,1.3254524
-3.535523,-0.7828851,-2.1384566,-3.5689058,-0.7876997,-2.1712549
0.73766214,4.398185,0.1774732,0.7432544,4.3976502,0.17233701
-1.4423794,-0.80144554,-1.6162541,-1.4368017,-0.80410326,-1.6161735
-1.0730809,-0.50231534,-0.286257,-1.0677443,-0.50343406,-0.27904147
0.14489232,1.0501431,-0.5001124,0.13379253,1.0508746,-0.5061346
0.57424515,-0.6059792,-0.1585605,0.571176,-0.6063613,-0.16354585
-0.5703227,-0.8364246,0.11864601,-0.57208234,-0.8364611,0.11755017
0.42052498,-0.3704136,0.15730555,0.4217119,-0.37273964,0.15501574
0.7413542,4.480244,0.19281928,0.7468829,4.4838834,0.1843948
-1.0451139,-0.83397496,-0.74292475,-1.0408086,-0.8389332,-0.7441805
0.32950553,0.64018816,0.04898365,0.33035293,0.63988405,0.047434725
-0.5406638,-1.1126992,-0.9781083,-0.54325026,-1.1120704,-0.9793774
0.91356474,-0.16341753,0.03714809,0.91072804,-0.16165468,0.034758322
0.20721564,-1.1365709,0.3854903,0.20635618,-1.1376171,0.3822652
0.23733522,1.0468956,0.056815103,0.2385476,1.0465057,0.054797005
0.28625965,-1.0494883,0.94795007,0.28736523,-1.0495555,0.94648385
0.31206977,-0.49207097,0.89814264,0.3117205,-0.49522972,0.8950233
-1.3024822,-0.50009704,-0.46552098,-1.2962037,-0.5027048,-0.46088004
0.5562156,-0.15808198,0.1679372,0.5554985,-0.1570029,0.1663822
-3.0352938,-0.9827362,-2.3079195,-3.0481083,-0.9861028,-2.3194985
0.59230477,-0.16675627,-0.08561142,0.5904708,-0.16630796,-0.08551687
-1.3869686,-0.5252141,-0.5442052,-1.3802125,-0.52798045,-0.5391504
-0.22366133,-0.40142524,0.054465547,-0.22862266,-0.40224865,0.055358484
1.0073346,1.3308069,1.0430111,1.0078923,1.3315215,1.04202
0.53465885,2.1179967,0.24410339,0.53685987,2.1184247,0.24070227
-1.5425605,-0.37861115,-0.6904898,-1.5335243,-0.38138443,-0.6848641
-2.3132372,-0.5478249,-0.6656957,-2.312773,-0.5502805,-0.65556854
-2.36442,-0.9881792,-2.0726573,-2.362756,-0.99255604,-2.0717685
0.5627288,-0.13789125,0.6368772,0.56256384,-0.13799594,0.64077216
0.6013551,3.8882291,1.08133,0.6072803,3.888807,1.0770925
0.87945503,0.7042673,0.97348315,0.8796518,0.70523804,0.9713344
0.59654844,-0.5649943,0.82357496,0.59449893,-0.56275487,0.82531095
0.74612933,2.0450873,0.45851123,0.74745286,2.0460243,0.45555985
-0.5683301,-0.9760492,-1.2630548,-0.5687646,-0.97832555,-1.2663517
0.054243233,-0.17007688,-0.37310886,0.051942408,-0.17171293,-0.3777913
-1.8997258,-0.03324017,-0.6780568,-1.891713,-0.031007297,-0.6657867
-1.762333,-0.94642663,-1.4480106,-1.754634,-0.9537966,-1.4469665
0.08962347,-0.53540486,-0.67345285,0.084324405,-0.5371653,-0.67719144
-3.2005174,-1.009876,-2.105183,-3.2226427,-1.0144465,-2.1252637
-0.027415007,-0.79614323,0.29502726,-0.03939794,-0.7940618,0.294343
-0.342808,-0.16546325,0.6748849,-0.3555679,-0.16322848,0.67159855
0.15631403,0.5378375,-0.5086881,0.15528795,0.5376924,-0.51345813
-0.25865275,-0.7629525,-1.1871378,-0.26459914,-0.76511574,-1.1897265
0.8628854,1.7460486,1.0924628,0.8633041,1.7469074,1.0887467
0.24430642,-0.21176241,-0.6554339,0.24650468,-0.21404757,-0.6589665
-1.2492594,-0.59132886,-0.8924155,-1.2416925,-0.5944815,-0.88597834
0.31129938,-0.03721465,0.2061389,0.31180668,-0.03602542,0.20597836
0.83199793,1.094264,1.428822,0.8330196,1.0949169,1.4263619
-1.6617533,-0.8475162,-1.1997713,-1.6556147,-0.8510058,-1.1983335
0.39043304,0.88915765,0.06685218,0.38995686,0.8904841,0.06472528
0.34016854,-0.9207912,0.078957394,0.3405443,-0.9242752,0.07429899
0.3199612,-0.54805475,-0.38094705,0.31886634,-0.5504253,-0.3898938
0.87659955,0.2725281,0.2800616,0.87538844,0.2732543,0.27999508
0.5097784,-0.09816228,0.4995153,0.51146936,-0.09528913,0.4988358
0.42758787,-0.14011538,-0.39491242,0.4274,-0.14213684,-0.3968428
