,C_X,C_N,C_L,F_in,C_N_in,I0,Time
19200,2.0,1.6,0.0,0.003,9,105,0.0
19201,2.017074344,1.612396566,5.83e-05,0.003,9,105,0.753768844
19202,2.033837965,1.62486476,0.000115771,0.003,9,105,1.507537688
19203,2.050295473,1.637403599,0.000172465,0.003,9,105,2.261306533
19204,2.066451425,1.650012136,0.000228381,0.003,9,105,3.015075377
19205,2.082310745,1.662689278,0.000283531,0.003,9,105,3.768844221
19206,2.097878432,1.675433894,0.000337928,0.003,9,105,4.522613065
19207,2.113159449,1.688244856,0.000391584,0.003,9,105,5.27638191
19208,2.128158719,1.701121044,0.000444509,0.003,9,105,6.030150754
19209,2.142881129,1.714061343,0.000496718,0.003,9,105,6.783919598
19210,2.157331527,1.727064645,0.000548219,0.003,9,105,7.537688442
19211,2.171514723,1.740129847,0.000599027,0.003,9,105,8.291457286
19212,2.185435491,1.753255853,0.000649151,0.003,9,105,9.045226131
19213,2.199098565,1.766441572,0.000698604,0.003,9,105,9.798994975
19214,2.212508643,1.77968592,0.000747395,0.003,9,105,10.55276382
19215,2.225670383,1.792987818,0.000795537,0.003,9,105,11.30653266
19216,2.238588406,1.806346194,0.000843041,0.003,9,105,12.06030151
19217,2.251267297,1.81975998,0.000889916,0.003,9,105,12.81407035
19218,2.263711602,1.833228117,0.000936174,0.003,9,105,13.5678392
19219,2.275925827,1.84674955,0.000981826,0.003,9,105,14.32160804
19220,2.287914443,1.860323231,0.001026881,0.003,9,105,15.07537688
19221,2.299681882,1.873948117,0.00107135,0.003,9,105,15.82914573
19222,2.311232538,1.887623171,0.001115243,0.003,9,105,16.58291457
19223,2.322570769,1.901347363,0.00115857,0.003,9,105,17.33668342
19224,2.333700892,1.915119669,0.001201341,0.003,9,105,18.09045226
19225,2.344627189,1.92893907,0.001243566,0.003,9,105,18.84422111
19226,2.355353903,1.942804554,0.001285255,0.003,9,105,19.59798995
19227,2.365885238,1.956715114,0.001326416,0.003,9,105,20.35175879
19228,2.376227121,1.970669309,0.001367064,0.003,9,105,21.10552764
19229,2.386387755,1.984665135,0.001407217,0.003,9,105,21.85929648
19230,2.396370073,1.998701911,0.001446881,0.003,9,105,22.61306533
19231,2.406176706,2.012779032,0.001486064,0.003,9,105,23.36683417
19232,2.415810269,2.026895897,0.001524771,0.003,9,105,24.12060302
19233,2.425273365,2.041051905,0.001563008,0.003,9,105,24.87437186
19234,2.434568584,2.05524646,0.001600781,0.003,9,105,25.6281407
19235,2.443698503,2.069478967,0.001638096,0.003,9,105,26.38190955
19236,2.452665683,2.083748835,0.00167496,0.003,9,105,27.13567839
19237,2.461472675,2.098055473,0.001711379,0.003,9,105,27.88944724
19238,2.470122014,2.112398295,0.001747358,0.003,9,105,28.64321608
19239,2.478616224,2.126776717,0.001782903,0.003,9,105,29.39698492
19240,2.486957812,2.141190156,0.00181802,0.003,9,105,30.15075377
19241,2.495149276,2.155638035,0.001852715,0.003,9,105,30.90452261
19242,2.503193097,2.170119774,0.001886994,0.003,9,105,31.65829146
19243,2.511091745,2.184634802,0.001920863,0.003,9,105,32.4120603
19244,2.518847675,2.199182546,0.001954328,0.003,9,105,33.16582915
19245,2.52646333,2.213762437,0.001987393,0.003,9,105,33.91959799
19246,2.533941139,2.228373908,0.002020066,0.003,9,105,34.67336683
19247,2.541283517,2.243016396,0.002052351,0.003,9,105,35.42713568
19248,2.548492866,2.257689339,0.002084255,0.003,9,105,36.18090452
19249,2.555571575,2.272392178,0.002115782,0.003,9,105,36.93467337
19250,2.562522019,2.287124357,0.002146939,0.003,9,105,37.68844221
19251,2.569346561,2.301885322,0.002177731,0.003,9,105,38.44221106
19252,2.576047549,2.316674522,0.002208164,0.003,9,105,39.1959799
19253,2.582627318,2.331491409,0.002238242,0.003,9,105,39.94974874
19254,2.589088189,2.346335435,0.002267973,0.003,9,105,40.70351759
19255,2.595432473,2.361206058,0.00229736,0.003,9,105,41.45728643
19256,2.601662463,2.376102736,0.00232641,0.003,9,105,42.21105528
19257,2.607780441,2.39102493,0.002355127,0.003,9,105,42.96482412
19258,2.613788675,2.405972106,0.002383518,0.003,9,105,43.71859296
19259,2.61968942,2.420943729,0.002411587,0.003,9,105,44.47236181
19260,2.625484919,2.435939269,0.00243934,0.003,9,105,45.22613065
19261,2.631177398,2.450958197,0.002466782,0.003,9,105,45.9798995
19262,2.636769073,2.465999987,0.002493918,0.003,9,105,46.73366834
19263,2.642262145,2.481064116,0.002520753,0.003,9,105,47.48743719
19264,2.647658801,2.496150063,0.002547293,0.003,9,105,48.24120603
19265,2.652961217,2.511257311,0.002573543,0.003,9,105,48.99497487
19266,2.658171554,2.526385344,0.002599507,0.003,9,105,49.74874372
19267,2.663291959,2.541533648,0.002625192,0.003,9,105,50.50251256
19268,2.668324566,2.556701713,0.002650601,0.003,9,105,51.25628141
19269,2.673271498,2.571889031,0.00267574,0.003,9,105,52.01005025
19270,2.678134861,2.587095096,0.002700614,0.003,9,105,52.7638191
19271,2.682916749,2.602319407,0.002725228,0.003,9,105,53.51758794
19272,2.687619244,2.617561461,0.002749586,0.003,9,105,54.27135678
19273,2.692244413,2.632820763,0.002773694,0.003,9,105,55.02512563
19274,2.696794309,2.648096815,0.002797557,0.003,9,105,55.77889447
19275,2.701270975,2.663389126,0.002821179,0.003,9,105,56.53266332
19276,2.705676436,2.678697206,0.002844565,0.003,9,105,57.28643216
19277,2.710012707,2.694020566,0.002867719,0.003,9,105,58.04020101
19278,2.714281789,2.709358721,0.002890648,0.003,9,105,58.79396985
19279,2.718485668,2.72471119,0.002913354,0.003,9,105,59.54773869
19280,2.722626318,2.740077493,0.002935844,0.003,9,105,60.30150754
19281,2.7267057,2.75545715,0.002958121,0.003,9,105,61.05527638
19282,2.730725761,2.770849689,0.00298019,0.003,9,105,61.80904523
19283,2.734688303,2.786254672,0.003002055,0.003,9,105,62.56281407
19284,2.738590726,2.801672887,0.003023714,0.003,9,105,63.31658291
19285,2.74243186,2.817104706,0.003045163,0.003,9,105,64.07035176
19286,2.746212456,2.832549961,0.003066405,0.003,9,105,64.8241206
